<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SHFE_AL1_ON,D,20210222,000000,16545,16965,16455,16690,323511
SHFE_AL1_ON,D,20210219,000000,16680,16680,16385,16525,152538
SHFE_AL1_ON,D,20210218,000000,16100,16560,16055,16345,102726
SHFE_AL1_ON,D,20210210,000000,15900,15930,15705,15840,98382
SHFE_AL1_ON,D,20210209,000000,15810,15960,15735,15850,165345
SHFE_AL1_ON,D,20210208,000000,15630,15820,15540,15675,176832
SHFE_AL1_ON,D,20210205,000000,15230,15600,15230,15455,200609
SHFE_AL1_ON,D,20210204,000000,14970,15350,14955,15175,192686
SHFE_AL1_ON,D,20210203,000000,14980,15070,14920,14985,142647
SHFE_AL1_ON,D,20210202,000000,15245,15290,14895,15095,201240
SHFE_AL1_ON,D,20210201,000000,15000,15465,14950,15200,247478
SHFE_AL1_ON,D,20210129,000000,14830,15025,14815,14930,220410
SHFE_AL1_ON,D,20210128,000000,14830,14910,14740,14810,208964
SHFE_AL1_ON,D,20210127,000000,14870,14930,14825,14875,127822
SHFE_AL1_ON,D,20210126,000000,14980,15030,14775,14880,157253
SHFE_AL1_ON,D,20210125,000000,14840,15120,14760,14960,211119
SHFE_AL1_ON,D,20210122,000000,14975,15155,14780,14970,201780
SHFE_AL1_ON,D,20210121,000000,14770,15040,14710,14890,179953
SHFE_AL1_ON,D,20210120,000000,14745,14865,14635,14725,159445
SHFE_AL1_ON,D,20210119,000000,14925,14970,14720,14825,160403
SHFE_AL1_ON,D,20210118,000000,14800,15045,14750,14930,157664
SHFE_AL1_ON,D,20210115,000000,14765,14965,14740,14860,117730
SHFE_AL1_ON,D,20210114,000000,14730,14890,14620,14740,101069
SHFE_AL1_ON,D,20210113,000000,14925,14980,14720,14840,107202
SHFE_AL1_ON,D,20210112,000000,14940,15015,14740,14870,110808
SHFE_AL1_ON,D,20210111,000000,15320,15335,14935,15110,127222
SHFE_AL1_ON,D,20210108,000000,15250,15550,15190,15385,109507
SHFE_AL1_ON,D,20210107,000000,15415,15450,15165,15305,79628
SHFE_AL1_ON,D,20210106,000000,15365,15460,15220,15355,67982
SHFE_AL1_ON,D,20210105,000000,15450,15475,15230,15365,72297
SHFE_AL1_ON,D,20210104,000000,15325,15360,15065,15180,59115
SHFE_AL1_ON,D,20201231,000000,15360,15465,15260,15340,58007
SHFE_AL1_ON,D,20201230,000000,15230,15455,15215,15360,59533
SHFE_AL1_ON,D,20201229,000000,15480,15530,15185,15355,74057
SHFE_AL1_ON,D,20201228,000000,15830,15870,15405,15605,50895
SHFE_AL1_ON,D,20201225,000000,15820,15910,15725,15790,29389
SHFE_AL1_ON,D,20201224,000000,15560,15835,15545,15725,29903
SHFE_AL1_ON,D,20201223,000000,15875,15995,15775,15875,107448
SHFE_AL1_ON,D,20201222,000000,16230,16230,15760,16090,183468
SHFE_AL1_ON,D,20201221,000000,16655,16760,16230,16425,204999
SHFE_AL1_ON,D,20201218,000000,16495,16805,16480,16670,170794
SHFE_AL1_ON,D,20201217,000000,16410,16560,16370,16465,119875
SHFE_AL1_ON,D,20201216,000000,16260,16425,16180,16320,136131
SHFE_AL1_ON,D,20201215,000000,16325,16410,16165,16275,137651
SHFE_AL1_ON,D,20201214,000000,16085,16515,16085,16275,188139
SHFE_AL1_ON,D,20201211,000000,16335,16620,16015,16385,256492
SHFE_AL1_ON,D,20201210,000000,16000,16405,16000,16215,194846
SHFE_AL1_ON,D,20201209,000000,16085,16145,15860,15990,175205
SHFE_AL1_ON,D,20201208,000000,16075,16220,16010,16135,158796
SHFE_AL1_ON,D,20201207,000000,16400,16465,15935,16235,235946
SHFE_AL1_ON,D,20201204,000000,16260,16450,15860,16180,287116
SHFE_AL1_ON,D,20201203,000000,16775,16780,16130,16485,276209
SHFE_AL1_ON,D,20201202,000000,16605,16925,16605,16820,215233
SHFE_AL1_ON,D,20201201,000000,16505,16765,16485,16635,267947
SHFE_AL1_ON,D,20201130,000000,16135,16600,16085,16335,239978
SHFE_AL1_ON,D,20201127,000000,15865,16160,15830,16015,199238
SHFE_AL1_ON,D,20201126,000000,15830,15885,15725,15825,116060
SHFE_AL1_ON,D,20201125,000000,15605,15935,15605,15805,118279
SHFE_AL1_ON,D,20201124,000000,15865,15880,15750,15800,130477
SHFE_AL1_ON,D,20201123,000000,15960,16000,15780,15885,126179
SHFE_AL1_ON,D,20201120,000000,15770,15980,15680,15815,114755
SHFE_AL1_ON,D,20201119,000000,15785,15945,15650,15805,174630
SHFE_AL1_ON,D,20201118,000000,15425,15790,15395,15590,146544
SHFE_AL1_ON,D,20201117,000000,15415,15460,15285,15380,102820
SHFE_AL1_ON,D,20201116,000000,15530,15585,15360,15470,153250
SHFE_AL1_ON,D,20201113,000000,15350,15565,15335,15440,140184
SHFE_AL1_ON,D,20201112,000000,15180,15415,15130,15260,120382
SHFE_AL1_ON,D,20201111,000000,14960,15190,14875,15045,124525
SHFE_AL1_ON,D,20201110,000000,14945,15080,14790,14945,141719
SHFE_AL1_ON,D,20201109,000000,14855,14985,14850,14905,117674
SHFE_AL1_ON,D,20201106,000000,14850,14860,14755,14815,73800
SHFE_AL1_ON,D,20201105,000000,14750,14870,14710,14790,87249
SHFE_AL1_ON,D,20201104,000000,14845,14960,14625,14785,136012
SHFE_AL1_ON,D,20201103,000000,14810,14890,14730,14805,128265
SHFE_AL1_ON,D,20201102,000000,14410,14850,14410,14665,214401
SHFE_AL1_ON,D,20201030,000000,14370,14475,14320,14400,111205
SHFE_AL1_ON,D,20201029,000000,14395,14480,14250,14360,136356
SHFE_AL1_ON,D,20201028,000000,14540,14550,14340,14415,100314
SHFE_AL1_ON,D,20201027,000000,14700,14820,14695,14755,73095
SHFE_AL1_ON,D,20201026,000000,14745,14820,14690,14750,73043
SHFE_AL1_ON,D,20201023,000000,14685,14770,14685,14720,66741
SHFE_AL1_ON,D,20201022,000000,14750,14835,14700,14760,81168
SHFE_AL1_ON,D,20201021,000000,14760,14820,14650,14720,101219
SHFE_AL1_ON,D,20201020,000000,14800,14835,14725,14770,76757
SHFE_AL1_ON,D,20201019,000000,14710,14910,14710,14835,115046
SHFE_AL1_ON,D,20201016,000000,14660,14780,14515,14675,109000
SHFE_AL1_ON,D,20201015,000000,14695,14705,14590,14660,95120
SHFE_AL1_ON,D,20201014,000000,14620,14750,14575,14645,95766
SHFE_AL1_ON,D,20201013,000000,14610,14690,14540,14610,99342
SHFE_AL1_ON,D,20201012,000000,14490,14600,14430,14490,103737
SHFE_AL1_ON,D,20201009,000000,14235,14480,14230,14400,76885
SHFE_AL1_ON,D,20200930,000000,14185,14320,14105,14200,116373
SHFE_AL1_ON,D,20200929,000000,14155,14295,14125,14200,124186
SHFE_AL1_ON,D,20200928,000000,13945,14115,13830,13975,147337
SHFE_AL1_ON,D,20200925,000000,13700,13995,13510,13780,175171
SHFE_AL1_ON,D,20200924,000000,14160,14160,13735,13895,157000
SHFE_AL1_ON,D,20200923,000000,14580,14620,14345,14470,121572
SHFE_AL1_ON,D,20200922,000000,14625,14675,14520,14590,107284
SHFE_AL1_ON,D,20200921,000000,14625,14740,14595,14655,80813
SHFE_AL1_ON,D,20200918,000000,14530,14675,14470,14580,109463
SHFE_AL1_ON,D,20200917,000000,14570,14600,14445,14520,87716
SHFE_AL1_ON,D,20200916,000000,14580,14615,14490,14545,76812
SHFE_AL1_ON,D,20200915,000000,14525,14595,14425,14505,102103
SHFE_AL1_ON,D,20200914,000000,14205,14540,14155,14415,144518
SHFE_AL1_ON,D,20200911,000000,14360,14515,14230,14410,155647
SHFE_AL1_ON,D,20200910,000000,14390,14415,14335,14370,72088
SHFE_AL1_ON,D,20200909,000000,14415,14460,14310,14380,126649
SHFE_AL1_ON,D,20200908,000000,14505,14545,14460,14495,75818
SHFE_AL1_ON,D,20200907,000000,14310,14550,14260,14435,129081
SHFE_AL1_ON,D,20200904,000000,14335,14380,14180,14285,123074
SHFE_AL1_ON,D,20200903,000000,14445,14490,14290,14385,124049
SHFE_AL1_ON,D,20200902,000000,14570,14585,14350,14455,136329
SHFE_AL1_ON,D,20200901,000000,14580,14635,14530,14570,84629
SHFE_AL1_ON,D,20200831,000000,14660,14690,14480,14595,98204
SHFE_AL1_ON,D,20200828,000000,14575,14645,14465,14550,102554
SHFE_AL1_ON,D,20200827,000000,14680,14710,14530,14595,89262
SHFE_AL1_ON,D,20200826,000000,14460,14670,14460,14560,85987
SHFE_AL1_ON,D,20200825,000000,14600,14610,14450,14525,63620
SHFE_AL1_ON,D,20200824,000000,14640,14775,14585,14660,92524
SHFE_AL1_ON,D,20200821,000000,14780,14985,14690,14820,129200
SHFE_AL1_ON,D,20200820,000000,14640,14815,14640,14710,94753
SHFE_AL1_ON,D,20200819,000000,14500,14665,14475,14555,104329
SHFE_AL1_ON,D,20200818,000000,14410,14485,14370,14425,73097
SHFE_AL1_ON,D,20200817,000000,14395,14450,14245,14335,113964
SHFE_AL1_ON,D,20200814,000000,14315,14450,14255,14365,98283
SHFE_AL1_ON,D,20200813,000000,14250,14475,14245,14360,111975
SHFE_AL1_ON,D,20200812,000000,14235,14305,14200,14245,107460
SHFE_AL1_ON,D,20200811,000000,14385,14435,14195,14305,127438
SHFE_AL1_ON,D,20200810,000000,14525,14615,14275,14450,137858
SHFE_AL1_ON,D,20200807,000000,14505,14590,14405,14490,116414
SHFE_AL1_ON,D,20200806,000000,14660,14685,14420,14545,156315
SHFE_AL1_ON,D,20200805,000000,14700,14815,14605,14720,134734
SHFE_AL1_ON,D,20200804,000000,14675,14830,14635,14725,118107
SHFE_AL1_ON,D,20200803,000000,14675,14695,14470,14595,126686
SHFE_AL1_ON,D,20200731,000000,14720,14770,14525,14680,165307
SHFE_AL1_ON,D,20200730,000000,14500,14805,14485,14675,184924
SHFE_AL1_ON,D,20200729,000000,14375,14555,14330,14460,149383
SHFE_AL1_ON,D,20200728,000000,14175,14400,14170,14295,119313
SHFE_AL1_ON,D,20200727,000000,14165,14290,14125,14210,67527
SHFE_AL1_ON,D,20200724,000000,14415,14545,14305,14420,85880
SHFE_AL1_ON,D,20200723,000000,14305,14480,14255,14365,73065
SHFE_AL1_ON,D,20200722,000000,14360,14450,14285,14390,79131
SHFE_AL1_ON,D,20200721,000000,14230,14310,14185,14245,72396
SHFE_AL1_ON,D,20200720,000000,14120,14340,14105,14240,91159
SHFE_AL1_ON,D,20200717,000000,14000,14180,13990,14100,112473
SHFE_AL1_ON,D,20200716,000000,14485,14495,13960,14195,157918
SHFE_AL1_ON,D,20200715,000000,14520,14560,14425,14485,119770
SHFE_AL1_ON,D,20200714,000000,14675,14735,14460,14580,155686
SHFE_AL1_ON,D,20200713,000000,14390,14860,14390,14650,214046
SHFE_AL1_ON,D,20200710,000000,14295,14465,14205,14330,137078
SHFE_AL1_ON,D,20200709,000000,14205,14315,14135,14215,114121
SHFE_AL1_ON,D,20200708,000000,14045,14165,13945,14050,124209
SHFE_AL1_ON,D,20200707,000000,14155,14205,14005,14115,111672
SHFE_AL1_ON,D,20200706,000000,14060,14155,14005,14075,102848
SHFE_AL1_ON,D,20200703,000000,13965,14075,13935,13995,82807
SHFE_AL1_ON,D,20200702,000000,14010,14035,13920,13980,101746
SHFE_AL1_ON,D,20200701,000000,13825,14050,13825,13935,101045
SHFE_AL1_ON,D,20200630,000000,13760,13845,13755,13800,91061
SHFE_AL1_ON,D,20200629,000000,13625,13795,13600,13725,82348
SHFE_AL1_ON,D,20200624,000000,13655,13700,13590,13625,78639
SHFE_AL1_ON,D,20200623,000000,13725,13755,13620,13675,111267
SHFE_AL1_ON,D,20200622,000000,13640,13705,13515,13600,91712
SHFE_AL1_ON,D,20200619,000000,13550,13620,13480,13550,65071
SHFE_AL1_ON,D,20200618,000000,13600,13640,13510,13570,74927
SHFE_AL1_ON,D,20200617,000000,13605,13695,13540,13610,89497
SHFE_AL1_ON,D,20200616,000000,13625,13910,13610,13770,116479
SHFE_AL1_ON,D,20200615,000000,13615,13690,13490,13610,115854
SHFE_AL1_ON,D,20200612,000000,13510,13650,13450,13570,102779
SHFE_AL1_ON,D,20200611,000000,13775,13840,13470,13675,138563
SHFE_AL1_ON,D,20200610,000000,13520,13730,13480,13620,97139
SHFE_AL1_ON,D,20200609,000000,13425,13650,13425,13545,134031
SHFE_AL1_ON,D,20200608,000000,13225,13450,13200,13335,90180
SHFE_AL1_ON,D,20200605,000000,13165,13225,13090,13155,75034
SHFE_AL1_ON,D,20200604,000000,13155,13230,13135,13170,58864
SHFE_AL1_ON,D,20200603,000000,13025,13185,13020,13100,77940
SHFE_AL1_ON,D,20200602,000000,13110,13185,13000,13085,87361
SHFE_AL1_ON,D,20200601,000000,13245,13265,13090,13165,85265
SHFE_AL1_ON,D,20200529,000000,13130,13260,13110,13155,105261
