<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE_ATW1_ON,D,20210222,000000,62.3,63.55,62.3,63.55,73
ICE_ATW1_ON,D,20210219,000000,63.75,64.35,63.5,64.2,198
ICE_ATW1_ON,D,20210218,000000,62.7,63.7,62.7,63.55,55
ICE_ATW1_ON,D,20210217,000000,63.0,63.0,62.2,62.45,28
ICE_ATW1_ON,D,20210216,000000,62.5,63.45,62.15,63.0,135
ICE_ATW1_ON,D,20210215,000000,65.0,65.0,62.75,63.15,103
ICE_ATW1_ON,D,20210212,000000,66.7,67.1,66.25,66.4,88
ICE_ATW1_ON,D,20210211,000000,67.25,67.5,66.25,66.75,274
ICE_ATW1_ON,D,20210210,000000,68.75,69.0,68.0,68.1,41
ICE_ATW1_ON,D,20210209,000000,68.0,69.5,68.0,69.3,82
ICE_ATW1_ON,D,20210208,000000,66.6,68.35,66.6,68.3,175
ICE_ATW1_ON,D,20210205,000000,65.1,66.25,65.1,65.95,103
ICE_ATW1_ON,D,20210204,000000,63.5,64.5,63.5,64.5,117
ICE_ATW1_ON,D,20210203,000000,64.25,64.25,62.6,63.15,189
ICE_ATW1_ON,D,20210202,000000,65.75,65.75,63.3,64.7,127
ICE_ATW1_ON,D,20210201,000000,68.2,68.2,65.0,65.0,40
ICE_ATW1_ON,D,20210129,000000,69.6,70.0,69.15,69.15,33
ICE_ATW1_ON,D,20210128,000000,69.1,70.3,69.0,70.0,68
ICE_ATW1_ON,D,20210127,000000,67.25,68.75,66.5,68.75,179
ICE_ATW1_ON,D,20210126,000000,66.0,67.25,65.5,67.0,73
ICE_ATW1_ON,D,20210125,000000,66.75,66.75,66.0,66.0,17
ICE_ATW1_ON,D,20210122,000000,66.0,66.75,66.0,66.35,97
ICE_ATW1_ON,D,20210121,000000,66.75,66.75,66.2,66.2,40
ICE_ATW1_ON,D,20210120,000000,67.3,67.3,66.8,66.8,58
ICE_ATW1_ON,D,20210119,000000,66.65,67.0,65.35,66.45,113
ICE_ATW1_ON,D,20210118,000000,68.15,68.25,66.5,66.5,76
ICE_ATW1_ON,D,20210115,000000,71.25,71.25,68.3,68.35,70
ICE_ATW1_ON,D,20210114,000000,71.75,71.75,70.25,71.45,142
ICE_ATW1_ON,D,20210113,000000,74.0,74.0,70.9,72.25,101
ICE_ATW1_ON,D,20210112,000000,70.0,73.75,70.0,73.75,280
ICE_ATW1_ON,D,20210111,000000,70.0,70.0,69.3,69.85,94
ICE_ATW1_ON,D,20210108,000000,67.9,69.9,67.9,69.9,96
ICE_ATW1_ON,D,20210107,000000,66.0,67.05,66.0,67.05,88
ICE_ATW1_ON,D,20210106,000000,63.4,63.95,63.4,63.95,84
ICE_ATW1_ON,D,20210105,000000,69.0,69.0,64.6,64.6,164
ICE_ATW1_ON,D,20210104,000000,70.0,71.0,69.75,69.75,122
ICE_ATW1_ON,D,20201231,000000,68.5,68.75,68.5,68.75,37
ICE_ATW1_ON,D,20201230,000000,69.2,69.2,68.95,68.95,173
ICE_ATW1_ON,D,20201229,000000,69.85,69.85,69.85,69.85,209
ICE_ATW1_ON,D,20201228,000000,71.45,71.45,71.45,71.45,94
ICE_ATW1_ON,D,20201224,000000,69.2,69.2,69.2,69.2,16
ICE_ATW1_ON,D,20201223,000000,70.0,70.0,69.1,69.1,212
ICE_ATW1_ON,D,20201222,000000,69.25,69.75,69.25,69.4,204
ICE_ATW1_ON,D,20201221,000000,68.6,68.6,68.6,68.6,73
ICE_ATW1_ON,D,20201218,000000,67.9,67.9,67.9,67.9,197
ICE_ATW1_ON,D,20201217,000000,68.5,68.5,67.95,67.95,244
ICE_ATW1_ON,D,20201216,000000,67.4,67.4,67.4,67.4,183
ICE_ATW1_ON,D,20201215,000000,68.0,68.95,68.0,68.95,152
ICE_ATW1_ON,D,20201214,000000,67.5,67.5,67.0,67.0,257
ICE_ATW1_ON,D,20201211,000000,66.0,66.0,65.85,65.85,115
ICE_ATW1_ON,D,20201210,000000,64.8,64.8,64.6,64.6,283
ICE_ATW1_ON,D,20201209,000000,63.8,63.8,63.5,63.5,144
ICE_ATW1_ON,D,20201208,000000,63.05,63.05,63.05,63.05,30
ICE_ATW1_ON,D,20201207,000000,62.75,62.75,62.75,62.75,159
ICE_ATW1_ON,D,20201204,000000,63.3,63.3,63.3,63.3,201
ICE_ATW1_ON,D,20201203,000000,62.75,63.0,61.75,61.9,186
ICE_ATW1_ON,D,20201202,000000,61.9,61.9,61.9,61.9,211
ICE_ATW1_ON,D,20201201,000000,61.0,61.0,61.0,61.0,191
ICE_ATW1_ON,D,20201130,000000,61.8,61.8,61.8,61.8,144
ICE_ATW1_ON,D,20201127,000000,60.75,60.75,60.75,60.75,169
ICE_ATW1_ON,D,20201126,000000,60.0,60.0,60.0,60.0,177
ICE_ATW1_ON,D,20201125,000000,59.15,59.15,59.15,59.15,234
ICE_ATW1_ON,D,20201124,000000,58.75,58.75,58.75,58.75,330
ICE_ATW1_ON,D,20201123,000000,56.1,56.1,56.1,56.1,181
ICE_ATW1_ON,D,20201120,000000,53.5,54.55,53.5,54.55,192
ICE_ATW1_ON,D,20201119,000000,54.25,54.25,54.25,54.25,179
ICE_ATW1_ON,D,20201118,000000,54.7,54.7,54.7,54.7,126
ICE_ATW1_ON,D,20201117,000000,54.85,54.85,54.85,54.85,141
ICE_ATW1_ON,D,20201116,000000,56.75,56.75,56.0,56.0,173
ICE_ATW1_ON,D,20201113,000000,55.85,55.85,55.85,55.85,194
ICE_ATW1_ON,D,20201112,000000,55.5,56.3,55.5,56.3,261
ICE_ATW1_ON,D,20201111,000000,54.55,54.55,54.55,54.55,140
ICE_ATW1_ON,D,20201110,000000,53.55,53.55,53.55,53.55,143
ICE_ATW1_ON,D,20201109,000000,52.65,52.65,52.65,52.65,216
ICE_ATW1_ON,D,20201106,000000,53.4,53.5,53.35,53.35,89
ICE_ATW1_ON,D,20201105,000000,54.3,54.3,54.3,54.3,246
ICE_ATW1_ON,D,20201104,000000,53.0,53.0,53.0,53.0,166
ICE_ATW1_ON,D,20201103,000000,53.35,53.35,53.35,53.35,158
ICE_ATW1_ON,D,20201102,000000,51.85,51.85,51.85,51.85,299
ICE_ATW1_ON,D,20201030,000000,52.8,52.8,52.8,52.8,230
ICE_ATW1_ON,D,20201029,000000,54.2,54.2,54.2,54.2,249
ICE_ATW1_ON,D,20201028,000000,55.85,55.85,55.85,55.85,225
ICE_ATW1_ON,D,20201027,000000,56.65,56.65,56.65,56.65,236
ICE_ATW1_ON,D,20201026,000000,56.45,56.45,56.45,56.45,123
ICE_ATW1_ON,D,20201023,000000,58.2,58.2,58.2,58.2,51
ICE_ATW1_ON,D,20201022,000000,58.3,58.55,58.3,58.55,101
ICE_ATW1_ON,D,20201021,000000,57.8,57.8,57.8,57.8,84
ICE_ATW1_ON,D,20201020,000000,59.05,59.05,59.05,59.05,93
ICE_ATW1_ON,D,20201019,000000,59.45,59.45,59.45,59.45,170
ICE_ATW1_ON,D,20201016,000000,58.25,58.25,58.25,58.25,77
ICE_ATW1_ON,D,20201015,000000,57.8,57.8,57.8,57.8,137
ICE_ATW1_ON,D,20201014,000000,57.9,57.9,57.9,57.9,90
ICE_ATW1_ON,D,20201013,000000,57.3,57.3,57.3,57.3,117
ICE_ATW1_ON,D,20201012,000000,57.5,57.5,57.5,57.5,103
ICE_ATW1_ON,D,20201009,000000,58.95,58.95,58.95,58.95,73
ICE_ATW1_ON,D,20201008,000000,59.1,59.1,59.1,59.1,269
ICE_ATW1_ON,D,20201007,000000,58.9,58.9,58.9,58.9,182
ICE_ATW1_ON,D,20201006,000000,59.1,59.1,59.1,59.1,136
ICE_ATW1_ON,D,20201005,000000,58.55,58.55,58.55,58.55,149
ICE_ATW1_ON,D,20201002,000000,56.95,56.95,56.95,56.95,160
ICE_ATW1_ON,D,20201001,000000,59.0,59.0,59.0,59.0,170
ICE_ATW1_ON,D,20200930,000000,58.1,58.55,58.0,58.55,38
ICE_ATW1_ON,D,20200929,000000,58.2,58.2,58.2,58.2,76
ICE_ATW1_ON,D,20200928,000000,58.9,59.2,58.9,59.2,111
ICE_ATW1_ON,D,20200925,000000,58.0,58.0,57.5,57.5,223
ICE_ATW1_ON,D,20200924,000000,58.2,58.2,58.2,58.2,124
ICE_ATW1_ON,D,20200923,000000,55.0,56.25,55.0,56.25,88
ICE_ATW1_ON,D,20200922,000000,55.25,55.25,55.25,55.25,28
ICE_ATW1_ON,D,20200921,000000,54.55,54.55,54.55,54.55,30
ICE_ATW1_ON,D,20200918,000000,55.15,55.15,55.15,55.15,32
ICE_ATW1_ON,D,20200917,000000,55.5,55.5,55.2,55.2,49
ICE_ATW1_ON,D,20200916,000000,55.6,55.6,55.6,55.6,61
ICE_ATW1_ON,D,20200915,000000,54.75,54.75,54.75,54.75,104
ICE_ATW1_ON,D,20200914,000000,54.85,54.85,54.85,54.85,46
ICE_ATW1_ON,D,20200911,000000,54.4,54.85,54.4,54.85,89
ICE_ATW1_ON,D,20200910,000000,54.3,54.3,54.3,54.3,36
ICE_ATW1_ON,D,20200909,000000,53.95,53.95,53.65,53.65,64
ICE_ATW1_ON,D,20200908,000000,53.25,53.75,53.25,53.75,69
ICE_ATW1_ON,D,20200907,000000,52.35,52.35,52.35,52.35,79
ICE_ATW1_ON,D,20200904,000000,53.8,54.0,53.3,53.3,140
ICE_ATW1_ON,D,20200903,000000,53.4,53.6,53.4,53.5,163
ICE_ATW1_ON,D,20200902,000000,53.5,53.5,53.5,53.5,121
ICE_ATW1_ON,D,20200901,000000,54.95,54.95,54.95,54.95,115
ICE_ATW1_ON,D,20200831,000000,54.0,54.0,54.0,54.0,18
ICE_ATW1_ON,D,20200828,000000,53.4,53.4,53.3,53.3,87
ICE_ATW1_ON,D,20200827,000000,52.4,52.4,52.4,52.4,121
ICE_ATW1_ON,D,20200826,000000,50.75,50.75,50.75,50.75,125
ICE_ATW1_ON,D,20200825,000000,50.65,50.65,50.65,50.65,27
ICE_ATW1_ON,D,20200824,000000,49.7,49.7,49.7,49.7,65
ICE_ATW1_ON,D,20200821,000000,48.95,48.95,48.95,48.95,67
ICE_ATW1_ON,D,20200820,000000,49.9,49.9,49.9,49.9,27
ICE_ATW1_ON,D,20200819,000000,50.8,50.8,50.8,50.8,49
ICE_ATW1_ON,D,20200818,000000,51.2,51.3,51.2,51.3,20
ICE_ATW1_ON,D,20200817,000000,50.9,50.9,50.9,50.9,50
ICE_ATW1_ON,D,20200814,000000,50.75,50.75,50.75,50.75,98
ICE_ATW1_ON,D,20200813,000000,51.85,51.85,51.85,51.85,50
ICE_ATW1_ON,D,20200812,000000,50.35,50.35,50.35,50.35,97
ICE_ATW1_ON,D,20200811,000000,51.25,51.25,51.25,51.25,120
ICE_ATW1_ON,D,20200810,000000,52.7,52.7,52.7,52.7,40
ICE_ATW1_ON,D,20200807,000000,53.15,53.15,53.15,53.15,18
ICE_ATW1_ON,D,20200806,000000,52.9,52.9,52.9,52.9,32
ICE_ATW1_ON,D,20200805,000000,53.8,53.8,53.6,53.6,16
ICE_ATW1_ON,D,20200804,000000,53.85,53.9,53.7,53.9,32
ICE_ATW1_ON,D,20200803,000000,53.85,53.85,53.85,53.85,25
ICE_ATW1_ON,D,20200731,000000,54.3,54.3,54.3,54.3,44
ICE_ATW1_ON,D,20200730,000000,53.15,53.15,53.15,53.15,51
ICE_ATW1_ON,D,20200729,000000,53.3,53.3,53.3,53.3,39
ICE_ATW1_ON,D,20200728,000000,52.7,52.7,52.7,52.7,81
ICE_ATW1_ON,D,20200727,000000,52.4,52.4,52.4,52.4,48
ICE_ATW1_ON,D,20200724,000000,53.2,53.2,53.2,53.2,17
ICE_ATW1_ON,D,20200723,000000,53.7,53.7,53.7,53.7,36
ICE_ATW1_ON,D,20200722,000000,54.0,54.0,54.0,54.0,151
ICE_ATW1_ON,D,20200721,000000,53.15,53.95,53.15,53.95,179
ICE_ATW1_ON,D,20200720,000000,52.4,52.4,52.4,52.4,25
ICE_ATW1_ON,D,20200717,000000,52.65,52.65,52.65,52.65,39
ICE_ATW1_ON,D,20200716,000000,51.9,51.9,51.9,51.9,29
ICE_ATW1_ON,D,20200715,000000,52.6,52.6,52.6,52.6,108
ICE_ATW1_ON,D,20200714,000000,52.0,52.0,52.0,52.0,61
ICE_ATW1_ON,D,20200713,000000,51.8,51.8,51.8,51.8,19
ICE_ATW1_ON,D,20200710,000000,51.35,51.35,51.35,51.35,51
ICE_ATW1_ON,D,20200709,000000,51.6,51.6,51.6,51.6,104
ICE_ATW1_ON,D,20200708,000000,52.75,52.95,52.75,52.95,74
ICE_ATW1_ON,D,20200707,000000,54.5,54.6,54.2,54.2,107
ICE_ATW1_ON,D,20200706,000000,54.15,54.15,54.15,54.15,72
ICE_ATW1_ON,D,20200703,000000,52.95,52.95,52.95,52.95,60
ICE_ATW1_ON,D,20200702,000000,52.9,53.65,52.9,53.65,95
ICE_ATW1_ON,D,20200701,000000,53.2,53.2,53.2,53.2,184
ICE_ATW1_ON,D,20200630,000000,52.8,52.8,52.8,52.8,255
ICE_ATW1_ON,D,20200629,000000,53.35,53.35,53.35,53.35,14
ICE_ATW1_ON,D,20200626,000000,52.5,52.5,52.5,52.5,168
ICE_ATW1_ON,D,20200625,000000,52.0,52.0,52.0,52.0,114
ICE_ATW1_ON,D,20200624,000000,51.2,51.2,51.2,51.2,178
ICE_ATW1_ON,D,20200623,000000,50.6,50.6,50.6,50.6,185
ICE_ATW1_ON,D,20200622,000000,49.65,49.65,49.65,49.65,43
ICE_ATW1_ON,D,20200619,000000,48.85,49.1,48.85,49.1,91
ICE_ATW1_ON,D,20200618,000000,48.65,48.65,48.65,48.65,34
ICE_ATW1_ON,D,20200617,000000,48.1,48.1,48.1,48.1,128
ICE_ATW1_ON,D,20200616,000000,48.15,48.15,47.65,47.65,66
ICE_ATW1_ON,D,20200615,000000,47.95,47.95,47.95,47.95,29
ICE_ATW1_ON,D,20200612,000000,47.35,47.35,47.35,47.35,21
ICE_ATW1_ON,D,20200611,000000,46.75,46.75,46.75,46.75,87
ICE_ATW1_ON,D,20200610,000000,47.5,47.65,47.5,47.55,126
ICE_ATW1_ON,D,20200609,000000,48.5,48.5,48.5,48.5,29
ICE_ATW1_ON,D,20200608,000000,49.15,49.15,49.15,49.15,23
ICE_ATW1_ON,D,20200605,000000,49.85,49.85,49.85,49.85,162
ICE_ATW1_ON,D,20200604,000000,49.0,49.0,49.0,49.0,26
ICE_ATW1_ON,D,20200603,000000,49.55,49.55,49.2,49.2,102
ICE_ATW1_ON,D,20200602,000000,49.85,49.85,49.85,49.85,426
ICE_ATW1_ON,D,20200601,000000,47.95,47.95,47.95,47.95,146
ICE_ATW1_ON,D,20200529,000000,45.85,45.85,45.85,45.85,96
ICE_ATW1_ON,D,20200528,000000,46.2,46.2,46.2,46.2,32
ICE_ATW1_ON,D,20200527,000000,46.05,46.05,46.05,46.05,29
ICE_ATW1_ON,D,20200526,000000,46.55,46.55,46.55,46.55,27
ICE_ATW1_ON,D,20200525,000000,46.25,46.25,46.25,46.25,0
ICE_ATW1_ON,D,20200522,000000,45.85,46.25,45.85,46.25,24
ICE_ATW1_ON,D,20200521,000000,46.1,46.1,46.1,46.1,57
ICE_ATW1_ON,D,20200520,000000,46.45,46.45,46.45,46.45,41
ICE_ATW1_ON,D,20200519,000000,45.55,45.55,45.55,45.55,87
ICE_ATW1_ON,D,20200518,000000,46.2,46.5,46.2,46.5,30
ICE_ATW1_ON,D,20200515,000000,46.2,46.2,46.2,46.2,39
ICE_ATW1_ON,D,20200514,000000,46.3,46.65,46.3,46.65,52
ICE_ATW1_ON,D,20200513,000000,46.3,46.3,46.3,46.3,27
ICE_ATW1_ON,D,20200512,000000,46.8,46.8,46.25,46.25,158
ICE_ATW1_ON,D,20200511,000000,46.9,46.9,46.7,46.8,9
ICE_ATW1_ON,D,20200508,000000,46.95,46.95,46.95,46.95,0
ICE_ATW1_ON,D,20200507,000000,47.1,47.1,47.1,47.1,84
ICE_ATW1_ON,D,20200506,000000,46.55,46.55,46.55,46.55,20
ICE_ATW1_ON,D,20200505,000000,46.8,46.8,46.8,46.8,47
ICE_ATW1_ON,D,20200504,000000,45.4,45.4,45.4,45.4,21
ICE_ATW1_ON,D,20200501,000000,45.7,45.7,45.7,45.7,13
ICE_ATW1_ON,D,20200430,000000,46.3,46.3,46.3,46.3,35
ICE_ATW1_ON,D,20200429,000000,43.5,43.5,43.5,43.5,35
ICE_ATW1_ON,D,20200428,000000,42.95,42.95,42.95,42.95,28
ICE_ATW1_ON,D,20200427,000000,43.1,43.1,43.1,43.1,40
ICE_ATW1_ON,D,20200424,000000,45.2,45.2,45.2,45.2,9
ICE_ATW1_ON,D,20200423,000000,45.5,45.5,45.5,45.5,42
ICE_ATW1_ON,D,20200422,000000,45.75,45.75,45.75,45.75,50
ICE_ATW1_ON,D,20200421,000000,46.0,46.0,46.0,46.0,41
ICE_ATW1_ON,D,20200420,000000,47.9,47.9,47.9,47.9,115
ICE_ATW1_ON,D,20200417,000000,48.05,48.05,48.05,48.05,43
ICE_ATW1_ON,D,20200416,000000,45.7,47.15,45.7,47.15,50
ICE_ATW1_ON,D,20200415,000000,46.5,46.5,46.5,46.5,86
ICE_ATW1_ON,D,20200414,000000,47.05,47.05,47.05,47.05,22
ICE_ATW1_ON,D,20200413,000000,48.2,48.2,48.2,48.2,0
ICE_ATW1_ON,D,20200409,000000,48.45,48.45,48.45,48.45,64
ICE_ATW1_ON,D,20200408,000000,48.4,48.4,48.4,48.4,12
ICE_ATW1_ON,D,20200407,000000,49.25,49.25,49.25,49.25,75
ICE_ATW1_ON,D,20200406,000000,48.0,48.0,48.0,48.0,93
ICE_ATW1_ON,D,20200403,000000,47.6,47.6,47.6,47.6,76
ICE_ATW1_ON,D,20200402,000000,48.75,48.75,48.75,48.75,205
ICE_ATW1_ON,D,20200401,000000,49.5,49.5,49.5,49.5,103
ICE_ATW1_ON,D,20200331,000000,50.75,50.75,50.75,50.75,40
ICE_ATW1_ON,D,20200330,000000,52.0,52.0,52.0,52.0,17
ICE_ATW1_ON,D,20200327,000000,53.2,53.2,53.2,53.2,55
ICE_ATW1_ON,D,20200326,000000,54.2,54.2,54.2,54.2,128
ICE_ATW1_ON,D,20200325,000000,54.6,54.6,54.6,54.6,138
ICE_ATW1_ON,D,20200324,000000,53.5,53.5,53.5,53.5,105
ICE_ATW1_ON,D,20200323,000000,51.1,51.1,51.1,51.1,91
ICE_ATW1_ON,D,20200320,000000,51.3,51.3,51.3,51.3,34
ICE_ATW1_ON,D,20200319,000000,50.4,50.4,50.4,50.4,102
ICE_ATW1_ON,D,20200318,000000,51.35,51.35,51.35,51.35,50
ICE_ATW1_ON,D,20200317,000000,51.45,51.45,51.45,51.45,124
ICE_ATW1_ON,D,20200316,000000,50.25,50.25,50.25,50.25,172
ICE_ATW1_ON,D,20200313,000000,50.15,50.15,50.15,50.15,113
ICE_ATW1_ON,D,20200312,000000,49.35,49.35,49.35,49.35,56
ICE_ATW1_ON,D,20200311,000000,49.7,49.7,49.7,49.7,66
ICE_ATW1_ON,D,20200310,000000,49.0,49.0,49.0,49.0,43
ICE_ATW1_ON,D,20200309,000000,48.3,48.6,48.3,48.6,81
ICE_ATW1_ON,D,20200306,000000,48.85,48.85,48.85,48.85,31
ICE_ATW1_ON,D,20200305,000000,49.75,49.75,49.75,49.75,32
ICE_ATW1_ON,D,20200304,000000,49.3,49.3,49.3,49.3,46
ICE_ATW1_ON,D,20200303,000000,49.1,49.1,49.1,49.1,74
ICE_ATW1_ON,D,20200302,000000,49.2,49.2,49.2,49.2,34
ICE_ATW1_ON,D,20200228,000000,49.4,49.4,49.4,49.4,23
ICE_ATW1_ON,D,20200227,000000,48.95,48.95,48.95,48.95,31
ICE_ATW1_ON,D,20200226,000000,49.7,49.7,49.7,49.7,39
ICE_ATW1_ON,D,20200225,000000,49.2,49.2,49.2,49.2,29
ICE_ATW1_ON,D,20200224,000000,48.8,48.8,48.8,48.8,121
ICE_ATW1_ON,D,20200221,000000,50.0,50.0,50.0,50.0,49
ICE_ATW1_ON,D,20200220,000000,50.6,50.6,50.6,50.6,89
ICE_ATW1_ON,D,20200219,000000,51.25,51.25,51.25,51.25,75
ICE_ATW1_ON,D,20200218,000000,51.4,51.4,51.4,51.4,70
ICE_ATW1_ON,D,20200217,000000,53.65,53.65,53.65,53.65,58
ICE_ATW1_ON,D,20200214,000000,53.5,53.5,53.5,53.5,159
ICE_ATW1_ON,D,20200213,000000,52.9,52.9,52.9,52.9,129
ICE_ATW1_ON,D,20200212,000000,51.9,51.9,51.9,51.9,92
ICE_ATW1_ON,D,20200211,000000,51.25,51.25,51.25,51.25,88
ICE_ATW1_ON,D,20200210,000000,49.75,49.75,49.75,49.75,52
ICE_ATW1_ON,D,20200207,000000,51.4,51.4,51.4,51.4,37
ICE_ATW1_ON,D,20200206,000000,52.3,52.3,52.3,52.3,85
ICE_ATW1_ON,D,20200205,000000,53.6,53.6,53.55,53.55,82
ICE_ATW1_ON,D,20200204,000000,53.1,53.1,53.1,53.1,63
ICE_ATW1_ON,D,20200203,000000,51.2,51.2,51.2,51.2,40
ICE_ATW1_ON,D,20200131,000000,50.95,50.95,50.95,50.95,23
ICE_ATW1_ON,D,20200130,000000,51.35,51.35,51.35,51.35,81
ICE_ATW1_ON,D,20200129,000000,52.75,52.75,52.75,52.75,67
ICE_ATW1_ON,D,20200128,000000,54.2,54.2,54.2,54.2,88
ICE_ATW1_ON,D,20200127,000000,53.3,53.3,53.3,53.3,52
ICE_ATW1_ON,D,20200124,000000,52.65,52.65,52.65,52.65,22
ICE_ATW1_ON,D,20200123,000000,52.45,52.45,52.45,52.45,75
ICE_ATW1_ON,D,20200122,000000,51.9,51.9,51.9,51.9,44
ICE_ATW1_ON,D,20200121,000000,52.2,52.2,52.2,52.2,43
ICE_ATW1_ON,D,20200120,000000,51.55,51.55,51.55,51.55,72
ICE_ATW1_ON,D,20200117,000000,51.8,51.8,51.8,51.8,181
ICE_ATW1_ON,D,20200116,000000,52.75,52.75,52.75,52.75,89
ICE_ATW1_ON,D,20200115,000000,54.6,54.6,54.6,54.6,160
ICE_ATW1_ON,D,20200114,000000,55.7,55.7,55.7,55.7,127
ICE_ATW1_ON,D,20200113,000000,57.9,57.9,57.9,57.9,66
ICE_ATW1_ON,D,20200110,000000,56.9,56.9,56.9,56.9,80
ICE_ATW1_ON,D,20200109,000000,56.45,56.45,56.45,56.45,90
ICE_ATW1_ON,D,20200108,000000,54.3,54.3,53.75,53.8,76
ICE_ATW1_ON,D,20200107,000000,53.7,53.85,53.45,53.85,90
ICE_ATW1_ON,D,20200106,000000,54.5,54.55,53.6,53.75,138
ICE_ATW1_ON,D,20200103,000000,54.0,54.2,54.0,54.2,39
