<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE_CC1_ON,D,20210222,000000,2450,2505,2446,2490,19762
ICE_CC1_ON,D,20210219,000000,2396,2454,2387,2443,20125
ICE_CC1_ON,D,20210218,000000,2386,2424,2381,2391,16167
ICE_CC1_ON,D,20210217,000000,2429,2436,2371,2374,23760
ICE_CC1_ON,D,20210216,000000,2465,2470,2401,2428,27252
ICE_CC1_ON,D,20210215,000000,2433,2433,2433,2433,0
ICE_CC1_ON,D,20210212,000000,2433,2472,2422,2433,22355
ICE_CC1_ON,D,20210211,000000,2500,2509,2431,2437,27585
ICE_CC1_ON,D,20210210,000000,2440,2520,2436,2494,28909
ICE_CC1_ON,D,20210209,000000,2462,2472,2428,2430,22263
ICE_CC1_ON,D,20210208,000000,2473,2476,2433,2445,28820
ICE_CC1_ON,D,20210205,000000,2451,2491,2438,2472,30374
ICE_CC1_ON,D,20210204,000000,2453,2481,2440,2450,20112
ICE_CC1_ON,D,20210203,000000,2488,2492,2447,2454,20934
ICE_CC1_ON,D,20210202,000000,2484,2516,2460,2499,32903
ICE_CC1_ON,D,20210201,000000,2471,2502,2446,2485,13470
ICE_CC1_ON,D,20210129,000000,2505,2545,2500,2531,14239
ICE_CC1_ON,D,20210128,000000,2491,2530,2478,2510,15416
ICE_CC1_ON,D,20210127,000000,2560,2597,2498,2504,17868
ICE_CC1_ON,D,20210126,000000,2502,2555,2489,2545,19801
ICE_CC1_ON,D,20210125,000000,2518,2525,2490,2508,18074
ICE_CC1_ON,D,20210122,000000,2536,2537,2483,2529,18843
ICE_CC1_ON,D,20210121,000000,2573,2573,2537,2550,13986
ICE_CC1_ON,D,20210120,000000,2599,2624,2556,2569,20046
ICE_CC1_ON,D,20210119,000000,2546,2605,2521,2590,23417
ICE_CC1_ON,D,20210118,000000,2527,2527,2527,2527,0
ICE_CC1_ON,D,20210115,000000,2534,2559,2512,2527,13290
ICE_CC1_ON,D,20210114,000000,2494,2518,2463,2500,15617
ICE_CC1_ON,D,20210113,000000,2498,2538,2486,2499,14890
ICE_CC1_ON,D,20210112,000000,2488,2516,2479,2498,12802
ICE_CC1_ON,D,20210111,000000,2499,2516,2471,2480,14509
ICE_CC1_ON,D,20210108,000000,2543,2564,2500,2516,13964
ICE_CC1_ON,D,20210107,000000,2480,2551,2468,2547,21473
ICE_CC1_ON,D,20210106,000000,2514,2537,2471,2486,15780
ICE_CC1_ON,D,20210105,000000,2540,2542,2495,2514,16808
ICE_CC1_ON,D,20210104,000000,2624,2661,2542,2552,24588
ICE_CC1_ON,D,20201231,000000,2611,2624,2553,2603,11951
ICE_CC1_ON,D,20201230,000000,2503,2607,2499,2597,18874
ICE_CC1_ON,D,20201229,000000,2556,2558,2495,2507,14469
ICE_CC1_ON,D,20201228,000000,2599,2604,2550,2560,5906
ICE_CC1_ON,D,20201224,000000,2561,2600,2532,2593,6064
ICE_CC1_ON,D,20201223,000000,2530,2575,2524,2557,12423
ICE_CC1_ON,D,20201222,000000,2579,2579,2504,2535,18674
ICE_CC1_ON,D,20201221,000000,2475,2577,2439,2555,25895
ICE_CC1_ON,D,20201218,000000,2541,2554,2492,2506,13908
ICE_CC1_ON,D,20201217,000000,2537,2562,2511,2541,13091
ICE_CC1_ON,D,20201216,000000,2556,2558,2506,2517,14091
ICE_CC1_ON,D,20201215,000000,2604,2633,2534,2541,15744
ICE_CC1_ON,D,20201214,000000,2639,2653,2581,2589,12093
ICE_CC1_ON,D,20201211,000000,2585,2633,2577,2622,15013
ICE_CC1_ON,D,20201210,000000,2549,2584,2522,2567,15605
ICE_CC1_ON,D,20201209,000000,2582,2612,2540,2549,18011
ICE_CC1_ON,D,20201208,000000,2636,2648,2557,2575,14689
ICE_CC1_ON,D,20201207,000000,2614,2644,2589,2636,14611
ICE_CC1_ON,D,20201204,000000,2639,2675,2622,2654,11593
ICE_CC1_ON,D,20201203,000000,2648,2726,2630,2651,16677
ICE_CC1_ON,D,20201202,000000,2655,2664,2612,2638,15208
ICE_CC1_ON,D,20201201,000000,2749,2765,2665,2691,23509
ICE_CC1_ON,D,20201130,000000,2760,2768,2725,2739,14236
ICE_CC1_ON,D,20201127,000000,2766,2782,2701,2766,17568
ICE_CC1_ON,D,20201126,000000,2724,2724,2724,2724,0
ICE_CC1_ON,D,20201125,000000,2759,2768,2685,2724,22415
ICE_CC1_ON,D,20201124,000000,2774,2821,2752,2785,29878
ICE_CC1_ON,D,20201123,000000,2751,2774,2724,2753,28044
ICE_CC1_ON,D,20201120,000000,2664,2746,2663,2712,33176
ICE_CC1_ON,D,20201119,000000,2598,2670,2576,2665,27401
ICE_CC1_ON,D,20201118,000000,2530,2607,2510,2580,26778
ICE_CC1_ON,D,20201117,000000,2448,2529,2434,2517,37806
ICE_CC1_ON,D,20201116,000000,2409,2464,2405,2435,27185
ICE_CC1_ON,D,20201113,000000,2339,2395,2332,2365,18671
ICE_CC1_ON,D,20201112,000000,2366,2370,2331,2356,17840
ICE_CC1_ON,D,20201111,000000,2383,2406,2365,2374,15714
ICE_CC1_ON,D,20201110,000000,2403,2420,2345,2357,27589
ICE_CC1_ON,D,20201109,000000,2340,2424,2332,2391,30197
ICE_CC1_ON,D,20201106,000000,2330,2347,2316,2338,20332
ICE_CC1_ON,D,20201105,000000,2308,2327,2284,2318,19153
ICE_CC1_ON,D,20201104,000000,2288,2306,2265,2291,14222
ICE_CC1_ON,D,20201103,000000,2263,2312,2263,2308,24147
ICE_CC1_ON,D,20201102,000000,2300,2300,2247,2264,28033
ICE_CC1_ON,D,20201030,000000,2340,2353,2292,2305,21525
ICE_CC1_ON,D,20201029,000000,2383,2385,2331,2338,14578
ICE_CC1_ON,D,20201028,000000,2418,2418,2366,2378,12301
ICE_CC1_ON,D,20201027,000000,2500,2502,2430,2455,9995
ICE_CC1_ON,D,20201026,000000,2483,2510,2461,2492,11440
ICE_CC1_ON,D,20201023,000000,2471,2506,2469,2479,10599
ICE_CC1_ON,D,20201022,000000,2426,2472,2422,2471,7646
ICE_CC1_ON,D,20201021,000000,2398,2450,2389,2426,10663
ICE_CC1_ON,D,20201020,000000,2418,2418,2370,2382,7274
ICE_CC1_ON,D,20201019,000000,2373,2437,2372,2425,15134
ICE_CC1_ON,D,20201016,000000,2338,2371,2332,2361,14735
ICE_CC1_ON,D,20201015,000000,2390,2392,2331,2343,18965
ICE_CC1_ON,D,20201014,000000,2378,2410,2360,2391,18739
ICE_CC1_ON,D,20201013,000000,2426,2439,2371,2381,23869
ICE_CC1_ON,D,20201012,000000,2432,2453,2416,2444,12510
ICE_CC1_ON,D,20201009,000000,2472,2473,2409,2432,14894
ICE_CC1_ON,D,20201008,000000,2465,2492,2454,2473,14047
ICE_CC1_ON,D,20201007,000000,2425,2467,2414,2452,13722
ICE_CC1_ON,D,20201006,000000,2465,2473,2419,2437,17107
ICE_CC1_ON,D,20201005,000000,2469,2498,2445,2459,19880
ICE_CC1_ON,D,20201002,000000,2480,2505,2442,2482,20408
ICE_CC1_ON,D,20201001,000000,2526,2527,2461,2508,28460
ICE_CC1_ON,D,20200930,000000,2589,2615,2527,2546,15448
ICE_CC1_ON,D,20200929,000000,2581,2599,2542,2588,13580
ICE_CC1_ON,D,20200928,000000,2579,2640,2576,2587,14414
ICE_CC1_ON,D,20200925,000000,2617,2624,2548,2568,13021
ICE_CC1_ON,D,20200924,000000,2577,2643,2575,2599,13267
ICE_CC1_ON,D,20200923,000000,2553,2598,2542,2580,13394
ICE_CC1_ON,D,20200922,000000,2643,2649,2547,2556,17211
ICE_CC1_ON,D,20200921,000000,2654,2707,2608,2629,17679
ICE_CC1_ON,D,20200918,000000,2618,2671,2614,2641,14112
ICE_CC1_ON,D,20200917,000000,2600,2678,2577,2600,16404
ICE_CC1_ON,D,20200916,000000,2689,2695,2592,2602,24153
ICE_CC1_ON,D,20200915,000000,2564,2698,2563,2694,34727
ICE_CC1_ON,D,20200914,000000,2554,2585,2547,2556,11846
ICE_CC1_ON,D,20200911,000000,2537,2569,2529,2548,8828
ICE_CC1_ON,D,20200910,000000,2568,2583,2530,2537,11920
ICE_CC1_ON,D,20200909,000000,2558,2572,2539,2562,13710
ICE_CC1_ON,D,20200908,000000,2576,2582,2521,2555,18873
ICE_CC1_ON,D,20200907,000000,2595,2595,2595,2595,0
ICE_CC1_ON,D,20200904,000000,2634,2654,2586,2595,17366
ICE_CC1_ON,D,20200903,000000,2700,2708,2624,2634,17739
ICE_CC1_ON,D,20200902,000000,2662,2700,2639,2681,15195
ICE_CC1_ON,D,20200901,000000,2664,2684,2651,2666,19280
ICE_CC1_ON,D,20200831,000000,2626,2673,2626,2654,13960
ICE_CC1_ON,D,20200828,000000,2565,2635,2539,2623,22800
ICE_CC1_ON,D,20200827,000000,2477,2566,2477,2539,19613
ICE_CC1_ON,D,20200826,000000,2500,2509,2452,2476,10690
ICE_CC1_ON,D,20200825,000000,2486,2514,2479,2487,13428
ICE_CC1_ON,D,20200824,000000,2408,2475,2402,2459,15484
ICE_CC1_ON,D,20200821,000000,2400,2419,2355,2409,15441
ICE_CC1_ON,D,20200820,000000,2448,2479,2393,2400,14660
ICE_CC1_ON,D,20200819,000000,2445,2465,2422,2460,13097
ICE_CC1_ON,D,20200818,000000,2427,2450,2412,2445,12936
ICE_CC1_ON,D,20200817,000000,2446,2460,2415,2429,21618
ICE_CC1_ON,D,20200814,000000,2481,2528,2448,2454,27313
ICE_CC1_ON,D,20200813,000000,2456,2496,2456,2480,19380
ICE_CC1_ON,D,20200812,000000,2445,2480,2445,2465,18630
ICE_CC1_ON,D,20200811,000000,2475,2475,2427,2448,31076
ICE_CC1_ON,D,20200810,000000,2519,2535,2466,2488,30154
ICE_CC1_ON,D,20200807,000000,2514,2527,2490,2523,31753
ICE_CC1_ON,D,20200806,000000,2474,2517,2468,2494,31602
ICE_CC1_ON,D,20200805,000000,2446,2482,2446,2474,23563
ICE_CC1_ON,D,20200804,000000,2464,2474,2437,2447,22680
ICE_CC1_ON,D,20200803,000000,2404,2481,2396,2469,27360
ICE_CC1_ON,D,20200731,000000,2371,2419,2358,2400,19622
ICE_CC1_ON,D,20200730,000000,2329,2394,2329,2344,20134
ICE_CC1_ON,D,20200729,000000,2300,2365,2299,2341,18691
ICE_CC1_ON,D,20200728,000000,2294,2307,2254,2291,13416
ICE_CC1_ON,D,20200727,000000,2229,2301,2228,2286,18636
ICE_CC1_ON,D,20200724,000000,2190,2250,2188,2224,11950
ICE_CC1_ON,D,20200723,000000,2210,2229,2176,2202,10758
ICE_CC1_ON,D,20200722,000000,2186,2219,2164,2205,8972
ICE_CC1_ON,D,20200721,000000,2215,2258,2173,2176,18809
ICE_CC1_ON,D,20200720,000000,2162,2226,2137,2219,21822
