<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE_CT1_ON,D,20210222,000000,90.83,92.55,90.83,92.41,14963
ICE_CT1_ON,D,20210219,000000,90.22,91.16,89.57,90.48,13430
ICE_CT1_ON,D,20210218,000000,89.9,90.77,89.53,90.3,18183
ICE_CT1_ON,D,20210217,000000,89.6,90.0,89.11,89.93,20154
ICE_CT1_ON,D,20210216,000000,88.68,90.42,88.68,89.6,24461
ICE_CT1_ON,D,20210215,000000,88.66,88.66,88.66,88.66,0
ICE_CT1_ON,D,20210212,000000,88.1,88.72,86.87,88.66,24064
ICE_CT1_ON,D,20210211,000000,86.11,88.16,86.03,87.87,25409
ICE_CT1_ON,D,20210210,000000,87.7,87.95,85.8,86.18,33981
ICE_CT1_ON,D,20210209,000000,86.0,88.32,85.73,88.13,35960
ICE_CT1_ON,D,20210208,000000,84.32,85.85,84.05,85.6,25583
ICE_CT1_ON,D,20210205,000000,85.39,85.96,83.88,84.02,29177
ICE_CT1_ON,D,20210204,000000,81.0,84.82,80.84,84.28,34961
ICE_CT1_ON,D,20210203,000000,80.69,81.14,80.45,80.99,14313
ICE_CT1_ON,D,20210202,000000,80.24,81.01,79.8,80.69,17849
ICE_CT1_ON,D,20210201,000000,80.68,81.6,79.81,80.03,20102
ICE_CT1_ON,D,20210129,000000,79.98,80.85,79.75,80.64,14186
ICE_CT1_ON,D,20210128,000000,80.85,81.4,79.85,79.93,20302
ICE_CT1_ON,D,20210127,000000,81.72,82.43,80.68,80.84,17385
ICE_CT1_ON,D,20210126,000000,82.3,82.32,81.11,81.71,18843
ICE_CT1_ON,D,20210125,000000,81.56,82.47,81.5,82.33,14739
ICE_CT1_ON,D,20210122,000000,82.52,82.56,81.5,81.56,21533
ICE_CT1_ON,D,20210121,000000,81.59,83.06,81.4,82.57,17483
ICE_CT1_ON,D,20210120,000000,81.0,81.75,80.6,81.59,15914
ICE_CT1_ON,D,20210119,000000,80.88,81.85,80.75,81.15,16216
ICE_CT1_ON,D,20210118,000000,80.7,80.7,80.7,80.7,0
ICE_CT1_ON,D,20210115,000000,81.12,81.43,80.6,80.7,12886
ICE_CT1_ON,D,20210114,000000,80.92,81.52,80.25,81.15,12517
ICE_CT1_ON,D,20210113,000000,81.7,82.08,80.76,80.92,18437
ICE_CT1_ON,D,20210112,000000,80.45,81.77,79.86,81.7,22760
ICE_CT1_ON,D,20210111,000000,80.0,80.5,78.65,80.43,20155
ICE_CT1_ON,D,20210108,000000,79.76,80.39,79.55,79.77,11960
ICE_CT1_ON,D,20210107,000000,79.99,80.7,79.65,79.76,14550
ICE_CT1_ON,D,20210106,000000,80.41,80.93,79.92,80.06,17361
ICE_CT1_ON,D,20210105,000000,78.97,80.72,78.97,80.35,20166
ICE_CT1_ON,D,20210104,000000,78.25,79.9,78.25,78.97,22278
ICE_CT1_ON,D,20201231,000000,77.97,78.39,77.48,78.12,8154
ICE_CT1_ON,D,20201230,000000,77.0,78.06,76.9,77.97,12802
ICE_CT1_ON,D,20201229,000000,76.7,77.25,76.36,77.01,9315
ICE_CT1_ON,D,20201228,000000,76.4,76.67,76.15,76.35,5765
ICE_CT1_ON,D,20201224,000000,76.05,76.59,75.91,76.2,5069
ICE_CT1_ON,D,20201223,000000,74.8,76.4,74.4,76.14,12764
ICE_CT1_ON,D,20201222,000000,74.76,75.22,74.28,74.82,13645
ICE_CT1_ON,D,20201221,000000,77.2,77.3,74.6,74.76,24328
ICE_CT1_ON,D,20201218,000000,77.19,77.41,76.85,77.16,11444
ICE_CT1_ON,D,20201217,000000,75.65,77.41,75.51,77.19,19031
ICE_CT1_ON,D,20201216,000000,75.53,76.07,75.34,75.65,11831
ICE_CT1_ON,D,20201215,000000,74.67,75.68,74.55,75.59,14187
ICE_CT1_ON,D,20201214,000000,74.2,75.2,74.2,74.67,14717
ICE_CT1_ON,D,20201211,000000,74.25,74.75,74.0,74.08,13996
ICE_CT1_ON,D,20201210,000000,73.05,74.6,72.73,74.26,23455
ICE_CT1_ON,D,20201209,000000,72.0,73.22,71.86,73.05,14615
ICE_CT1_ON,D,20201208,000000,72.44,72.48,71.7,71.98,9001
ICE_CT1_ON,D,20201207,000000,71.65,72.52,71.35,72.38,15183
ICE_CT1_ON,D,20201204,000000,71.18,72.27,71.11,71.57,13853
ICE_CT1_ON,D,20201203,000000,71.6,71.98,71.07,71.11,11801
ICE_CT1_ON,D,20201202,000000,72.06,72.46,71.35,71.6,16566
ICE_CT1_ON,D,20201201,000000,72.32,73.06,72.14,72.19,13878
ICE_CT1_ON,D,20201130,000000,73.24,73.48,72.05,72.15,13435
ICE_CT1_ON,D,20201127,000000,72.73,73.5,72.4,73.24,9447
ICE_CT1_ON,D,20201126,000000,72.36,72.36,72.36,72.36,0
ICE_CT1_ON,D,20201125,000000,72.84,73.15,72.3,72.36,9775
ICE_CT1_ON,D,20201124,000000,73.8,73.88,71.85,72.98,17102
ICE_CT1_ON,D,20201123,000000,72.99,74.27,72.77,73.8,18895
ICE_CT1_ON,D,20201120,000000,71.7,73.05,71.66,72.96,18043
ICE_CT1_ON,D,20201119,000000,71.83,72.09,71.42,71.67,13981
ICE_CT1_ON,D,20201118,000000,71.11,71.95,71.11,71.83,14044
ICE_CT1_ON,D,20201117,000000,71.58,71.91,71.0,71.3,19486
ICE_CT1_ON,D,20201116,000000,70.4,72.0,70.33,71.58,23287
ICE_CT1_ON,D,20201113,000000,70.55,70.75,70.18,70.4,19704
ICE_CT1_ON,D,20201112,000000,71.3,71.69,70.54,70.62,27817
ICE_CT1_ON,D,20201111,000000,71.79,72.19,71.29,71.38,24360
ICE_CT1_ON,D,20201110,000000,71.68,71.94,70.88,71.65,31718
ICE_CT1_ON,D,20201109,000000,70.29,72.05,70.17,71.68,25930
ICE_CT1_ON,D,20201106,000000,70.0,70.27,68.55,68.62,28441
ICE_CT1_ON,D,20201105,000000,70.29,70.94,69.86,70.07,17441
ICE_CT1_ON,D,20201104,000000,69.95,70.72,69.63,70.23,14561
ICE_CT1_ON,D,20201103,000000,68.74,70.33,68.73,70.24,18557
ICE_CT1_ON,D,20201102,000000,68.75,69.09,68.06,68.73,17708
ICE_CT1_ON,D,20201030,000000,69.86,70.05,68.37,68.92,24444
ICE_CT1_ON,D,20201029,000000,70.15,70.46,69.58,69.82,22025
ICE_CT1_ON,D,20201028,000000,72.0,72.6,70.05,70.17,26099
ICE_CT1_ON,D,20201027,000000,72.0,72.53,71.76,72.03,17272
ICE_CT1_ON,D,20201026,000000,71.35,72.38,71.22,72.11,15545
ICE_CT1_ON,D,20201023,000000,71.7,71.91,71.1,71.29,14571
ICE_CT1_ON,D,20201022,000000,71.0,72.1,70.82,71.94,15855
ICE_CT1_ON,D,20201021,000000,70.81,72.13,70.57,71.04,18840
ICE_CT1_ON,D,20201020,000000,70.97,71.65,70.3,71.02,17589
ICE_CT1_ON,D,20201019,000000,70.0,71.22,70.0,71.16,22047
ICE_CT1_ON,D,20201016,000000,69.01,70.04,69.0,69.92,19573
ICE_CT1_ON,D,20201015,000000,69.1,69.27,68.41,69.22,13503
ICE_CT1_ON,D,20201014,000000,68.82,69.39,68.55,68.93,13303
ICE_CT1_ON,D,20201013,000000,68.67,69.25,68.26,68.83,14142
ICE_CT1_ON,D,20201012,000000,68.02,69.47,68.02,68.37,21355
ICE_CT1_ON,D,20201009,000000,67.75,68.68,67.54,67.64,18578
ICE_CT1_ON,D,20201008,000000,67.77,68.29,67.1,67.49,16718
ICE_CT1_ON,D,20201007,000000,66.7,67.83,66.42,67.59,18847
ICE_CT1_ON,D,20201006,000000,65.65,66.95,65.65,66.86,15004
ICE_CT1_ON,D,20201005,000000,65.7,67.14,65.65,66.03,21731
