<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE_DX1_ON,D,20210222,000000,90.345,90.575,89.98,89.999,35650
ICE_DX1_ON,D,20210219,000000,90.54,90.66,90.165,90.363,27096
ICE_DX1_ON,D,20210218,000000,90.87,90.995,90.535,90.6,32788
ICE_DX1_ON,D,20210217,000000,90.705,91.05,90.61,90.949,33419
ICE_DX1_ON,D,20210216,000000,90.31,90.63,90.095,90.503,30617
ICE_DX1_ON,D,20210215,000000,90.42,90.47,90.25,90.47,13831
ICE_DX1_ON,D,20210212,000000,90.41,90.735,90.355,90.47,22473
ICE_DX1_ON,D,20210211,000000,90.45,90.48,90.25,90.413,18990
ICE_DX1_ON,D,20210210,000000,90.455,90.515,90.235,90.363,24626
ICE_DX1_ON,D,20210209,000000,90.88,90.895,90.405,90.429,22446
ICE_DX1_ON,D,20210208,000000,91.0,91.225,90.88,90.919,29232
ICE_DX1_ON,D,20210205,000000,91.5,91.605,90.96,91.032,26219
ICE_DX1_ON,D,20210204,000000,91.11,91.585,91.085,91.52,19393
ICE_DX1_ON,D,20210203,000000,91.035,91.305,90.98,91.148,21004
ICE_DX1_ON,D,20210202,000000,90.995,91.285,90.795,91.189,31187
ICE_DX1_ON,D,20210201,000000,90.545,91.05,90.49,90.975,26456
ICE_DX1_ON,D,20210129,000000,90.625,90.76,90.335,90.569,29384
ICE_DX1_ON,D,20210128,000000,90.755,90.855,90.375,90.427,33308
ICE_DX1_ON,D,20210127,000000,90.165,90.88,90.13,90.64,47296
ICE_DX1_ON,D,20210126,000000,90.385,90.595,90.09,90.148,26461
ICE_DX1_ON,D,20210125,000000,90.195,90.51,90.075,90.373,18844
ICE_DX1_ON,D,20210122,000000,90.075,90.3,90.05,90.212,22633
ICE_DX1_ON,D,20210121,000000,90.4,90.405,90.03,90.127,22294
ICE_DX1_ON,D,20210120,000000,90.38,90.69,90.25,90.469,24985
ICE_DX1_ON,D,20210119,000000,90.7,90.745,90.38,90.476,29112
ICE_DX1_ON,D,20210118,000000,90.77,90.94,90.685,90.754,16268
ICE_DX1_ON,D,20210115,000000,90.2,90.79,90.195,90.754,29416
ICE_DX1_ON,D,20210114,000000,90.29,90.57,90.04,90.215,23812
ICE_DX1_ON,D,20210113,000000,89.98,90.435,89.89,90.334,26609
ICE_DX1_ON,D,20210112,000000,90.485,90.6,89.995,90.064,23637
ICE_DX1_ON,D,20210111,000000,90.09,90.72,90.055,90.442,30535
ICE_DX1_ON,D,20210108,000000,89.84,90.23,89.625,90.068,38410
ICE_DX1_ON,D,20210107,000000,89.33,89.97,89.325,89.791,23326
ICE_DX1_ON,D,20210106,000000,89.39,89.795,89.165,89.502,40287
ICE_DX1_ON,D,20210105,000000,89.845,89.845,89.39,89.409,19176
ICE_DX1_ON,D,20210104,000000,89.87,89.925,89.39,89.845,28260
ICE_DX1_ON,D,20201231,000000,89.52,89.965,89.475,89.894,13094
ICE_DX1_ON,D,20201230,000000,89.865,89.9,89.515,89.649,23431
ICE_DX1_ON,D,20201229,000000,90.16,90.165,89.785,89.918,17249
ICE_DX1_ON,D,20201228,000000,90.26,90.32,89.895,90.275,18455
ICE_DX1_ON,D,20201224,000000,90.185,90.31,90.075,90.25,10826
ICE_DX1_ON,D,20201223,000000,90.535,90.58,90.05,90.34,27553
ICE_DX1_ON,D,20201222,000000,90.1,90.62,89.95,90.546,21871
ICE_DX1_ON,D,20201221,000000,90.045,90.95,89.925,89.949,39253
ICE_DX1_ON,D,20201218,000000,89.8,90.055,89.755,89.953,17930
ICE_DX1_ON,D,20201217,000000,90.165,90.18,89.64,89.741,29477
ICE_DX1_ON,D,20201216,000000,90.435,90.635,90.045,90.359,28284
