<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_GC1_ON,D,20210222,000000,1782.0,1812.4,1778.6,1808.4,217172
CME_GC1_ON,D,20210219,000000,1774.6,1790.9,1759.0,1777.4,248120
CME_GC1_ON,D,20210218,000000,1776.0,1788.8,1766.6,1775.0,221845
CME_GC1_ON,D,20210217,000000,1793.1,1794.2,1767.9,1772.8,252224
CME_GC1_ON,D,20210216,000000,1826.0,1827.1,1788.1,1799.0,348783
CME_GC1_ON,D,20210212,000000,1825.4,1831.5,1810.1,1823.2,170077
CME_GC1_ON,D,20210211,000000,1844.3,1848.6,1821.7,1826.8,144105
CME_GC1_ON,D,20210210,000000,1838.3,1856.6,1834.0,1842.7,174002
CME_GC1_ON,D,20210209,000000,1832.4,1849.5,1830.3,1837.5,152068
CME_GC1_ON,D,20210208,000000,1818.1,1840.6,1807.3,1834.2,172496
CME_GC1_ON,D,20210205,000000,1794.3,1816.0,1792.2,1813.0,203575
CME_GC1_ON,D,20210204,000000,1834.5,1835.7,1784.6,1791.2,271076
CME_GC1_ON,D,20210203,000000,1838.5,1845.9,1830.1,1835.1,134830
CME_GC1_ON,D,20210202,000000,1863.6,1866.3,1830.4,1833.4,227626
CME_GC1_ON,D,20210201,000000,1865.0,1876.0,1851.7,1863.9,238632
CME_GC1_ON,D,20210129,000000,1845.6,1878.9,1841.2,1850.3,271898
CME_GC1_ON,D,20210128,000000,1847.2,1867.0,1835.6,1841.2,270676
CME_GC1_ON,D,20210127,000000,1854.3,1855.7,1832.4,1848.9,164656
CME_GC1_ON,D,20210126,000000,1858.7,1864.5,1851.1,1854.8,90539
CME_GC1_ON,D,20210125,000000,1858.6,1870.9,1850.0,1859.0,86904
CME_GC1_ON,D,20210122,000000,1874.0,1874.1,1839.7,1859.9,75303
CME_GC1_ON,D,20210121,000000,1875.6,1878.1,1861.2,1869.3,48063
CME_GC1_ON,D,20210120,000000,1843.2,1875.6,1834.8,1870.2,52449
CME_GC1_ON,D,20210119,000000,1828.8,1845.0,1800.8,1840.2,325715
CME_GC1_ON,D,20210115,000000,1847.3,1856.6,1822.1,1829.9,226243
CME_GC1_ON,D,20210114,000000,1845.6,1857.6,1826.6,1851.4,251178
CME_GC1_ON,D,20210113,000000,1855.0,1863.0,1841.6,1854.9,213721
CME_GC1_ON,D,20210112,000000,1845.4,1864.0,1835.8,1844.2,234835
CME_GC1_ON,D,20210111,000000,1849.4,1856.0,1817.1,1850.8,263049
CME_GC1_ON,D,20210108,000000,1915.2,1918.4,1827.8,1835.4,433306
CME_GC1_ON,D,20210107,000000,1921.5,1929.6,1907.5,1913.6,193617
CME_GC1_ON,D,20210106,000000,1952.8,1962.5,1902.6,1908.6,357230
CME_GC1_ON,D,20210105,000000,1946.0,1957.0,1938.4,1954.4,193799
CME_GC1_ON,D,20210104,000000,1908.2,1948.7,1906.1,1946.6,263955
CME_GC1_ON,D,20201231,000000,1899.0,1904.9,1889.1,1895.1,128326
CME_GC1_ON,D,20201230,000000,1881.8,1899.0,1879.5,1893.4,129754
