<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_ED1_ON,D,20210222,000000,99.855,99.86,99.845,99.855,144322
CME_ED1_ON,D,20210219,000000,99.8425,99.845,99.84,99.8425,90718
CME_ED1_ON,D,20210218,000000,99.84,99.845,99.8375,99.8425,162783
CME_ED1_ON,D,20210217,000000,99.83,99.845,99.8275,99.8425,235126
CME_ED1_ON,D,20210216,000000,99.8375,99.8375,99.8275,99.83,211892
CME_ED1_ON,D,20210212,000000,99.83,99.84,99.83,99.835,97723
CME_ED1_ON,D,20210211,000000,99.835,99.835,99.83,99.83,50070
CME_ED1_ON,D,20210210,000000,99.83,99.84,99.83,99.83,61632
CME_ED1_ON,D,20210209,000000,99.84,99.84,99.83,99.84,134847
CME_ED1_ON,D,20210208,000000,99.84,99.84,99.835,99.84,47312
CME_ED1_ON,D,20210205,000000,99.835,99.84,99.83,99.84,209824
CME_ED1_ON,D,20210204,000000,99.83,99.835,99.825,99.835,108895
CME_ED1_ON,D,20210203,000000,99.835,99.84,99.83,99.83,128633
CME_ED1_ON,D,20210202,000000,99.84,99.845,99.835,99.84,117466
CME_ED1_ON,D,20210201,000000,99.835,99.845,99.835,99.84,127875
CME_ED1_ON,D,20210129,000000,99.83,99.845,99.825,99.84,233777
CME_ED1_ON,D,20210128,000000,99.83,99.835,99.82,99.825,230762
CME_ED1_ON,D,20210127,000000,99.82,99.83,99.82,99.825,150275
CME_ED1_ON,D,20210126,000000,99.82,99.825,99.815,99.82,77211
CME_ED1_ON,D,20210125,000000,99.815,99.825,99.815,99.82,106101
CME_ED1_ON,D,20210122,000000,99.815,99.82,99.815,99.82,70242
CME_ED1_ON,D,20210121,000000,99.815,99.82,99.81,99.815,77841
CME_ED1_ON,D,20210120,000000,99.815,99.82,99.805,99.81,258895
CME_ED1_ON,D,20210119,000000,99.825,99.825,99.815,99.815,120172
CME_ED1_ON,D,20210115,000000,99.815,99.825,99.815,99.82,102550
CME_ED1_ON,D,20210114,000000,99.815,99.82,99.81,99.82,92657
CME_ED1_ON,D,20210113,000000,99.81,99.82,99.81,99.815,156915
CME_ED1_ON,D,20210112,000000,99.815,99.82,99.81,99.81,126805
CME_ED1_ON,D,20210111,000000,99.82,99.825,99.815,99.815,98658
CME_ED1_ON,D,20210108,000000,99.825,99.825,99.815,99.82,179233
CME_ED1_ON,D,20210107,000000,99.82,99.825,99.815,99.82,149095
CME_ED1_ON,D,20210106,000000,99.83,99.835,99.815,99.815,169070
CME_ED1_ON,D,20210105,000000,99.835,99.835,99.83,99.83,63535
CME_ED1_ON,D,20210104,000000,99.83,99.835,99.825,99.83,83426
CME_ED1_ON,D,20201231,000000,99.83,99.835,99.825,99.83,123146
CME_ED1_ON,D,20201230,000000,99.83,99.83,99.825,99.83,44683
CME_ED1_ON,D,20201229,000000,99.83,99.83,99.825,99.83,52710
CME_ED1_ON,D,20201228,000000,99.825,99.83,99.825,99.83,33459
CME_ED1_ON,D,20201224,000000,99.815,99.835,99.815,99.825,130532
CME_ED1_ON,D,20201223,000000,99.82,99.825,99.815,99.815,94456
CME_ED1_ON,D,20201222,000000,99.825,99.825,99.82,99.82,42618
CME_ED1_ON,D,20201221,000000,99.83,99.83,99.82,99.825,69019
CME_ED1_ON,D,20201218,000000,99.82,99.83,99.82,99.83,90377
CME_ED1_ON,D,20201217,000000,99.825,99.825,99.815,99.825,79982
CME_ED1_ON,D,20201216,000000,99.825,99.825,99.815,99.825,96049
CME_ED1_ON,D,20201215,000000,99.825,99.83,99.82,99.825,110062
CME_ED1_ON,D,20201214,000000,99.83,99.83,99.82,99.83,155317
CME_ED1_ON,D,20201211,000000,99.82,99.83,99.81,99.83,192776
CME_ED1_ON,D,20201210,000000,99.805,99.82,99.805,99.815,242481
CME_ED1_ON,D,20201209,000000,99.795,99.81,99.79,99.805,244119
CME_ED1_ON,D,20201208,000000,99.8,99.8,99.79,99.795,97875
CME_ED1_ON,D,20201207,000000,99.795,99.8,99.795,99.8,52236
CME_ED1_ON,D,20201204,000000,99.8,99.8,99.795,99.795,71714
CME_ED1_ON,D,20201203,000000,99.79,99.805,99.79,99.8,98139
CME_ED1_ON,D,20201202,000000,99.79,99.795,99.79,99.795,79774
CME_ED1_ON,D,20201201,000000,99.79,99.795,99.785,99.79,90986
CME_ED1_ON,D,20201130,000000,99.785,99.795,99.785,99.79,113143
CME_ED1_ON,D,20201127,000000,99.785,99.79,99.785,99.79,24532
CME_ED1_ON,D,20201125,000000,99.79,99.79,99.785,99.785,59257
CME_ED1_ON,D,20201124,000000,99.79,99.79,99.785,99.785,100528
CME_ED1_ON,D,20201123,000000,99.785,99.79,99.78,99.785,67756
CME_ED1_ON,D,20201120,000000,99.79,99.79,99.78,99.785,60282
CME_ED1_ON,D,20201119,000000,99.785,99.79,99.78,99.785,66915
CME_ED1_ON,D,20201118,000000,99.785,99.785,99.78,99.78,49116
CME_ED1_ON,D,20201117,000000,99.785,99.785,99.78,99.785,45957
CME_ED1_ON,D,20201116,000000,99.78,99.785,99.78,99.785,49790
CME_ED1_ON,D,20201113,000000,99.785,99.785,99.78,99.78,60537
CME_ED1_ON,D,20201112,000000,99.775,99.785,99.775,99.785,104466
CME_ED1_ON,D,20201111,000000,99.78,99.785,99.775,99.775,105507
CME_ED1_ON,D,20201110,000000,99.79,99.795,99.775,99.78,355855
CME_ED1_ON,D,20201109,000000,99.8,99.8,99.78,99.785,228339
CME_ED1_ON,D,20201106,000000,99.795,99.8,99.79,99.8,93687
CME_ED1_ON,D,20201105,000000,99.795,99.8,99.785,99.795,116578
CME_ED1_ON,D,20201104,000000,99.785,99.795,99.785,99.795,131346
CME_ED1_ON,D,20201103,000000,99.79,99.795,99.785,99.785,65484
CME_ED1_ON,D,20201102,000000,99.79,99.795,99.79,99.79,53592
CME_ED1_ON,D,20201030,000000,99.79,99.795,99.79,99.795,101488
CME_ED1_ON,D,20201029,000000,99.79,99.795,99.785,99.795,59315
