<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_LN1_ON,D,20210222,000000,84.575,85.65,84.325,85.125,11908
CME_LN1_ON,D,20210219,000000,85.475,85.9,83.975,84.5,13849
CME_LN1_ON,D,20210218,000000,84.875,85.475,83.625,84.925,13261
CME_LN1_ON,D,20210217,000000,85.875,86.45,84.625,84.9,16288
CME_LN1_ON,D,20210216,000000,85.9,86.825,85.075,86.175,15267
CME_LN1_ON,D,20210212,000000,83.9,87.25,83.6,85.2,25640
CME_LN1_ON,D,20210211,000000,82.2,84.5,81.35,84.25,23042
CME_LN1_ON,D,20210210,000000,81.0,82.825,80.875,81.825,18525
CME_LN1_ON,D,20210209,000000,80.15,80.85,79.4,80.375,13373
CME_LN1_ON,D,20210208,000000,80.7,81.075,79.95,80.65,15195
CME_LN1_ON,D,20210205,000000,79.175,80.625,78.975,80.3,15709
CME_LN1_ON,D,20210204,000000,79.65,80.075,78.075,79.3,17581
CME_LN1_ON,D,20210203,000000,78.25,79.95,78.15,79.2,18209
CME_LN1_ON,D,20210202,000000,75.65,78.225,75.375,78.075,19124
CME_LN1_ON,D,20210201,000000,76.9,77.3,75.375,75.5,16168
CME_LN1_ON,D,20210129,000000,76.5,77.5,76.275,76.65,15809
CME_LN1_ON,D,20210128,000000,76.375,77.225,76.05,76.375,13321
CME_LN1_ON,D,20210127,000000,77.3,77.575,76.15,76.3,14581
CME_LN1_ON,D,20210126,000000,76.75,77.6,76.475,76.95,15698
CME_LN1_ON,D,20210125,000000,76.125,76.85,75.7,76.625,13939
CME_LN1_ON,D,20210122,000000,73.925,76.25,73.85,76.15,18921
CME_LN1_ON,D,20210121,000000,73.025,74.975,73.0,73.9,16510
CME_LN1_ON,D,20210120,000000,71.075,73.25,70.65,73.075,15042
CME_LN1_ON,D,20210119,000000,72.5,72.8,71.375,71.425,12619
CME_LN1_ON,D,20210115,000000,71.7,72.9,71.425,72.65,16319
CME_LN1_ON,D,20210114,000000,72.675,72.9,71.9,72.075,19707
