<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_HG1_ON,D,20210222,000000,4.066,4.22,4.066,4.149,73483
CME_HG1_ON,D,20210219,000000,3.9095,4.0965,3.893,4.0775,70239
CME_HG1_ON,D,20210218,000000,3.828,3.9325,3.824,3.907,47926
CME_HG1_ON,D,20210217,000000,3.836,3.8415,3.7965,3.8255,34242
CME_HG1_ON,D,20210216,000000,3.803,3.845,3.795,3.834,100312
CME_HG1_ON,D,20210212,000000,3.7805,3.805,3.721,3.788,64856
CME_HG1_ON,D,20210211,000000,3.774,3.792,3.75,3.7715,68115
CME_HG1_ON,D,20210210,000000,3.717,3.7955,3.714,3.7725,101782
CME_HG1_ON,D,20210209,000000,3.6785,3.7255,3.667,3.72,96205
CME_HG1_ON,D,20210208,000000,3.639,3.68,3.6225,3.666,79906
CME_HG1_ON,D,20210205,000000,3.552,3.64,3.5515,3.626,83434
CME_HG1_ON,D,20210204,000000,3.562,3.583,3.537,3.553,66277
CME_HG1_ON,D,20210203,000000,3.5275,3.573,3.5035,3.5655,70465
CME_HG1_ON,D,20210202,000000,3.551,3.569,3.5,3.5245,85090
CME_HG1_ON,D,20210201,000000,3.5555,3.585,3.5235,3.546,78820
CME_HG1_ON,D,20210129,000000,3.5745,3.6125,3.532,3.556,92650
CME_HG1_ON,D,20210128,000000,3.547,3.5985,3.491,3.578,115390
CME_HG1_ON,D,20210127,000000,3.617,3.628,3.5205,3.5575,104430
CME_HG1_ON,D,20210126,000000,3.6295,3.6415,3.581,3.6195,60310
CME_HG1_ON,D,20210125,000000,3.6215,3.6405,3.592,3.6295,63378
CME_HG1_ON,D,20210122,000000,3.647,3.652,3.5635,3.626,81896
CME_HG1_ON,D,20210121,000000,3.644,3.6735,3.6335,3.6475,54005
CME_HG1_ON,D,20210120,000000,3.627,3.664,3.616,3.6415,51888
CME_HG1_ON,D,20210119,000000,3.593,3.6535,3.55,3.6335,110130
CME_HG1_ON,D,20210115,000000,3.6735,3.684,3.5865,3.602,72663
CME_HG1_ON,D,20210114,000000,3.6105,3.675,3.6015,3.6645,71339
CME_HG1_ON,D,20210113,000000,3.646,3.6495,3.605,3.617,64835
CME_HG1_ON,D,20210112,000000,3.558,3.6485,3.557,3.6055,77969
CME_HG1_ON,D,20210111,000000,3.6925,3.6925,3.5515,3.5645,94622
CME_HG1_ON,D,20210108,000000,3.706,3.734,3.629,3.6735,105508
CME_HG1_ON,D,20210107,000000,3.6615,3.7115,3.6405,3.696,63508
CME_HG1_ON,D,20210106,000000,3.6465,3.7075,3.6245,3.6505,92745
CME_HG1_ON,D,20210105,000000,3.556,3.663,3.556,3.6395,65793
CME_HG1_ON,D,20210104,000000,3.527,3.607,3.522,3.5545,78146
CME_HG1_ON,D,20201231,000000,3.5445,3.5595,3.5055,3.519,42807
CME_HG1_ON,D,20201230,000000,3.5525,3.583,3.5405,3.549,38999
CME_HG1_ON,D,20201229,000000,3.5725,3.5915,3.544,3.5555,48217
CME_HG1_ON,D,20201228,000000,3.569,3.618,3.5565,3.571,34987
CME_HG1_ON,D,20201224,000000,3.546,3.5735,3.531,3.5625,31650
CME_HG1_ON,D,20201223,000000,3.5105,3.5635,3.478,3.556,63359
CME_HG1_ON,D,20201222,000000,3.5805,3.5925,3.505,3.52,63454
CME_HG1_ON,D,20201221,000000,3.6405,3.6445,3.5465,3.5775,78258
CME_HG1_ON,D,20201218,000000,3.611,3.6455,3.59,3.6325,69027
CME_HG1_ON,D,20201217,000000,3.5645,3.614,3.5615,3.6015,54710
CME_HG1_ON,D,20201216,000000,3.5445,3.58,3.536,3.559,50501
CME_HG1_ON,D,20201215,000000,3.522,3.556,3.5,3.5445,51821
CME_HG1_ON,D,20201214,000000,3.5405,3.556,3.508,3.5265,59331
CME_HG1_ON,D,20201211,000000,3.583,3.6245,3.4965,3.528,92356
CME_HG1_ON,D,20201210,000000,3.498,3.5935,3.45,3.576,85339
CME_HG1_ON,D,20201209,000000,3.504,3.535,3.485,3.5135,61225
CME_HG1_ON,D,20201208,000000,3.5075,3.5085,3.467,3.499,65915
CME_HG1_ON,D,20201207,000000,3.5275,3.546,3.4785,3.5165,62947
CME_HG1_ON,D,20201204,000000,3.4725,3.524,3.4725,3.514,466
CME_HG1_ON,D,20201203,000000,3.48,3.5055,3.458,3.479,575
CME_HG1_ON,D,20201202,000000,3.49,3.494,3.43,3.475,1170
CME_HG1_ON,D,20201201,000000,3.4435,3.501,3.432,3.468,963
CME_HG1_ON,D,20201130,000000,3.405,3.4845,3.405,3.4205,2327
CME_HG1_ON,D,20201127,000000,3.3165,3.4065,3.309,3.3995,17999
CME_HG1_ON,D,20201125,000000,3.3005,3.3305,3.28,3.3095,46841
CME_HG1_ON,D,20201124,000000,3.2625,3.316,3.261,3.2995,74941
CME_HG1_ON,D,20201123,000000,3.29,3.296,3.235,3.258,74883
CME_HG1_ON,D,20201120,000000,3.212,3.3015,3.2035,3.291,79991
CME_HG1_ON,D,20201119,000000,3.1945,3.2175,3.169,3.202,64278
CME_HG1_ON,D,20201118,000000,3.2065,3.242,3.188,3.198,78335
CME_HG1_ON,D,20201117,000000,3.2265,3.2395,3.1765,3.198,71217
CME_HG1_ON,D,20201116,000000,3.179,3.2625,3.179,3.222,103265
CME_HG1_ON,D,20201113,000000,3.135,3.189,3.1275,3.178,61024
CME_HG1_ON,D,20201112,000000,3.132,3.164,3.121,3.145,67470
CME_HG1_ON,D,20201111,000000,3.154,3.1755,3.1075,3.134,69390
CME_HG1_ON,D,20201110,000000,3.1355,3.1625,3.0965,3.1555,89745
CME_HG1_ON,D,20201109,000000,3.1625,3.208,3.1315,3.156,103679
CME_HG1_ON,D,20201106,000000,3.115,3.174,3.1015,3.154,73629
CME_HG1_ON,D,20201105,000000,3.11,3.1365,3.08,3.11,70539
CME_HG1_ON,D,20201104,000000,3.0995,3.121,3.0285,3.107,104154
CME_HG1_ON,D,20201103,000000,3.086,3.123,3.0795,3.0925,60979
CME_HG1_ON,D,20201102,000000,3.043,3.0965,3.028,3.077,73574
CME_HG1_ON,D,20201030,000000,3.058,3.08,3.037,3.0475,72159
CME_HG1_ON,D,20201029,000000,3.069,3.094,3.0435,3.0565,64528
CME_HG1_ON,D,20201028,000000,3.088,3.1065,3.042,3.064,89548
CME_HG1_ON,D,20201027,000000,3.0915,3.1125,3.08,3.0935,56265
CME_HG1_ON,D,20201026,000000,3.1415,3.143,3.077,3.0895,74729
CME_HG1_ON,D,20201023,000000,3.164,3.1645,3.1245,3.129,50447
CME_HG1_ON,D,20201022,000000,3.1955,3.196,3.1425,3.1535,74071
CME_HG1_ON,D,20201021,000000,3.1415,3.218,3.1405,3.1985,79971
CME_HG1_ON,D,20201020,000000,3.0835,3.1705,3.073,3.148,78670
CME_HG1_ON,D,20201019,000000,3.0605,3.108,3.057,3.086,53712
CME_HG1_ON,D,20201016,000000,3.0875,3.096,3.0555,3.0675,49487
CME_HG1_ON,D,20201015,000000,3.0505,3.0935,3.0245,3.0855,67519
CME_HG1_ON,D,20201014,000000,3.0415,3.0685,3.038,3.0505,44199
CME_HG1_ON,D,20201013,000000,3.0635,3.067,3.0265,3.0445,60910
CME_HG1_ON,D,20201012,000000,3.0795,3.093,3.052,3.064,50381
CME_HG1_ON,D,20201009,000000,3.042,3.098,3.039,3.0825,77276
CME_HG1_ON,D,20201008,000000,3.0315,3.0475,3.0115,3.042,60080
