<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_HO1_ON,D,20210222,000000,1.8015,1.8681,1.8,1.8508,95495
CME_HO1_ON,D,20210219,000000,1.8161,1.8311,1.7905,1.8104,96837
CME_HO1_ON,D,20210218,000000,1.8331,1.8504,1.8025,1.8228,89907
CME_HO1_ON,D,20210217,000000,1.8052,1.8374,1.7882,1.8238,77695
CME_HO1_ON,D,20210216,000000,1.7743,1.8308,1.7743,1.8144,102197
CME_HO1_ON,D,20210212,000000,1.7415,1.7778,1.7237,1.7714,63360
CME_HO1_ON,D,20210211,000000,1.7569,1.7609,1.7359,1.7446,57666
CME_HO1_ON,D,20210210,000000,1.7597,1.7677,1.7473,1.761,54972
CME_HO1_ON,D,20210209,000000,1.7501,1.7663,1.7341,1.7567,48309
CME_HO1_ON,D,20210208,000000,1.7149,1.753,1.7148,1.7478,52313
CME_HO1_ON,D,20210205,000000,1.7079,1.736,1.7079,1.7137,66475
CME_HO1_ON,D,20210204,000000,1.695,1.7115,1.6731,1.7005,47823
CME_HO1_ON,D,20210203,000000,1.6835,1.705,1.6779,1.6905,51135
CME_HO1_ON,D,20210202,000000,1.6474,1.6896,1.6444,1.6746,67175
CME_HO1_ON,D,20210201,000000,1.5949,1.6503,1.5845,1.6469,77005
CME_HO1_ON,D,20210129,000000,1.5948,1.635,1.5911,1.5984,59184
CME_HO1_ON,D,20210128,000000,1.605,1.6313,1.5921,1.601,58321
CME_HO1_ON,D,20210127,000000,1.6005,1.6207,1.5826,1.6076,59870
CME_HO1_ON,D,20210126,000000,1.5976,1.6084,1.5868,1.5984,61912
CME_HO1_ON,D,20210125,000000,1.5734,1.6011,1.5671,1.5955,60393
CME_HO1_ON,D,20210122,000000,1.6028,1.6033,1.5571,1.5782,59361
CME_HO1_ON,D,20210121,000000,1.5927,1.6043,1.5858,1.6024,47728
CME_HO1_ON,D,20210120,000000,1.599,1.6162,1.5892,1.6025,52394
CME_HO1_ON,D,20210119,000000,1.5858,1.6105,1.5793,1.6002,57802
CME_HO1_ON,D,20210115,000000,1.6215,1.6246,1.5743,1.5942,44264
CME_HO1_ON,D,20210114,000000,1.5992,1.6228,1.584,1.6205,42752
CME_HO1_ON,D,20210113,000000,1.6031,1.6174,1.5843,1.6002,38708
CME_HO1_ON,D,20210112,000000,1.5735,1.6026,1.5709,1.5967,47614
CME_HO1_ON,D,20210111,000000,1.5855,1.5865,1.5525,1.5735,59558
CME_HO1_ON,D,20210108,000000,1.5405,1.5863,1.5379,1.5795,57557
CME_HO1_ON,D,20210107,000000,1.526,1.5501,1.5226,1.5381,54125
CME_HO1_ON,D,20210106,000000,1.5181,1.5422,1.5029,1.5287,63406
CME_HO1_ON,D,20210105,000000,1.4598,1.5247,1.4512,1.5189,70876
CME_HO1_ON,D,20210104,000000,1.4828,1.5347,1.4522,1.462,71175
CME_HO1_ON,D,20201231,000000,1.4891,1.4914,1.4689,1.484,50164
