<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LIFFE_I1_ON,D,20210226,000000,100.515,100.53,100.51,100.52,141282
LIFFE_I1_ON,D,20210225,000000,100.53,100.535,100.505,100.52,246652
LIFFE_I1_ON,D,20210224,000000,100.53,100.535,100.525,100.53,52443
LIFFE_I1_ON,D,20210223,000000,100.535,100.54,100.53,100.53,27932
LIFFE_I1_ON,D,20210222,000000,100.535,100.54,100.53,100.535,42718
LIFFE_I1_ON,D,20210219,000000,100.54,100.54,100.53,100.535,35759
LIFFE_I1_ON,D,20210218,000000,100.54,100.545,100.535,100.54,16918
LIFFE_I1_ON,D,20210217,000000,100.54,100.545,100.535,100.54,46034
LIFFE_I1_ON,D,20210216,000000,100.545,100.545,100.535,100.54,39612
LIFFE_I1_ON,D,20210215,000000,100.545,100.55,100.54,100.54,31434
LIFFE_I1_ON,D,20210212,000000,100.545,100.55,100.545,100.545,22201
LIFFE_I1_ON,D,20210211,000000,100.545,100.55,100.545,100.545,27642
LIFFE_I1_ON,D,20210210,000000,100.545,100.55,100.54,100.545,36227
LIFFE_I1_ON,D,20210209,000000,100.54,100.55,100.54,100.545,51408
LIFFE_I1_ON,D,20210208,000000,100.54,100.545,100.54,100.545,62789
LIFFE_I1_ON,D,20210205,000000,100.55,100.555,100.54,100.545,73167
LIFFE_I1_ON,D,20210204,000000,100.55,100.555,100.545,100.55,47051
LIFFE_I1_ON,D,20210203,000000,100.555,100.56,100.55,100.555,47065
LIFFE_I1_ON,D,20210202,000000,100.56,100.56,100.555,100.555,25204
LIFFE_I1_ON,D,20210201,000000,100.565,100.565,100.555,100.56,32704
LIFFE_I1_ON,D,20210129,000000,100.57,100.57,100.555,100.56,58842
LIFFE_I1_ON,D,20210128,000000,100.565,100.575,100.565,100.575,98367
LIFFE_I1_ON,D,20210127,000000,100.55,100.575,100.545,100.565,193377
LIFFE_I1_ON,D,20210126,000000,100.55,100.555,100.545,100.55,38959
