<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_JY1_ON,D,20210222,000000,9480.5,9526.5,9449.0,9523.5,110666
CME_JY1_ON,D,20210219,000000,9464.0,9504.0,9457.5,9481.0,108776
CME_JY1_ON,D,20210218,000000,9447.0,9471.5,9442.0,9462.5,82854
CME_JY1_ON,D,20210217,000000,9426.0,9456.0,9415.5,9443.5,115070
CME_JY1_ON,D,20210216,000000,9530.5,9531.5,9429.5,9445.0,149488
CME_JY1_ON,D,20210212,000000,9547.0,9550.5,9509.0,9528.0,76728
CME_JY1_ON,D,20210211,000000,9562.5,9567.5,9543.5,9548.0,49800
CME_JY1_ON,D,20210210,000000,9568.0,9579.5,9540.0,9558.5,89008
CME_JY1_ON,D,20210209,000000,9506.0,9572.0,9503.0,9568.0,97356
CME_JY1_ON,D,20210208,000000,9493.0,9521.0,9466.0,9506.5,83682
CME_JY1_ON,D,20210205,000000,9479.0,9496.0,9457.5,9486.5,113023
CME_JY1_ON,D,20210204,000000,9524.5,9529.0,9474.5,9479.5,81380
CME_JY1_ON,D,20210203,000000,9527.5,9534.0,9517.0,9522.0,63615
CME_JY1_ON,D,20210202,000000,9531.0,9542.5,9511.0,9520.0,72797
CME_JY1_ON,D,20210201,000000,9547.0,9562.5,9524.0,9532.0,83094
CME_JY1_ON,D,20210129,000000,9597.0,9599.0,9532.5,9551.0,131067
CME_JY1_ON,D,20210128,000000,9611.5,9613.0,9576.5,9597.5,104405
CME_JY1_ON,D,20210127,000000,9655.0,9658.0,9601.0,9606.0,113387
CME_JY1_ON,D,20210126,000000,9641.0,9661.5,9635.5,9652.5,59497
CME_JY1_ON,D,20210125,000000,9638.0,9650.5,9626.0,9638.5,65181
CME_JY1_ON,D,20210122,000000,9667.0,9668.5,9630.5,9636.0,60430
CME_JY1_ON,D,20210121,000000,9661.0,9682.5,9651.5,9665.5,78298
CME_JY1_ON,D,20210120,000000,9628.0,9672.0,9626.5,9663.5,68328
CME_JY1_ON,D,20210119,000000,9637.0,9654.5,9612.0,9633.0,116184
CME_JY1_ON,D,20210115,000000,9638.5,9656.5,9629.0,9633.5,60451
CME_JY1_ON,D,20210114,000000,9634.5,9662.0,9602.5,9641.0,87443
CME_JY1_ON,D,20210113,000000,9643.5,9666.5,9621.5,9633.0,82266
CME_JY1_ON,D,20210112,000000,9603.0,9647.5,9590.0,9638.0,69898
CME_JY1_ON,D,20210111,000000,9625.5,9629.0,9585.0,9607.0,64863
CME_JY1_ON,D,20210108,000000,9635.0,9658.5,9613.0,9630.0,126161
CME_JY1_ON,D,20210107,000000,9708.5,9720.0,9625.0,9634.5,120799
CME_JY1_ON,D,20210106,000000,9744.5,9754.5,9673.5,9703.5,132578
CME_JY1_ON,D,20210105,000000,9703.0,9753.5,9698.0,9749.5,81876
CME_JY1_ON,D,20210104,000000,9699.5,9743.5,9686.5,9705.0,92623
