<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE_KC1_ON,D,20210222,000000,128.9,136.25,126.75,134.95,41286
ICE_KC1_ON,D,20210219,000000,128.9,130.35,128.35,129.15,15652
ICE_KC1_ON,D,20210218,000000,127.4,129.65,127.4,129.3,19728
ICE_KC1_ON,D,20210217,000000,126.65,127.65,125.15,127.4,28277
ICE_KC1_ON,D,20210216,000000,123.35,126.85,123.0,126.2,32460
ICE_KC1_ON,D,20210215,000000,123.05,123.05,123.05,123.05,0
ICE_KC1_ON,D,20210212,000000,122.55,124.3,122.1,123.05,22670
ICE_KC1_ON,D,20210211,000000,122.75,123.6,122.4,123.05,28560
ICE_KC1_ON,D,20210210,000000,125.2,125.55,122.25,123.15,35166
ICE_KC1_ON,D,20210209,000000,126.15,126.35,124.6,125.0,23517
ICE_KC1_ON,D,20210208,000000,126.15,126.85,125.4,126.25,22668
ICE_KC1_ON,D,20210205,000000,124.65,125.85,123.8,124.5,24031
ICE_KC1_ON,D,20210204,000000,124.5,124.7,120.2,124.05,31773
ICE_KC1_ON,D,20210203,000000,123.1,124.85,122.7,123.95,13714
ICE_KC1_ON,D,20210202,000000,125.45,126.1,122.7,123.4,17979
ICE_KC1_ON,D,20210201,000000,122.65,127.3,122.45,125.35,23669
ICE_KC1_ON,D,20210129,000000,124.15,124.7,122.05,122.95,19514
ICE_KC1_ON,D,20210128,000000,125.5,126.9,123.55,124.0,16422
ICE_KC1_ON,D,20210127,000000,124.55,126.15,123.1,125.5,14743
ICE_KC1_ON,D,20210126,000000,123.4,125.9,123.25,124.5,15541
ICE_KC1_ON,D,20210125,000000,123.0,124.95,122.15,123.25,18067
ICE_KC1_ON,D,20210122,000000,125.7,126.3,122.85,124.05,17920
ICE_KC1_ON,D,20210121,000000,125.8,127.3,124.75,126.45,13447
ICE_KC1_ON,D,20210120,000000,126.55,127.05,123.4,125.2,17200
ICE_KC1_ON,D,20210119,000000,126.0,128.75,124.65,127.15,18700
ICE_KC1_ON,D,20210118,000000,128.15,128.15,128.15,128.15,0
ICE_KC1_ON,D,20210115,000000,127.35,131.75,126.8,128.15,29841
ICE_KC1_ON,D,20210114,000000,125.45,127.9,123.25,127.35,21500
ICE_KC1_ON,D,20210113,000000,121.4,126.0,121.4,125.25,21546
ICE_KC1_ON,D,20210112,000000,121.0,122.7,120.1,121.4,15591
ICE_KC1_ON,D,20210111,000000,122.3,123.2,118.75,121.45,21418
ICE_KC1_ON,D,20210108,000000,120.3,124.05,119.2,123.7,23340
ICE_KC1_ON,D,20210107,000000,121.0,122.75,119.35,121.1,17442
ICE_KC1_ON,D,20210106,000000,125.1,125.55,120.6,120.9,26670
ICE_KC1_ON,D,20210105,000000,125.95,126.55,122.3,125.1,20729
ICE_KC1_ON,D,20210104,000000,128.4,129.4,125.25,126.15,19364
ICE_KC1_ON,D,20201231,000000,125.7,129.0,125.6,128.25,15536
ICE_KC1_ON,D,20201230,000000,125.3,126.75,124.65,125.4,10658
ICE_KC1_ON,D,20201229,000000,123.95,125.9,123.2,125.4,10453
ICE_KC1_ON,D,20201228,000000,125.75,126.5,121.5,123.35,13037
ICE_KC1_ON,D,20201224,000000,124.5,127.65,124.5,125.95,8868
ICE_KC1_ON,D,20201223,000000,124.05,125.95,123.9,124.55,9272
ICE_KC1_ON,D,20201222,000000,123.9,126.6,122.9,124.2,14464
ICE_KC1_ON,D,20201221,000000,124.25,125.45,120.4,124.3,18826
ICE_KC1_ON,D,20201218,000000,126.35,127.8,123.5,125.25,17531
ICE_KC1_ON,D,20201217,000000,127.25,128.0,125.05,126.6,12770
ICE_KC1_ON,D,20201216,000000,125.25,128.6,125.25,126.6,16726
ICE_KC1_ON,D,20201215,000000,125.4,127.4,124.3,124.65,16781
ICE_KC1_ON,D,20201214,000000,120.85,126.9,120.65,126.15,21624
ICE_KC1_ON,D,20201211,000000,123.0,123.55,120.2,121.6,15281
ICE_KC1_ON,D,20201210,000000,116.9,121.8,116.9,121.05,20742
ICE_KC1_ON,D,20201209,000000,119.6,119.6,116.5,117.05,13095
ICE_KC1_ON,D,20201208,000000,119.25,120.35,118.35,119.25,14091
ICE_KC1_ON,D,20201207,000000,116.8,119.55,116.45,119.1,19583
ICE_KC1_ON,D,20201204,000000,119.8,120.9,117.0,117.55,15119
ICE_KC1_ON,D,20201203,000000,119.65,121.0,118.6,120.05,13285
ICE_KC1_ON,D,20201202,000000,118.5,119.55,117.2,119.1,20751
ICE_KC1_ON,D,20201201,000000,123.45,123.9,117.85,118.45,25419
ICE_KC1_ON,D,20201130,000000,123.4,124.45,120.7,123.3,23338
