<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_LB1_ON,D,20210222,000000,863.6,890.2,858.2,890.2,378
CME_LB1_ON,D,20210219,000000,886.7,889.0,852.4,858.2,302
CME_LB1_ON,D,20210218,000000,864.5,889.2,862.0,884.1,366
CME_LB1_ON,D,20210217,000000,995.9,996.3,980.3,986.8,286
CME_LB1_ON,D,20210216,000000,979.0,994.9,968.3,992.4,274
CME_LB1_ON,D,20210212,000000,979.0,991.9,970.7,982.1,227
CME_LB1_ON,D,20210211,000000,950.8,982.8,950.8,979.0,366
CME_LB1_ON,D,20210210,000000,943.8,970.0,941.6,950.8,161
CME_LB1_ON,D,20210209,000000,926.9,950.9,920.0,947.0,177
CME_LB1_ON,D,20210208,000000,950.0,951.0,905.6,940.0,243
CME_LB1_ON,D,20210205,000000,881.0,915.6,880.0,915.6,171
CME_LB1_ON,D,20210204,000000,884.0,889.4,867.7,883.6,130
CME_LB1_ON,D,20210203,000000,866.0,889.4,850.4,884.0,172
CME_LB1_ON,D,20210202,000000,869.4,876.9,842.9,857.4,171
CME_LB1_ON,D,20210201,000000,887.0,890.0,859.0,870.8,299
CME_LB1_ON,D,20210129,000000,888.8,897.0,868.8,887.0,266
CME_LB1_ON,D,20210128,000000,858.0,897.0,858.0,892.6,167
CME_LB1_ON,D,20210127,000000,870.0,875.0,828.8,865.0,242
CME_LB1_ON,D,20210126,000000,831.4,855.1,831.4,855.1,258
CME_LB1_ON,D,20210125,000000,828.0,842.9,800.6,823.1,404
CME_LB1_ON,D,20210122,000000,796.0,796.0,796.0,796.0,413
CME_LB1_ON,D,20210121,000000,739.4,748.0,732.0,748.0,195
CME_LB1_ON,D,20210120,000000,679.2,700.0,679.2,700.0,248
CME_LB1_ON,D,20210119,000000,657.0,683.7,651.4,668.0,123
CME_LB1_ON,D,20210115,000000,686.4,686.4,655.0,662.9,150
CME_LB1_ON,D,20210114,000000,677.7,689.8,667.0,683.0,129
CME_LB1_ON,D,20210113,000000,649.8,677.4,634.9,671.5,254
CME_LB1_ON,D,20210112,000000,664.7,666.9,634.7,649.9,303
CME_LB1_ON,D,20210111,000000,670.0,677.9,661.1,666.7,183
CME_LB1_ON,D,20210108,000000,719.9,724.2,686.0,690.0,341
CME_LB1_ON,D,20210107,000000,710.4,725.0,690.0,718.0,313
CME_LB1_ON,D,20210106,000000,660.9,710.0,655.0,703.3,551
CME_LB1_ON,D,20210105,000000,689.2,690.8,668.6,668.6,411
CME_LB1_ON,D,20210104,000000,727.0,748.9,694.0,700.6,399
CME_LB1_ON,D,20201231,000000,745.0,751.5,713.0,716.9,343
CME_LB1_ON,D,20201230,000000,779.4,780.9,745.0,745.0,270
CME_LB1_ON,D,20201229,000000,776.8,788.7,750.7,777.0,246
CME_LB1_ON,D,20201228,000000,789.9,797.1,754.1,775.0,218
CME_LB1_ON,D,20201224,000000,776.9,795.0,776.9,783.8,139
CME_LB1_ON,D,20201223,000000,788.0,801.6,768.1,772.4,381
