<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_NG1_ON,D,20210222,000000,2.95,2.98,2.888,2.96,48143
CME_NG1_ON,D,20210219,000000,2.95,3.03,2.916,3.001,50249
CME_NG1_ON,D,20210218,000000,3.05,3.06,2.941,2.977,83212
CME_NG1_ON,D,20210217,000000,2.978,3.049,2.953,3.04,89822
CME_NG1_ON,D,20210216,000000,2.99,3.03,2.922,2.995,100584
CME_NG1_ON,D,20210212,000000,2.867,2.939,2.837,2.9,68974
CME_NG1_ON,D,20210211,000000,2.975,3.045,2.839,2.868,259642
CME_NG1_ON,D,20210210,000000,2.819,2.982,2.741,2.911,259083
CME_NG1_ON,D,20210209,000000,2.883,2.927,2.788,2.835,194832
CME_NG1_ON,D,20210208,000000,2.909,2.985,2.844,2.882,193008
CME_NG1_ON,D,20210205,000000,2.957,3.057,2.851,2.863,265774
CME_NG1_ON,D,20210204,000000,2.776,2.977,2.734,2.935,178519
CME_NG1_ON,D,20210203,000000,2.827,2.894,2.748,2.789,154738
CME_NG1_ON,D,20210202,000000,2.829,3.005,2.811,2.845,230890
CME_NG1_ON,D,20210201,000000,2.73,2.868,2.712,2.85,220934
CME_NG1_ON,D,20210129,000000,2.68,2.71,2.554,2.564,132646
CME_NG1_ON,D,20210128,000000,2.675,2.701,2.591,2.664,159469
CME_NG1_ON,D,20210127,000000,2.632,2.74,2.618,2.702,150190
CME_NG1_ON,D,20210126,000000,2.597,2.662,2.59,2.636,108306
CME_NG1_ON,D,20210125,000000,2.53,2.609,2.498,2.598,118704
CME_NG1_ON,D,20210122,000000,2.5,2.511,2.425,2.456,93785
CME_NG1_ON,D,20210121,000000,2.528,2.541,2.462,2.497,94989
CME_NG1_ON,D,20210120,000000,2.526,2.554,2.459,2.533,116853
CME_NG1_ON,D,20210119,000000,2.62,2.641,2.507,2.529,167110
CME_NG1_ON,D,20210115,000000,2.636,2.748,2.606,2.696,90898
CME_NG1_ON,D,20210114,000000,2.701,2.75,2.625,2.63,84625
CME_NG1_ON,D,20210113,000000,2.69,2.773,2.671,2.689,93563
CME_NG1_ON,D,20210112,000000,2.742,2.835,2.672,2.707,123855
CME_NG1_ON,D,20210111,000000,2.577,2.755,2.561,2.703,109226
CME_NG1_ON,D,20210108,000000,2.643,2.685,2.603,2.656,88941
CME_NG1_ON,D,20210107,000000,2.691,2.719,2.635,2.691,74219
CME_NG1_ON,D,20210106,000000,2.658,2.732,2.584,2.684,69399
CME_NG1_ON,D,20210105,000000,2.577,2.698,2.571,2.673,85556
CME_NG1_ON,D,20210104,000000,2.601,2.643,2.553,2.561,65437
CME_NG1_ON,D,20201231,000000,2.434,2.537,2.431,2.526,50696
CME_NG1_ON,D,20201230,000000,2.442,2.468,2.389,2.422,36833
CME_NG1_ON,D,20201229,000000,2.35,2.477,2.313,2.439,62609
CME_NG1_ON,D,20201228,000000,2.329,2.371,2.268,2.329,62256
CME_NG1_ON,D,20201224,000000,2.571,2.596,2.493,2.498,26828
CME_NG1_ON,D,20201223,000000,2.718,2.742,2.543,2.571,54206
CME_NG1_ON,D,20201222,000000,2.67,2.75,2.655,2.726,43036
CME_NG1_ON,D,20201221,000000,2.68,2.688,2.612,2.67,31240
CME_NG1_ON,D,20201218,000000,2.635,2.687,2.626,2.662,38116
CME_NG1_ON,D,20201217,000000,2.668,2.704,2.593,2.619,50833
CME_NG1_ON,D,20201216,000000,2.654,2.676,2.608,2.665,51893
CME_NG1_ON,D,20201215,000000,2.653,2.673,2.585,2.662,49037
CME_NG1_ON,D,20201214,000000,2.649,2.695,2.6,2.66,55453
CME_NG1_ON,D,20201211,000000,2.568,2.63,2.526,2.591,176606
CME_NG1_ON,D,20201210,000000,2.43,2.594,2.381,2.553,213458
CME_NG1_ON,D,20201209,000000,2.454,2.524,2.421,2.442,184071
CME_NG1_ON,D,20201208,000000,2.431,2.48,2.368,2.399,172313
CME_NG1_ON,D,20201207,000000,2.456,2.483,2.381,2.406,235342
CME_NG1_ON,D,20201204,000000,2.511,2.623,2.462,2.575,140379
CME_NG1_ON,D,20201203,000000,2.76,2.768,2.484,2.507,264650
CME_NG1_ON,D,20201202,000000,2.881,2.934,2.74,2.78,142057
CME_NG1_ON,D,20201201,000000,2.934,2.972,2.833,2.88,134920
CME_NG1_ON,D,20201130,000000,2.831,2.996,2.823,2.882,136195
CME_NG1_ON,D,20201127,000000,2.95,2.963,2.828,2.843,92870
CME_NG1_ON,D,20201125,000000,2.895,3.002,2.838,2.961,112015
CME_NG1_ON,D,20201124,000000,2.817,2.908,2.8,2.9,108781
CME_NG1_ON,D,20201123,000000,2.822,2.839,2.756,2.823,86673
CME_NG1_ON,D,20201120,000000,2.725,2.808,2.716,2.77,86639
CME_NG1_ON,D,20201119,000000,2.842,2.865,2.656,2.72,150958
CME_NG1_ON,D,20201118,000000,2.841,2.917,2.822,2.838,91888
CME_NG1_ON,D,20201117,000000,2.852,2.89,2.809,2.844,85374
CME_NG1_ON,D,20201116,000000,3.008,3.022,2.842,2.864,140433
CME_NG1_ON,D,20201113,000000,3.075,3.204,3.074,3.122,79709
CME_NG1_ON,D,20201112,000000,3.152,3.181,3.066,3.094,79917
CME_NG1_ON,D,20201111,000000,3.071,3.168,3.042,3.151,88001
CME_NG1_ON,D,20201110,000000,3.001,3.131,2.99,3.073,96090
CME_NG1_ON,D,20201109,000000,3.022,3.068,2.965,2.999,76867
CME_NG1_ON,D,20201106,000000,3.08,3.112,3.01,3.031,88580
CME_NG1_ON,D,20201105,000000,3.195,3.244,3.071,3.084,91001
CME_NG1_ON,D,20201104,000000,3.197,3.229,3.142,3.177,60073
CME_NG1_ON,D,20201103,000000,3.364,3.367,3.175,3.195,80571
CME_NG1_ON,D,20201102,000000,3.49,3.505,3.342,3.375,55828
CME_NG1_ON,D,20201030,000000,3.431,3.507,3.374,3.469,56185
CME_NG1_ON,D,20201029,000000,3.396,3.459,3.276,3.417,66081
CME_NG1_ON,D,20201028,000000,3.418,3.435,3.379,3.411,33662
CME_NG1_ON,D,20201027,000000,3.36,3.449,3.302,3.424,47767
CME_NG1_ON,D,20201026,000000,3.298,3.41,3.287,3.371,36215
CME_NG1_ON,D,20201023,000000,3.384,3.402,3.294,3.322,33507
CME_NG1_ON,D,20201022,000000,3.465,3.48,3.382,3.397,34877
CME_NG1_ON,D,20201021,000000,3.39,3.485,3.386,3.471,38615
CME_NG1_ON,D,20201020,000000,3.418,3.469,3.38,3.391,40592
CME_NG1_ON,D,20201019,000000,3.359,3.437,3.348,3.414,44622
CME_NG1_ON,D,20201016,000000,3.396,3.446,3.375,3.405,49101
CME_NG1_ON,D,20201015,000000,3.353,3.424,3.35,3.396,45108
CME_NG1_ON,D,20201014,000000,3.345,3.365,3.274,3.332,56020
CME_NG1_ON,D,20201013,000000,2.834,2.884,2.751,2.855,177030
CME_NG1_ON,D,20201012,000000,2.891,2.955,2.825,2.881,179397
CME_NG1_ON,D,20201009,000000,2.632,2.821,2.618,2.741,204162
CME_NG1_ON,D,20201008,000000,2.59,2.651,2.508,2.627,197163
CME_NG1_ON,D,20201007,000000,2.511,2.686,2.466,2.606,211068
CME_NG1_ON,D,20201006,000000,2.623,2.703,2.505,2.52,148529
CME_NG1_ON,D,20201005,000000,2.455,2.727,2.446,2.615,195342
CME_NG1_ON,D,20201002,000000,2.485,2.551,2.373,2.438,159679
