<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_NK1_ON,D,20210222,000000,30205,30460,29975,29990,6387
CME_NK1_ON,D,20210219,000000,30135,30320,29750,30205,6346
CME_NK1_ON,D,20210218,000000,30355,30575,29890,30130,7596
CME_NK1_ON,D,20210217,000000,30450,30450,30150,30350,6493
CME_NK1_ON,D,20210216,000000,29645,30725,29640,30415,12225
CME_NK1_ON,D,20210212,000000,29490,29670,29305,29625,3740
CME_NK1_ON,D,20210211,000000,29320,29495,29235,29465,1856
CME_NK1_ON,D,20210210,000000,29445,29560,29175,29270,5805
CME_NK1_ON,D,20210209,000000,29515,29590,29350,29420,3624
CME_NK1_ON,D,20210208,000000,28810,29535,28810,29445,6946
CME_NK1_ON,D,20210205,000000,28655,28900,28535,28790,3968
CME_NK1_ON,D,20210204,000000,28610,28680,28295,28620,3815
CME_NK1_ON,D,20210203,000000,28480,28725,28405,28585,3326
CME_NK1_ON,D,20210202,000000,28265,28520,28080,28490,5222
CME_NK1_ON,D,20210201,000000,27720,28310,27575,28300,7792
CME_NK1_ON,D,20210129,000000,28390,28390,27580,27785,11770
CME_NK1_ON,D,20210128,000000,28195,28535,27825,28410,7445
CME_NK1_ON,D,20210127,000000,28720,28760,28095,28195,6502
CME_NK1_ON,D,20210126,000000,28825,28825,28515,28725,4090
CME_NK1_ON,D,20210125,000000,28630,28855,28480,28840,5329
CME_NK1_ON,D,20210122,000000,28690,28700,28410,28625,3987
CME_NK1_ON,D,20210121,000000,28705,28855,28525,28680,5033
CME_NK1_ON,D,20210120,000000,28760,28835,28405,28725,7564
CME_NK1_ON,D,20210119,000000,28300,28800,28120,28735,9704
CME_NK1_ON,D,20210115,000000,28850,28925,28170,28350,6904
CME_NK1_ON,D,20210114,000000,28450,28995,28420,28875,8418
CME_NK1_ON,D,20210113,000000,28180,28520,28125,28465,5478
CME_NK1_ON,D,20210112,000000,28075,28295,27975,28215,4341
CME_NK1_ON,D,20210111,000000,28335,28355,27965,28045,6731
CME_NK1_ON,D,20210108,000000,27615,28380,27615,28315,7319
CME_NK1_ON,D,20210107,000000,27365,27675,27330,27625,4323
CME_NK1_ON,D,20210106,000000,27165,27480,26955,27340,9294
CME_NK1_ON,D,20210105,000000,27145,27275,26965,27160,5115
CME_NK1_ON,D,20210104,000000,27585,27685,27040,27125,8337
CME_NK1_ON,D,20201231,000000,27490,27585,27430,27535,1526
CME_NK1_ON,D,20201230,000000,27530,27630,27350,27435,4120
CME_NK1_ON,D,20201229,000000,26930,27715,26895,27515,6098
CME_NK1_ON,D,20201228,000000,26595,26955,26545,26925,2722
CME_NK1_ON,D,20201224,000000,26670,26720,26570,26635,1186
CME_NK1_ON,D,20201223,000000,26525,26725,26390,26670,3516
CME_NK1_ON,D,20201222,000000,26530,26620,26335,26585,3190
CME_NK1_ON,D,20201221,000000,26895,27000,26195,26545,6222
CME_NK1_ON,D,20201218,000000,26805,26920,26680,26740,2507
CME_NK1_ON,D,20201217,000000,26795,26835,26650,26785,2283
CME_NK1_ON,D,20201216,000000,26800,26845,26690,26790,2642
CME_NK1_ON,D,20201215,000000,26645,26810,26575,26795,2901
CME_NK1_ON,D,20201214,000000,26680,26840,26590,26690,4294
CME_NK1_ON,D,20201211,000000,26700,26795,26410,26565,3842
CME_NK1_ON,D,20201210,000000,26615,26820,26595,26685,3668
CME_NK1_ON,D,20201209,000000,26565,26895,26485,26665,8129
CME_NK1_ON,D,20201208,000000,26365,26580,26320,26575,11050
CME_NK1_ON,D,20201207,000000,26850,26955,26325,26435,12065
CME_NK1_ON,D,20201204,000000,26765,26875,26655,26855,4618
CME_NK1_ON,D,20201203,000000,26875,26920,26700,26725,4553
CME_NK1_ON,D,20201202,000000,26885,26920,26690,26830,6196
CME_NK1_ON,D,20201201,000000,26515,26970,26460,26910,6640
CME_NK1_ON,D,20201130,000000,26825,26940,26305,26315,6940
CME_NK1_ON,D,20201127,000000,26360,26815,26260,26785,5277
CME_NK1_ON,D,20201125,000000,26460,26715,26190,26310,6593
CME_NK1_ON,D,20201124,000000,25935,26530,25935,26475,6413
CME_NK1_ON,D,20201123,000000,25705,26060,25660,25940,3866
CME_NK1_ON,D,20201120,000000,25505,25770,25435,25745,4000
CME_NK1_ON,D,20201119,000000,25600,25690,25415,25610,5907
CME_NK1_ON,D,20201118,000000,25940,25970,25565,25645,4581
CME_NK1_ON,D,20201117,000000,26150,26180,25870,26015,4749
CME_NK1_ON,D,20201116,000000,25675,26220,25650,26180,7451
CME_NK1_ON,D,20201113,000000,25380,25680,25225,25635,7611
CME_NK1_ON,D,20201112,000000,25560,25590,25230,25300,7740
CME_NK1_ON,D,20201111,000000,25300,25715,25165,25600,8137
CME_NK1_ON,D,20201110,000000,25420,25480,24850,25240,8868
CME_NK1_ON,D,20201109,000000,24420,25910,24365,25450,21338
CME_NK1_ON,D,20201106,000000,24250,24470,24090,24340,6305
CME_NK1_ON,D,20201105,000000,24015,24385,23870,24275,7738
CME_NK1_ON,D,20201104,000000,23845,24080,23505,23905,16022
CME_NK1_ON,D,20201103,000000,23455,23925,23455,23855,5312
CME_NK1_ON,D,20201102,000000,23135,23455,23060,23435,5420
CME_NK1_ON,D,20201030,000000,23235,23310,22885,23165,6453
CME_NK1_ON,D,20201029,000000,23075,23405,23075,23315,4512
CME_NK1_ON,D,20201028,000000,23395,23450,23070,23075,8349
CME_NK1_ON,D,20201027,000000,23430,23535,23245,23425,3969
