<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE_OJ1_ON,D,20210222,000000,112.7,113.5,111.25,112.45,1141
ICE_OJ1_ON,D,20210219,000000,111.9,113.5,111.0,112.45,845
ICE_OJ1_ON,D,20210218,000000,114.45,114.8,111.05,111.7,1134
ICE_OJ1_ON,D,20210217,000000,116.4,116.4,113.0,114.0,1148
ICE_OJ1_ON,D,20210216,000000,112.9,114.95,112.0,113.85,1157
ICE_OJ1_ON,D,20210215,000000,112.9,112.9,112.9,112.9,0
ICE_OJ1_ON,D,20210212,000000,112.3,112.95,111.7,112.9,590
ICE_OJ1_ON,D,20210211,000000,112.6,113.15,111.25,112.15,497
ICE_OJ1_ON,D,20210210,000000,111.55,113.3,111.35,113.05,687
ICE_OJ1_ON,D,20210209,000000,112.6,113.05,110.1,112.25,618
ICE_OJ1_ON,D,20210208,000000,112.4,113.7,111.25,113.2,739
ICE_OJ1_ON,D,20210205,000000,109.8,112.15,108.55,111.25,789
ICE_OJ1_ON,D,20210204,000000,109.0,110.75,108.5,109.8,1029
ICE_OJ1_ON,D,20210203,000000,106.8,109.15,106.15,108.3,1201
ICE_OJ1_ON,D,20210202,000000,107.85,108.55,106.15,106.85,1396
ICE_OJ1_ON,D,20210201,000000,110.65,111.4,107.6,108.1,1518
ICE_OJ1_ON,D,20210129,000000,113.1,113.5,110.25,110.6,2151
ICE_OJ1_ON,D,20210128,000000,114.3,114.4,113.0,113.15,494
ICE_OJ1_ON,D,20210127,000000,116.55,117.0,112.35,114.3,842
ICE_OJ1_ON,D,20210126,000000,114.3,116.75,113.75,116.2,626
ICE_OJ1_ON,D,20210125,000000,117.1,117.1,113.05,114.45,845
ICE_OJ1_ON,D,20210122,000000,117.5,117.8,116.0,116.9,784
ICE_OJ1_ON,D,20210121,000000,118.1,119.7,116.65,117.9,437
ICE_OJ1_ON,D,20210120,000000,118.5,118.5,116.35,118.3,1063
ICE_OJ1_ON,D,20210119,000000,122.45,123.0,118.6,118.7,744
ICE_OJ1_ON,D,20210118,000000,121.85,121.85,121.85,121.85,0
ICE_OJ1_ON,D,20210115,000000,124.0,124.05,121.5,121.85,372
ICE_OJ1_ON,D,20210114,000000,124.9,124.95,123.5,124.0,368
ICE_OJ1_ON,D,20210113,000000,121.65,124.9,121.15,124.6,465
