<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SHFE_PB1_ON,D,20210222,000000,15680,15995,15560,15790,63708
SHFE_PB1_ON,D,20210219,000000,15640,15670,15245,15485,59999
SHFE_PB1_ON,D,20210218,000000,15370,15625,15270,15485,30428
SHFE_PB1_ON,D,20210210,000000,15245,15520,15025,15305,68408
SHFE_PB1_ON,D,20210209,000000,15135,15380,15115,15255,41557
SHFE_PB1_ON,D,20210208,000000,15250,15250,15040,15110,43493
SHFE_PB1_ON,D,20210205,000000,14900,15300,14890,15160,43974
SHFE_PB1_ON,D,20210204,000000,14840,15070,14820,14975,44041
SHFE_PB1_ON,D,20210203,000000,15070,15085,14760,14955,56796
SHFE_PB1_ON,D,20210202,000000,15035,15130,14880,14985,57942
SHFE_PB1_ON,D,20210201,000000,15280,15320,14995,15125,64253
SHFE_PB1_ON,D,20210129,000000,15355,15510,15085,15295,74928
SHFE_PB1_ON,D,20210128,000000,15305,15500,15235,15365,68911
SHFE_PB1_ON,D,20210127,000000,15480,15765,15320,15525,87013
SHFE_PB1_ON,D,20210126,000000,15495,15665,15315,15465,66890
SHFE_PB1_ON,D,20210125,000000,15100,15635,15020,15395,91876
SHFE_PB1_ON,D,20210122,000000,15295,15320,14970,15115,58394
SHFE_PB1_ON,D,20210121,000000,15140,15280,15085,15185,54921
SHFE_PB1_ON,D,20210120,000000,14820,15150,14815,15025,55717
SHFE_PB1_ON,D,20210119,000000,14980,15045,14740,14895,46558
SHFE_PB1_ON,D,20210118,000000,14870,15115,14845,15000,62036
SHFE_PB1_ON,D,20210115,000000,14930,15085,14820,14945,36508
SHFE_PB1_ON,D,20210114,000000,14800,14960,14750,14845,38142
SHFE_PB1_ON,D,20210113,000000,14530,14820,14445,14645,41360
SHFE_PB1_ON,D,20210112,000000,14520,14660,14430,14545,30434
SHFE_PB1_ON,D,20210111,000000,14995,14995,14405,14670,48639
SHFE_PB1_ON,D,20210108,000000,15155,15235,14875,15065,34696
SHFE_PB1_ON,D,20210107,000000,15080,15250,14830,15075,32162
SHFE_PB1_ON,D,20210106,000000,15015,15175,14965,15070,19326
SHFE_PB1_ON,D,20210105,000000,15155,15205,14895,15040,22660
SHFE_PB1_ON,D,20210104,000000,14610,15155,14610,14955,17111
SHFE_PB1_ON,D,20201231,000000,14750,14985,14620,14785,21626
SHFE_PB1_ON,D,20201230,000000,14700,14870,14630,14745,13787
