<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_RB1_ON,D,20210222,000000,1.8786,1.9452,1.8716,1.9309,78943
CME_RB1_ON,D,20210219,000000,1.8762,1.9142,1.8645,1.8889,129656
CME_RB1_ON,D,20210218,000000,1.9,1.9247,1.8646,1.8872,95538
CME_RB1_ON,D,20210217,000000,1.8701,1.906,1.8482,1.8938,87761
CME_RB1_ON,D,20210216,000000,1.824,1.8835,1.82,1.8637,166211
CME_RB1_ON,D,20210212,000000,1.7718,1.8204,1.7576,1.8139,70309
CME_RB1_ON,D,20210211,000000,1.7742,1.791,1.7659,1.7786,65282
CME_RB1_ON,D,20210210,000000,1.7846,1.7954,1.772,1.7841,86812
CME_RB1_ON,D,20210209,000000,1.6791,1.6924,1.6494,1.6736,72023
CME_RB1_ON,D,20210208,000000,1.6517,1.68,1.6517,1.6748,60041
CME_RB1_ON,D,20210205,000000,1.6535,1.6732,1.647,1.6493,61747
CME_RB1_ON,D,20210204,000000,1.6535,1.6615,1.6244,1.6448,47491
CME_RB1_ON,D,20210203,000000,1.6421,1.6583,1.6312,1.6486,56814
CME_RB1_ON,D,20210202,000000,1.5914,1.6414,1.5914,1.616,54652
CME_RB1_ON,D,20210201,000000,1.5527,1.5967,1.541,1.5901,63953
CME_RB1_ON,D,20210129,000000,1.5725,1.6258,1.549,1.5527,98699
CME_RB1_ON,D,20210128,000000,1.5665,1.6067,1.5567,1.5754,65155
CME_RB1_ON,D,20210127,000000,1.5716,1.5839,1.5547,1.5716,58413
CME_RB1_ON,D,20210126,000000,1.5613,1.5844,1.549,1.5748,68855
CME_RB1_ON,D,20210125,000000,1.5397,1.5696,1.5283,1.5579,81063
CME_RB1_ON,D,20210122,000000,1.55,1.55,1.5064,1.545,93057
CME_RB1_ON,D,20210121,000000,1.5342,1.5513,1.5282,1.5472,50993
CME_RB1_ON,D,20210120,000000,1.538,1.5634,1.5293,1.5437,47772
CME_RB1_ON,D,20210119,000000,1.5173,1.5477,1.5117,1.5379,59437
CME_RB1_ON,D,20210115,000000,1.5587,1.5621,1.5152,1.5277,57140
CME_RB1_ON,D,20210114,000000,1.5434,1.5605,1.5181,1.5538,63001
CME_RB1_ON,D,20210113,000000,1.5584,1.574,1.5339,1.5467,75061
CME_RB1_ON,D,20210112,000000,1.5218,1.5594,1.5205,1.5518,69092
CME_RB1_ON,D,20210111,000000,1.547,1.5486,1.5098,1.5208,55098
CME_RB1_ON,D,20210108,000000,1.4866,1.5495,1.4831,1.5423,74822
CME_RB1_ON,D,20210107,000000,1.4703,1.4879,1.4641,1.4827,49899
CME_RB1_ON,D,20210106,000000,1.4439,1.4931,1.4401,1.475,66002
CME_RB1_ON,D,20210105,000000,1.366,1.4586,1.3618,1.4521,71392
CME_RB1_ON,D,20210104,000000,1.4085,1.4516,1.362,1.3729,68173
CME_RB1_ON,D,20201231,000000,1.3963,1.4126,1.3825,1.4101,57425
CME_RB1_ON,D,20201230,000000,1.3804,1.4119,1.3779,1.4013,58407
CME_RB1_ON,D,20201229,000000,1.3599,1.3854,1.3583,1.3783,44604
CME_RB1_ON,D,20201228,000000,1.3729,1.3923,1.3553,1.3607,39378
CME_RB1_ON,D,20201224,000000,1.3733,1.3884,1.3582,1.3722,31071
CME_RB1_ON,D,20201223,000000,1.3356,1.3812,1.3175,1.3762,60676
CME_RB1_ON,D,20201222,000000,1.3524,1.3546,1.3167,1.3355,55014
CME_RB1_ON,D,20201221,000000,1.3925,1.3939,1.3027,1.3548,66374
CME_RB1_ON,D,20201218,000000,1.3817,1.3969,1.3737,1.391,61782
CME_RB1_ON,D,20201217,000000,1.3528,1.3843,1.3527,1.3817,67455
CME_RB1_ON,D,20201216,000000,1.3305,1.3574,1.325,1.3515,60177
CME_RB1_ON,D,20201215,000000,1.3231,1.3346,1.3089,1.3268,46924
CME_RB1_ON,D,20201214,000000,1.3113,1.3285,1.2862,1.3191,58404
CME_RB1_ON,D,20201211,000000,1.3166,1.3265,1.2981,1.3077,58252
CME_RB1_ON,D,20201210,000000,1.2826,1.3355,1.2789,1.3166,68870
CME_RB1_ON,D,20201209,000000,1.258,1.2862,1.2495,1.2759,72151
CME_RB1_ON,D,20201208,000000,1.252,1.2686,1.2384,1.2559,56213
CME_RB1_ON,D,20201207,000000,1.2645,1.274,1.2438,1.2558,55229
CME_RB1_ON,D,20201204,000000,1.2625,1.288,1.2588,1.2685,50485
CME_RB1_ON,D,20201203,000000,1.2376,1.2664,1.2239,1.2617,56669
CME_RB1_ON,D,20201202,000000,1.2147,1.2553,1.2037,1.2399,64436
CME_RB1_ON,D,20201201,000000,1.2366,1.2541,1.21,1.2204,61336
CME_RB1_ON,D,20201130,000000,1.264,1.266,1.2304,1.2416,61237
CME_RB1_ON,D,20201127,000000,1.2771,1.2815,1.2439,1.266,35788
CME_RB1_ON,D,20201125,000000,1.2523,1.2795,1.248,1.271,79542
CME_RB1_ON,D,20201124,000000,1.1964,1.2619,1.1938,1.251,70310
CME_RB1_ON,D,20201123,000000,1.1742,1.2018,1.1713,1.1971,57830
CME_RB1_ON,D,20201120,000000,1.1608,1.1799,1.1554,1.1703,57181
CME_RB1_ON,D,20201119,000000,1.1549,1.167,1.1429,1.1596,53009
CME_RB1_ON,D,20201118,000000,1.1567,1.1787,1.147,1.1626,54898
CME_RB1_ON,D,20201117,000000,1.1511,1.1595,1.1255,1.1528,48005
CME_RB1_ON,D,20201116,000000,1.1252,1.1738,1.1228,1.147,48423
CME_RB1_ON,D,20201113,000000,1.149,1.1491,1.1204,1.125,59362
CME_RB1_ON,D,20201112,000000,1.1739,1.1833,1.1462,1.1558,58669
CME_RB1_ON,D,20201111,000000,1.2007,1.2341,1.1729,1.1759,65677
CME_RB1_ON,D,20201110,000000,1.153,1.2044,1.1395,1.1941,59280
CME_RB1_ON,D,20201109,000000,1.0905,1.1973,1.0839,1.1607,79729
CME_RB1_ON,D,20201106,000000,1.114,1.114,1.0757,1.0844,58987
CME_RB1_ON,D,20201105,000000,1.1081,1.1185,1.086,1.1159,48805
CME_RB1_ON,D,20201104,000000,1.0817,1.1125,1.0607,1.1081,51227
CME_RB1_ON,D,20201103,000000,1.059,1.0883,1.0411,1.0769,60105
CME_RB1_ON,D,20201102,000000,1.0215,1.0618,0.9702,1.052,61840
CME_RB1_ON,D,20201030,000000,1.0264,1.0363,1.0049,1.0322,66446
CME_RB1_ON,D,20201029,000000,1.0627,1.087,1.0031,1.028,85814
CME_RB1_ON,D,20201028,000000,1.112,1.112,1.0535,1.0636,75569
CME_RB1_ON,D,20201027,000000,1.0981,1.1328,1.0968,1.1288,56352
CME_RB1_ON,D,20201026,000000,1.1212,1.1262,1.0925,1.0969,56078
CME_RB1_ON,D,20201023,000000,1.1457,1.1508,1.119,1.127,47809
CME_RB1_ON,D,20201022,000000,1.1264,1.1583,1.1204,1.1452,42493
CME_RB1_ON,D,20201021,000000,1.1651,1.1695,1.1184,1.1271,85138
CME_RB1_ON,D,20201020,000000,1.1439,1.1773,1.1374,1.1725,48636
CME_RB1_ON,D,20201019,000000,1.1483,1.16,1.1415,1.1485,45471
CME_RB1_ON,D,20201016,000000,1.1658,1.1672,1.1283,1.1535,46853
CME_RB1_ON,D,20201015,000000,1.1795,1.1858,1.1238,1.1637,56882
CME_RB1_ON,D,20201014,000000,1.1584,1.1839,1.1473,1.1795,43648
CME_RB1_ON,D,20201013,000000,1.1517,1.1752,1.1504,1.1633,50987
CME_RB1_ON,D,20201012,000000,1.2082,1.2082,1.1678,1.1757,55975
CME_RB1_ON,D,20201009,000000,1.2338,1.2353,1.1977,1.2032,68908
CME_RB1_ON,D,20201008,000000,1.206,1.2376,1.2037,1.2316,61236
CME_RB1_ON,D,20201007,000000,1.212,1.2236,1.1801,1.2009,71537
CME_RB1_ON,D,20201006,000000,1.2012,1.2432,1.1958,1.2351,70989
CME_RB1_ON,D,20201005,000000,1.1274,1.2147,1.1223,1.1941,74562
CME_RB1_ON,D,20201002,000000,1.1465,1.151,1.0958,1.1235,55471
CME_RB1_ON,D,20201001,000000,1.1808,1.1888,1.123,1.1524,48541
CME_RB1_ON,D,20200930,000000,1.165,1.1837,1.1412,1.1816,58038
CME_RB1_ON,D,20200929,000000,1.2154,1.218,1.1548,1.1711,73247
