<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_RTY1_ON,D,20210222,000000,2264.9,2279.4,2233.6,2250.1,179765
CME_RTY1_ON,D,20210219,000000,2221.1,2276.7,2204.1,2265.3,184369
CME_RTY1_ON,D,20210218,000000,2256.1,2262.3,2207.0,2217.7,172929
CME_RTY1_ON,D,20210217,000000,2270.7,2273.5,2222.5,2255.0,179867
CME_RTY1_ON,D,20210216,000000,2295.1,2314.1,2261.0,2270.8,182739
CME_RTY1_ON,D,20210212,000000,2273.5,2294.4,2259.5,2286.4,143383
CME_RTY1_ON,D,20210211,000000,2282.8,2303.7,2247.6,2281.2,212355
CME_RTY1_ON,D,20210210,000000,2299.0,2316.9,2262.9,2281.0,220824
CME_RTY1_ON,D,20210209,000000,2291.3,2309.8,2276.4,2297.1,169952
CME_RTY1_ON,D,20210208,000000,2234.0,2290.3,2230.8,2285.8,160200
CME_RTY1_ON,D,20210205,000000,2201.6,2234.2,2197.8,2230.3,180973
CME_RTY1_ON,D,20210204,000000,2159.3,2205.8,2147.2,2199.4,145154
CME_RTY1_ON,D,20210203,000000,2147.5,2159.6,2127.7,2154.8,140813
CME_RTY1_ON,D,20210202,000000,2119.8,2152.7,2113.8,2147.5,142671
CME_RTY1_ON,D,20210201,000000,2060.8,2127.7,2028.6,2119.4,154982
CME_RTY1_ON,D,20210129,000000,2095.5,2122.2,2060.2,2068.2,240857
CME_RTY1_ON,D,20210128,000000,2101.7,2139.3,2075.0,2099.8,223292
CME_RTY1_ON,D,20210127,000000,2135.1,2150.6,2084.5,2104.3,258888
CME_RTY1_ON,D,20210126,000000,2160.3,2179.8,2131.2,2145.8,181193
CME_RTY1_ON,D,20210125,000000,2159.4,2192.4,2128.4,2161.0,247411
CME_RTY1_ON,D,20210122,000000,2138.8,2166.3,2112.7,2164.0,189385
CME_RTY1_ON,D,20210121,000000,2152.0,2166.1,2132.2,2138.5,158306
CME_RTY1_ON,D,20210120,000000,2144.7,2173.2,2136.0,2157.7,185394
CME_RTY1_ON,D,20210119,000000,2115.6,2150.8,2107.7,2147.3,171567
CME_RTY1_ON,D,20210115,000000,2154.7,2158.8,2095.2,2120.8,228298
CME_RTY1_ON,D,20210114,000000,2115.0,2163.7,2111.3,2153.6,171537
CME_RTY1_ON,D,20210113,000000,2122.9,2132.7,2104.8,2110.7,150550
CME_RTY1_ON,D,20210112,000000,2090.4,2127.1,2088.4,2125.8,140003
CME_RTY1_ON,D,20210111,000000,2086.2,2094.7,2055.0,2089.1,144241
CME_RTY1_ON,D,20210108,000000,2095.5,2112.5,2058.8,2089.5,185871
CME_RTY1_ON,D,20210107,000000,2061.4,2098.2,2050.2,2094.5,156712
CME_RTY1_ON,D,20210106,000000,1978.6,2081.4,1971.0,2059.3,329376
