<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE_SB1_ON,D,20210222,000000,16.91,17.5,16.71,17.44,87442
ICE_SB1_ON,D,20210219,000000,16.66,17.04,16.66,16.89,76717
ICE_SB1_ON,D,20210218,000000,16.15,16.62,16.12,16.59,59888
ICE_SB1_ON,D,20210217,000000,15.99,16.19,15.94,16.11,53643
ICE_SB1_ON,D,20210216,000000,15.76,15.97,15.71,15.92,43971
ICE_SB1_ON,D,20210215,000000,15.64,15.64,15.64,15.64,0
ICE_SB1_ON,D,20210212,000000,15.75,15.81,15.59,15.64,52315
ICE_SB1_ON,D,20210211,000000,15.87,15.99,15.73,15.79,81801
ICE_SB1_ON,D,20210210,000000,15.83,16.12,15.65,15.84,116154
ICE_SB1_ON,D,20210209,000000,15.64,15.84,15.55,15.76,92433
ICE_SB1_ON,D,20210208,000000,16.46,16.61,16.26,16.27,70560
ICE_SB1_ON,D,20210205,000000,16.17,16.52,16.07,16.42,80462
ICE_SB1_ON,D,20210204,000000,16.14,16.16,15.82,16.05,55124
ICE_SB1_ON,D,20210203,000000,16.29,16.38,15.96,16.04,52404
ICE_SB1_ON,D,20210202,000000,16.25,16.48,16.08,16.29,47847
ICE_SB1_ON,D,20210201,000000,15.93,16.27,15.87,16.15,50764
ICE_SB1_ON,D,20210129,000000,15.57,16.03,15.55,15.83,53047
ICE_SB1_ON,D,20210128,000000,15.78,16.0,15.57,15.59,46865
ICE_SB1_ON,D,20210127,000000,15.84,16.19,15.66,15.8,47844
ICE_SB1_ON,D,20210126,000000,15.74,15.86,15.62,15.74,42969
ICE_SB1_ON,D,20210125,000000,15.94,16.1,15.72,15.74,43879
ICE_SB1_ON,D,20210122,000000,15.99,16.04,15.73,15.87,40943
ICE_SB1_ON,D,20210121,000000,16.3,16.38,15.81,16.05,54966
ICE_SB1_ON,D,20210120,000000,16.1,16.56,16.02,16.27,40095
ICE_SB1_ON,D,20210119,000000,16.5,16.7,16.06,16.1,50941
ICE_SB1_ON,D,20210118,000000,16.45,16.45,16.45,16.45,0
ICE_SB1_ON,D,20210115,000000,16.67,16.71,16.27,16.45,56824
ICE_SB1_ON,D,20210114,000000,15.95,16.75,15.95,16.67,69680
ICE_SB1_ON,D,20210113,000000,15.55,15.98,15.51,15.84,41131
ICE_SB1_ON,D,20210112,000000,15.75,15.94,15.44,15.46,42203
ICE_SB1_ON,D,20210111,000000,15.55,15.75,15.4,15.67,55495
ICE_SB1_ON,D,20210108,000000,15.7,15.87,15.54,15.6,40698
ICE_SB1_ON,D,20210107,000000,16.33,16.33,15.55,15.6,60757
ICE_SB1_ON,D,20210106,000000,16.12,16.32,16.02,16.25,51416
ICE_SB1_ON,D,20210105,000000,15.75,16.15,15.64,16.12,60267
ICE_SB1_ON,D,20210104,000000,15.65,16.13,15.55,15.76,84113
ICE_SB1_ON,D,20201231,000000,15.28,15.53,15.16,15.49,40651
ICE_SB1_ON,D,20201230,000000,15.07,15.45,14.98,15.28,40726
ICE_SB1_ON,D,20201229,000000,15.03,15.07,14.85,15.04,25289
ICE_SB1_ON,D,20201228,000000,14.93,15.13,14.83,14.98,21318
ICE_SB1_ON,D,20201224,000000,14.89,15.0,14.74,14.9,20869
ICE_SB1_ON,D,20201223,000000,14.59,14.9,14.56,14.83,42876
ICE_SB1_ON,D,20201222,000000,14.55,14.64,14.4,14.54,23333
ICE_SB1_ON,D,20201221,000000,14.36,14.63,14.28,14.53,31465
ICE_SB1_ON,D,20201218,000000,14.68,14.76,14.39,14.44,26815
ICE_SB1_ON,D,20201217,000000,14.49,14.72,14.45,14.68,32551
ICE_SB1_ON,D,20201216,000000,14.28,14.54,14.24,14.49,38509
ICE_SB1_ON,D,20201215,000000,14.15,14.32,14.09,14.21,35966
ICE_SB1_ON,D,20201214,000000,14.43,14.45,14.09,14.12,50145
