<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_SI1_ON,D,20210222,000000,27.59,28.39,27.37,28.131,49247
CME_SI1_ON,D,20210219,000000,27.145,27.74,26.155,27.293,27890
CME_SI1_ON,D,20210218,000000,27.49,27.625,26.94,27.118,21710
CME_SI1_ON,D,20210217,000000,27.31,27.49,26.915,27.315,72107
CME_SI1_ON,D,20210216,000000,27.49,28.075,26.87,27.325,127875
CME_SI1_ON,D,20210212,000000,27.02,27.5,26.91,27.328,53152
CME_SI1_ON,D,20210211,000000,27.095,27.35,26.75,27.047,61409
CME_SI1_ON,D,20210210,000000,27.35,27.595,26.88,27.078,70250
CME_SI1_ON,D,20210209,000000,27.37,27.875,27.13,27.402,81227
CME_SI1_ON,D,20210208,000000,27.2,27.7,26.93,27.576,83023
CME_SI1_ON,D,20210205,000000,26.42,27.105,26.255,27.019,89461
CME_SI1_ON,D,20210204,000000,26.96,27.015,25.935,26.234,102719
CME_SI1_ON,D,20210203,000000,26.735,27.26,26.545,26.889,91922
CME_SI1_ON,D,20210202,000000,29.095,29.15,26.35,26.402,202399
CME_SI1_ON,D,20210201,000000,28.425,30.35,28.155,29.418,311258
CME_SI1_ON,D,20210129,000000,26.625,27.77,26.15,26.914,182496
CME_SI1_ON,D,20210128,000000,25.33,27.1,24.895,25.922,185419
CME_SI1_ON,D,20210127,000000,25.53,25.545,24.715,25.389,95605
CME_SI1_ON,D,20210126,000000,25.395,25.72,25.23,25.538,51443
CME_SI1_ON,D,20210125,000000,25.535,25.835,25.205,25.484,72946
CME_SI1_ON,D,20210122,000000,26.025,26.045,25.05,25.556,73717
CME_SI1_ON,D,20210121,000000,25.91,26.13,25.7,25.854,59077
CME_SI1_ON,D,20210120,000000,25.29,25.96,25.06,25.766,80014
CME_SI1_ON,D,20210119,000000,24.835,25.48,24.04,25.32,108341
CME_SI1_ON,D,20210115,000000,25.61,25.865,24.61,24.866,103821
CME_SI1_ON,D,20210114,000000,25.29,25.99,25.095,25.802,83312
CME_SI1_ON,D,20210113,000000,25.655,25.785,25.17,25.572,58267
CME_SI1_ON,D,20210112,000000,25.015,25.745,25.0,25.435,64984
CME_SI1_ON,D,20210111,000000,25.47,25.595,24.365,25.284,105038
CME_SI1_ON,D,20210108,000000,27.28,27.335,24.53,24.637,182499
CME_SI1_ON,D,20210107,000000,27.41,27.495,27.02,27.261,69220
CME_SI1_ON,D,20210106,000000,27.72,28.105,26.7,27.042,127978
CME_SI1_ON,D,20210105,000000,27.355,27.85,27.15,27.64,66678
CME_SI1_ON,D,20210104,000000,26.77,27.76,26.73,27.364,111722
CME_SI1_ON,D,20201231,000000,26.835,26.88,26.345,26.412,39242
CME_SI1_ON,D,20201230,000000,26.325,26.835,26.26,26.573,47089
CME_SI1_ON,D,20201229,000000,26.45,26.77,26.075,26.217,64129
CME_SI1_ON,D,20201228,000000,26.13,26.98,26.0,26.539,80742
CME_SI1_ON,D,20201224,000000,25.74,26.08,25.535,25.908,34985
CME_SI1_ON,D,20201223,000000,25.315,25.96,25.185,25.921,65173
CME_SI1_ON,D,20201222,000000,26.42,26.815,25.225,25.535,106481
CME_SI1_ON,D,20201221,000000,26.11,27.635,25.12,26.379,132579
CME_SI1_ON,D,20201218,000000,26.255,26.35,25.865,26.033,69286
CME_SI1_ON,D,20201217,000000,25.5,26.305,25.335,26.181,94725
CME_SI1_ON,D,20201216,000000,24.645,25.64,24.575,25.052,95834
CME_SI1_ON,D,20201215,000000,23.965,24.7,23.94,24.644,60548
CME_SI1_ON,D,20201214,000000,24.14,24.365,23.755,24.047,54893
CME_SI1_ON,D,20201211,000000,24.135,24.245,23.69,24.092,49898
CME_SI1_ON,D,20201210,000000,24.055,24.43,23.825,24.094,58540
CME_SI1_ON,D,20201209,000000,24.655,24.655,23.78,23.93,53
CME_SI1_ON,D,20201208,000000,24.755,24.765,24.63,24.684,70
CME_SI1_ON,D,20201207,000000,24.235,24.85,23.59,24.741,239
CME_SI1_ON,D,20201204,000000,24.12,24.495,24.08,24.203,444
CME_SI1_ON,D,20201203,000000,24.1,24.34,23.935,24.087,136
CME_SI1_ON,D,20201202,000000,23.915,24.375,23.64,24.025,303
CME_SI1_ON,D,20201201,000000,22.665,24.095,22.65,24.033,703
CME_SI1_ON,D,20201130,000000,22.74,22.74,22.0,22.534,1577
CME_SI1_ON,D,20201127,000000,23.375,23.505,22.325,22.553,18793
CME_SI1_ON,D,20201125,000000,23.29,23.545,23.115,23.362,55555
CME_SI1_ON,D,20201124,000000,23.63,23.65,22.935,23.3,102708
CME_SI1_ON,D,20201123,000000,24.225,24.455,23.46,23.633,106028
CME_SI1_ON,D,20201120,000000,24.115,24.6,23.955,24.363,76192
CME_SI1_ON,D,20201119,000000,24.38,24.425,23.67,24.048,93956
CME_SI1_ON,D,20201118,000000,24.565,24.78,24.235,24.448,82115
CME_SI1_ON,D,20201117,000000,24.88,24.9,24.435,24.651,57264
CME_SI1_ON,D,20201116,000000,24.8,25.155,24.255,24.802,81275
CME_SI1_ON,D,20201113,000000,24.365,24.9,24.215,24.775,59883
CME_SI1_ON,D,20201112,000000,24.36,24.475,24.09,24.306,62535
CME_SI1_ON,D,20201111,000000,24.305,24.51,23.81,24.267,76118
CME_SI1_ON,D,20201110,000000,24.18,24.58,23.95,24.462,86683
CME_SI1_ON,D,20201109,000000,25.86,26.135,23.6,23.701,167687
CME_SI1_ON,D,20201106,000000,25.45,25.975,25.01,25.662,112997
CME_SI1_ON,D,20201105,000000,23.98,25.54,23.955,25.191,106365
CME_SI1_ON,D,20201104,000000,24.29,24.62,23.26,23.893,101312
CME_SI1_ON,D,20201103,000000,24.17,24.485,23.975,24.334,59680
CME_SI1_ON,D,20201102,000000,23.635,24.26,23.46,24.033,74485
CME_SI1_ON,D,20201030,000000,23.35,23.91,23.23,23.646,78969
CME_SI1_ON,D,20201029,000000,23.44,23.65,22.625,23.36,101650
CME_SI1_ON,D,20201028,000000,24.495,24.675,23.06,23.359,127375
CME_SI1_ON,D,20201027,000000,24.385,24.76,24.265,24.57,51942
CME_SI1_ON,D,20201026,000000,24.75,24.765,24.145,24.42,67536
CME_SI1_ON,D,20201023,000000,24.835,24.98,24.5,24.675,51920
CME_SI1_ON,D,20201022,000000,25.18,25.225,24.46,24.709,73886
CME_SI1_ON,D,20201021,000000,24.795,25.425,24.775,25.241,77351
CME_SI1_ON,D,20201020,000000,24.485,25.06,24.405,24.98,56866
CME_SI1_ON,D,20201019,000000,24.29,25.12,24.215,24.698,63065
CME_SI1_ON,D,20201016,000000,24.43,24.66,24.185,24.405,50562
CME_SI1_ON,D,20201015,000000,24.37,24.44,23.65,24.224,71257
CME_SI1_ON,D,20201014,000000,24.24,24.725,23.93,24.395,62693
CME_SI1_ON,D,20201013,000000,25.24,25.31,24.015,24.129,92766
CME_SI1_ON,D,20201012,000000,25.28,25.71,24.905,25.271,69632
