<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CBOE_VX1_ON,D,20210218,000000,25.75,26.75,25.5,25.8017,106783
CBOE_VX1_ON,D,20210217,000000,26.1,27.05,25.55,25.6,119698
CBOE_VX1_ON,D,20210216,000000,25.85,26.45,25.6,26.1251,141237
CBOE_VX1_ON,D,20210212,000000,26.85,27.46,25.8,25.8785,120089
CBOE_VX1_ON,D,20210211,000000,27.2,27.85,26.65,26.692,104758
CBOE_VX1_ON,D,20210210,000000,26.65,27.85,26.48,27.2855,128868
CBOE_VX1_ON,D,20210209,000000,26.58,27.02,26.35,26.6863,90640
CBOE_VX1_ON,D,20210208,000000,26.7,26.95,26.45,26.5484,77094
CBOE_VX1_ON,D,20210205,000000,26.8,27.15,26.6,26.65,86159
CBOE_VX1_ON,D,20210204,000000,27.42,28.1,26.6,26.7436,82769
CBOE_VX1_ON,D,20210203,000000,28.65,28.7,27.2,27.6514,81736
CBOE_VX1_ON,D,20210202,000000,31.1,31.25,28.59,28.7376,95972
CBOE_VX1_ON,D,20210201,000000,33.05,34.55,30.07,30.3302,123261
CBOE_VX1_ON,D,20210129,000000,30.4,34.1,29.6,32.3859,189447
CBOE_VX1_ON,D,20210128,000000,32.7,34.35,28.85,30.3946,209415
CBOE_VX1_ON,D,20210127,000000,25.35,36.15,25.25,31.5342,287653
CBOE_VX1_ON,D,20210126,000000,25.9,26.47,24.95,25.4095,99024
CBOE_VX1_ON,D,20210125,000000,25.0,27.1,24.35,25.9535,127359
CBOE_VX1_ON,D,20210122,000000,24.6,25.88,24.6,24.875,67721
CBOE_VX1_ON,D,20210121,000000,24.81,25.2,24.5,24.525,76586
CBOE_VX1_ON,D,20210120,000000,25.3,25.45,24.6,24.775,83138
CBOE_VX1_ON,D,20210119,000000,26.45,26.45,25.1,25.225,110293
CBOE_VX1_ON,D,20210115,000000,25.25,26.55,25.15,25.975,116811
CBOE_VX1_ON,D,20210114,000000,24.95,25.5,24.55,25.325,73390
CBOE_VX1_ON,D,20210113,000000,25.5,25.8,24.85,25.075,71414
CBOE_VX1_ON,D,20210112,000000,26.0,26.31,25.29,25.425,72708
