<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_YM1_ON,D,20210222,000000,31460,31592,31190,31466,211928
CME_YM1_ON,D,20210219,000000,31445,31583,31302,31433,158611
CME_YM1_ON,D,20210218,000000,31555,31632,31228,31431,193265
CME_YM1_ON,D,20210217,000000,31470,31581,31269,31549,178985
CME_YM1_ON,D,20210216,000000,31425,31662,31373,31458,184199
CME_YM1_ON,D,20210212,000000,31350,31420,31216,31397,111134
CME_YM1_ON,D,20210211,000000,31370,31465,31168,31359,134811
CME_YM1_ON,D,20210210,000000,31318,31451,31119,31328,155429
CME_YM1_ON,D,20210209,000000,31294,31340,31144,31278,100687
CME_YM1_ON,D,20210208,000000,31126,31296,31050,31268,110786
CME_YM1_ON,D,20210205,000000,30968,31149,30924,31042,120642
CME_YM1_ON,D,20210204,000000,30694,30990,30542,30950,112616
CME_YM1_ON,D,20210203,000000,30609,30720,30412,30627,129400
CME_YM1_ON,D,20210202,000000,30122,30738,30070,30586,152467
CME_YM1_ON,D,20210201,000000,29810,30235,29552,30110,167781
CME_YM1_ON,D,20210129,000000,30445,30521,29754,29879,314103
CME_YM1_ON,D,20210128,000000,30190,30843,29950,30507,292772
CME_YM1_ON,D,20210127,000000,30848,30884,30053,30189,270792
CME_YM1_ON,D,20210126,000000,30853,31017,30666,30842,152469
CME_YM1_ON,D,20210125,000000,30920,31015,30457,30868,239231
CME_YM1_ON,D,20210122,000000,31058,31086,30791,30909,141385
CME_YM1_ON,D,20210121,000000,31064,31188,31016,31082,118296
CME_YM1_ON,D,20210120,000000,30850,31134,30772,31096,139164
CME_YM1_ON,D,20210119,000000,30628,30982,30605,30828,189898
CME_YM1_ON,D,20210115,000000,30905,30957,30506,30720,195504
CME_YM1_ON,D,20210114,000000,30990,31116,30882,30909,125769
CME_YM1_ON,D,20210113,000000,30956,31060,30869,30959,131538
CME_YM1_ON,D,20210112,000000,30928,31012,30777,30974,128613
CME_YM1_ON,D,20210111,000000,30970,31022,30638,30902,165149
CME_YM1_ON,D,20210108,000000,30951,31148,30687,30993,189794
CME_YM1_ON,D,20210107,000000,30790,31087,30696,30942,167078
CME_YM1_ON,D,20210106,000000,30287,30912,30154,30720,313381
CME_YM1_ON,D,20210105,000000,30108,30393,29974,30285,188247
CME_YM1_ON,D,20210104,000000,30481,30691,29760,30104,265615
CME_YM1_ON,D,20201231,000000,30328,30526,30230,30497,81740
CME_YM1_ON,D,20201230,000000,30273,30416,30211,30302,94183
CME_YM1_ON,D,20201229,000000,30318,30502,30166,30238,116314
CME_YM1_ON,D,20201228,000000,30028,30418,29956,30305,108431
CME_YM1_ON,D,20201224,000000,30083,30151,29997,30109,50725
CME_YM1_ON,D,20201223,000000,29903,30182,29735,30034,129317
CME_YM1_ON,D,20201222,000000,30100,30150,29879,29912,150877
CME_YM1_ON,D,20201221,000000,30300,30333,29318,30113,275801
CME_YM1_ON,D,20201218,000000,30210,30283,29927,30113,165127
CME_YM1_ON,D,20201217,000000,30087,30248,30062,30202,117920
CME_YM1_ON,D,20201216,000000,30135,30232,29993,30074,127195
CME_YM1_ON,D,20201215,000000,29841,30157,29751,30114,156000
CME_YM1_ON,D,20201214,000000,30134,30325,29848,29865,83201
CME_YM1_ON,D,20201211,000000,30043,30089,29721,30033,104849
CME_YM1_ON,D,20201210,000000,30062,30149,29868,30010,152851
CME_YM1_ON,D,20201209,000000,30206,30309,29946,30063,185357
CME_YM1_ON,D,20201208,000000,29988,30237,29852,30170,144036
CME_YM1_ON,D,20201207,000000,30174,30265,29954,30057,129669
CME_YM1_ON,D,20201204,000000,29945,30216,29935,30198,119104
CME_YM1_ON,D,20201203,000000,29886,30092,29755,29932,154693
CME_YM1_ON,D,20201202,000000,29765,29907,29589,29868,145704
CME_YM1_ON,D,20201201,000000,29680,30057,29614,29804,168046
CME_YM1_ON,D,20201130,000000,29914,29972,29428,29629,170868
CME_YM1_ON,D,20201127,000000,29862,29978,29696,29874,98368
CME_YM1_ON,D,20201125,000000,30029,30165,29757,29828,137562
CME_YM1_ON,D,20201124,000000,29560,30067,29552,29998,149320
CME_YM1_ON,D,20201123,000000,29133,29621,29116,29546,154442
CME_YM1_ON,D,20201120,000000,29270,29440,29123,29212,147380
CME_YM1_ON,D,20201119,000000,29370,29476,29182,29443,161792
CME_YM1_ON,D,20201118,000000,29693,29896,29331,29391,163816
CME_YM1_ON,D,20201117,000000,29892,29898,29449,29720,154771
CME_YM1_ON,D,20201116,000000,29435,29998,29435,29865,161051
CME_YM1_ON,D,20201113,000000,29060,29483,28858,29410,153783
CME_YM1_ON,D,20201112,000000,29366,29367,28815,28992,184102
CME_YM1_ON,D,20201111,000000,29360,29570,29184,29311,166929
CME_YM1_ON,D,20201110,000000,29092,29389,28781,29319,227089
CME_YM1_ON,D,20201109,000000,28386,30000,28328,29048,310537
CME_YM1_ON,D,20201106,000000,28319,28457,27966,28204,206662
CME_YM1_ON,D,20201105,000000,27832,28390,27648,28297,193227
CME_YM1_ON,D,20201104,000000,27401,28194,26903,27735,305631
CME_YM1_ON,D,20201103,000000,26852,27534,26807,27376,178201
CME_YM1_ON,D,20201102,000000,26372,26939,26172,26796,215565
CME_YM1_ON,D,20201030,000000,26303,26533,25953,26394,298851
CME_YM1_ON,D,20201029,000000,26482,26803,26162,26557,284327
CME_YM1_ON,D,20201028,000000,27241,27267,26390,26409,335203
CME_YM1_ON,D,20201027,000000,27581,27713,27232,27365,176968
CME_YM1_ON,D,20201026,000000,28150,28150,27259,27581,230568
CME_YM1_ON,D,20201023,000000,28313,28392,28045,28189,131737
CME_YM1_ON,D,20201022,000000,28130,28313,27896,28268,151549
CME_YM1_ON,D,20201021,000000,28187,28378,28077,28134,170548
CME_YM1_ON,D,20201020,000000,28182,28466,28048,28182,168820
CME_YM1_ON,D,20201019,000000,28496,28669,28025,28100,155436
CME_YM1_ON,D,20201016,000000,28417,28732,28332,28408,174348
CME_YM1_ON,D,20201015,000000,28405,28454,28025,28386,219701
CME_YM1_ON,D,20201014,000000,28577,28726,28343,28414,198373
CME_YM1_ON,D,20201013,000000,28807,28824,28485,28585,217269
CME_YM1_ON,D,20201012,000000,28518,28846,28433,28798,172171
CME_YM1_ON,D,20201009,000000,28378,28570,28324,28518,169760
CME_YM1_ON,D,20201008,000000,28179,28452,28151,28310,178072
CME_YM1_ON,D,20201007,000000,27568,28250,27539,28179,193149
CME_YM1_ON,D,20201006,000000,28010,28232,27531,27700,286159
CME_YM1_ON,D,20201005,000000,27740,28042,27646,27995,167771
CME_YM1_ON,D,20201002,000000,27680,27741,27109,27565,279505
CME_YM1_ON,D,20201001,000000,27606,27962,27543,27689,267477
CME_YM1_ON,D,20200930,000000,27354,27904,27039,27664,297188
CME_YM1_ON,D,20200929,000000,27498,27619,27213,27408,174407
CME_YM1_ON,D,20200928,000000,27060,27600,27060,27482,181059
CME_YM1_ON,D,20200925,000000,26772,27123,26424,27043,212444
CME_YM1_ON,D,20200924,000000,26690,26971,26407,26715,253159
CME_YM1_ON,D,20200923,000000,27219,27392,26586,26685,235552
CME_YM1_ON,D,20200922,000000,27000,27207,26858,27143,199343
CME_YM1_ON,D,20200921,000000,27055,27663,26584,27055,261867
CME_YM1_ON,D,20200918,000000,27785,27880,27369,27602,214161
CME_YM1_ON,D,20200917,000000,27960,27995,27426,27819,236869
CME_YM1_ON,D,20200916,000000,27910,28251,27846,27937,149497
CME_YM1_ON,D,20200915,000000,27851,28128,27808,27908,149414
CME_YM1_ON,D,20200914,000000,27993,28086,27993,27993,74328
CME_YM1_ON,D,20200911,000000,27564,27828,27440,27612,112988
CME_YM1_ON,D,20200910,000000,27944,28159,27432,27545,227936
CME_YM1_ON,D,20200909,000000,27376,28196,27185,27972,219968
CME_YM1_ON,D,20200908,000000,27525,28404,27440,27525,383063
CME_YM1_ON,D,20200904,000000,28301,28592,27643,28074,386498
CME_YM1_ON,D,20200903,000000,29076,29180,28052,28351,326654
CME_YM1_ON,D,20200902,000000,28637,29152,28611,29090,212151
CME_YM1_ON,D,20200901,000000,28379,28654,28257,28622,164988
CME_YM1_ON,D,20200831,000000,28416,28783,28333,28416,185000
CME_YM1_ON,D,20200828,000000,28515,28718,28442,28611,146523
CME_YM1_ON,D,20200827,000000,28312,28590,28181,28468,209200
CME_YM1_ON,D,20200826,000000,28215,28339,28095,28312,142360
CME_YM1_ON,D,20200825,000000,28244,28480,28042,28193,182056
CME_YM1_ON,D,20200824,000000,28239,28266,27877,28239,154346
CME_YM1_ON,D,20200821,000000,27676,27904,27473,27859,175143
CME_YM1_ON,D,20200820,000000,27645,27717,27392,27669,159888
CME_YM1_ON,D,20200819,000000,27744,27855,27560,27632,158640
CME_YM1_ON,D,20200818,000000,27779,27904,27596,27717,142130
CME_YM1_ON,D,20200817,000000,27775,27928,27736,27775,110934
CME_YM1_ON,D,20200814,000000,27828,27911,27592,27792,149271
CME_YM1_ON,D,20200813,000000,27858,27933,27708,27823,141133
CME_YM1_ON,D,20200812,000000,27700,27963,27612,27866,160024
CME_YM1_ON,D,20200811,000000,27690,28069,27532,27614,235205
CME_YM1_ON,D,20200810,000000,27679,27713,27260,27679,168695
CME_YM1_ON,D,20200807,000000,27292,27371,27105,27333,188194
CME_YM1_ON,D,20200806,000000,27067,27301,26924,27285,176875
CME_YM1_ON,D,20200805,000000,26749,27114,26666,27055,154198
CME_YM1_ON,D,20200804,000000,26561,26744,26439,26717,145513
CME_YM1_ON,D,20200803,000000,26558,26603,26197,26558,139271
CME_YM1_ON,D,20200731,000000,26414,26457,25905,26319,234598
CME_YM1_ON,D,20200730,000000,26454,26477,25881,26218,212047
CME_YM1_ON,D,20200729,000000,26295,26500,26187,26440,136926
CME_YM1_ON,D,20200728,000000,26512,26599,26252,26297,146157
CME_YM1_ON,D,20200727,000000,26275,26523,26232,26484,139893
CME_YM1_ON,D,20200724,000000,26548,26615,26290,26322,178319
CME_YM1_ON,D,20200723,000000,26885,27057,26449,26543,192426
CME_YM1_ON,D,20200722,000000,26727,26928,26526,26884,162941
CME_YM1_ON,D,20200721,000000,26625,26925,26590,26726,173299
CME_YM1_ON,D,20200720,000000,26541,26655,26329,26633,168055
CME_YM1_ON,D,20200717,000000,26565,26724,26502,26520,151716
CME_YM1_ON,D,20200716,000000,26814,26858,26465,26553,197905
CME_YM1_ON,D,20200715,000000,26644,27063,26571,26765,241245
CME_YM1_ON,D,20200714,000000,25986,26575,25874,26491,292989
CME_YM1_ON,D,20200713,000000,26025,26524,25914,25968,263151
CME_YM1_ON,D,20200710,000000,25589,26003,25293,25977,229539
CME_YM1_ON,D,20200709,000000,25995,26029,25397,25571,239586
CME_YM1_ON,D,20200708,000000,25770,25999,25661,25969,208859
CME_YM1_ON,D,20200707,000000,26167,26280,25741,25770,191774
CME_YM1_ON,D,20200706,000000,25723,26197,25438,26179,185477
CME_YM1_ON,D,20200702,000000,25549,26088,25515,25759,201158
CME_YM1_ON,D,20200701,000000,25653,25893,25381,25575,218153
CME_YM1_ON,D,20200630,000000,25479,25772,25301,25689,200240
CME_YM1_ON,D,20200629,000000,24777,25543,24743,25497,225328
CME_YM1_ON,D,20200626,000000,25540,25653,24837,24950,261972
CME_YM1_ON,D,20200625,000000,25379,25659,25003,25596,261275
CME_YM1_ON,D,20200624,000000,25986,26134,25159,25393,280971
CME_YM1_ON,D,20200623,000000,25955,26294,25514,26020,199871
CME_YM1_ON,D,20200622,000000,25370,25987,25230,25953,176336
CME_YM1_ON,D,20200619,000000,25902,26320,25509,25529,257949
CME_YM1_ON,D,20200618,000000,26020,26148,25617,25899,223584
CME_YM1_ON,D,20200617,000000,26130,26494,25923,26025,216527
CME_YM1_ON,D,20200616,000000,25834,26779,25789,26320,136963
CME_YM1_ON,D,20200615,000000,25176,25884,24550,25805,168625
CME_YM1_ON,D,20200612,000000,25200,25952,25064,25536,273302
CME_YM1_ON,D,20200611,000000,26954,26997,25060,25165,447836
CME_YM1_ON,D,20200610,000000,27257,27488,26901,26961,265457
CME_YM1_ON,D,20200609,000000,27562,27624,27126,27264,221361
CME_YM1_ON,D,20200608,000000,27124,27563,27031,27527,190867
CME_YM1_ON,D,20200605,000000,26283,27325,26212,27072,291751
CME_YM1_ON,D,20200604,000000,26265,26368,26056,26253,227864
CME_YM1_ON,D,20200603,000000,25701,26328,25679,26228,180146
CME_YM1_ON,D,20200602,000000,25458,25720,25291,25701,173936
CME_YM1_ON,D,20200601,000000,25463,25519,25089,25463,175632
CME_YM1_ON,D,20200529,000000,25448,25500,24991,25378,268908
CME_YM1_ON,D,20200528,000000,25543,25794,25311,25457,229304
CME_YM1_ON,D,20200527,000000,25007,25572,24913,25534,250915
CME_YM1_ON,D,20200526,000000,25002,25127,24394,25002,251353
CME_YM1_ON,D,20200522,000000,24377,24506,24101,24424,194131
CME_YM1_ON,D,20200521,000000,24545,24660,24300,24376,213178
CME_YM1_ON,D,20200520,000000,24125,24583,24076,24519,191685
CME_YM1_ON,D,20200519,000000,24479,24765,24120,24158,235410
CME_YM1_ON,D,20200518,000000,23600,24640,23538,24507,208131
CME_YM1_ON,D,20200515,000000,23526,23677,23241,23517,272073
CME_YM1_ON,D,20200514,000000,23232,23592,22704,23534,327889
CME_YM1_ON,D,20200513,000000,23494,23780,22980,23166,305627
CME_YM1_ON,D,20200512,000000,24105,24293,23468,23574,209077
CME_YM1_ON,D,20200511,000000,24228,24471,23973,24124,175561
CME_YM1_ON,D,20200508,000000,23855,24327,23849,24286,155429
CME_YM1_ON,D,20200507,000000,23493,23999,23428,23843,169319
CME_YM1_ON,D,20200506,000000,23762,23995,23497,23513,178993
CME_YM1_ON,D,20200505,000000,23587,24057,23577,23761,177171
CME_YM1_ON,D,20200504,000000,23364,23658,23208,23571,156911
CME_YM1_ON,D,20200501,000000,24052,24078,23530,23619,169428
CME_YM1_ON,D,20200430,000000,24676,24792,24072,24230,204514
