<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LIFFE_Z1_ON,D,20210222,000000,6586.0,6586.0,6505.5,6582.0,85083
LIFFE_Z1_ON,D,20210219,000000,6584.0,6607.5,6538.5,6605.5,103570
LIFFE_Z1_ON,D,20210218,000000,6680.0,6693.5,6551.0,6570.0,107506
LIFFE_Z1_ON,D,20210217,000000,6684.0,6718.0,6647.5,6661.0,87310
LIFFE_Z1_ON,D,20210216,000000,6715.0,6749.5,6683.0,6696.0,101620
LIFFE_Z1_ON,D,20210215,000000,6576.0,6727.5,6570.0,6715.5,98790
LIFFE_Z1_ON,D,20210212,000000,6476.0,6565.5,6431.0,6532.0,83671
LIFFE_Z1_ON,D,20210211,000000,6457.0,6504.0,6453.0,6476.0,56898
LIFFE_Z1_ON,D,20210210,000000,6502.0,6531.0,6427.5,6468.0,83356
LIFFE_Z1_ON,D,20210209,000000,6478.0,6504.0,6445.5,6481.5,69402
LIFFE_Z1_ON,D,20210208,000000,6479.0,6518.0,6450.0,6481.0,84951
LIFFE_Z1_ON,D,20210205,000000,6445.5,6468.0,6406.0,6442.5,83108
LIFFE_Z1_ON,D,20210204,000000,6473.0,6506.0,6427.0,6451.0,79771
LIFFE_Z1_ON,D,20210203,000000,6499.5,6526.5,6439.0,6452.5,77806
LIFFE_Z1_ON,D,20210202,000000,6442.5,6485.5,6427.5,6471.5,85819
LIFFE_Z1_ON,D,20210201,000000,6325.0,6448.0,6324.0,6421.5,98979
LIFFE_Z1_ON,D,20210129,000000,6459.0,6471.5,6300.0,6361.0,160335
LIFFE_Z1_ON,D,20210128,000000,6481.5,6509.0,6390.5,6479.0,130052
LIFFE_Z1_ON,D,20210127,000000,6615.5,6615.5,6460.0,6523.5,121252
LIFFE_Z1_ON,D,20210126,000000,6621.0,6656.5,6578.0,6616.5,75046
LIFFE_Z1_ON,D,20210125,000000,6664.5,6673.5,6563.5,6589.5,97410
LIFFE_Z1_ON,D,20210122,000000,6680.5,6685.5,6605.5,6644.0,80053
LIFFE_Z1_ON,D,20210121,000000,6715.5,6736.0,6659.0,6678.5,80898
LIFFE_Z1_ON,D,20210120,000000,6680.0,6716.5,6649.5,6688.0,87865
LIFFE_Z1_ON,D,20210119,000000,6700.0,6725.0,6650.0,6666.0,76971
LIFFE_Z1_ON,D,20210118,000000,6676.5,6697.5,6662.5,6679.0,48414
LIFFE_Z1_ON,D,20210115,000000,6746.0,6757.0,6629.5,6684.5,106628
LIFFE_Z1_ON,D,20210114,000000,6708.5,6766.5,6692.0,6751.5,77298
LIFFE_Z1_ON,D,20210113,000000,6705.5,6728.0,6687.0,6705.5,61695
LIFFE_Z1_ON,D,20210112,000000,6776.5,6776.5,6673.5,6709.5,75829
LIFFE_Z1_ON,D,20210111,000000,6838.0,6838.0,6721.5,6758.0,89333
LIFFE_Z1_ON,D,20210108,000000,6834.0,6865.0,6789.5,6818.0,92792
LIFFE_Z1_ON,D,20210107,000000,6801.0,6910.0,6746.5,6829.5,109119
LIFFE_Z1_ON,D,20210106,000000,6563.5,6819.0,6553.5,6809.5,174193
LIFFE_Z1_ON,D,20210105,000000,6516.0,6600.5,6467.0,6550.5,102110
LIFFE_Z1_ON,D,20210104,000000,6438.0,6615.0,6418.5,6529.5,146317
LIFFE_Z1_ON,D,20201231,000000,6471.5,6474.0,6380.5,6420.0,47280
LIFFE_Z1_ON,D,20201230,000000,6541.5,6574.5,6456.5,6506.5,83548
LIFFE_Z1_ON,D,20201229,000000,6518.0,6630.0,6508.0,6560.0,92875
LIFFE_Z1_ON,D,20201228,000000,6454.5,6454.5,6454.5,6454.5,0
LIFFE_Z1_ON,D,20201224,000000,6446.5,6488.5,6427.5,6454.5,29190
LIFFE_Z1_ON,D,20201223,000000,6382.0,6476.0,6364.0,6445.5,72895
LIFFE_Z1_ON,D,20201222,000000,6360.0,6418.0,6322.0,6406.0,72861
LIFFE_Z1_ON,D,20201221,000000,6430.0,6431.5,6265.0,6371.0,147143
LIFFE_Z1_ON,D,20201218,000000,6514.0,6561.5,6460.5,6473.5,113243
LIFFE_Z1_ON,D,20201217,000000,6520.5,6560.0,6499.5,6508.5,95676
LIFFE_Z1_ON,D,20201216,000000,6487.5,6548.0,6478.0,6513.5,161449
LIFFE_Z1_ON,D,20201215,000000,6508.0,6552.0,6475.0,6511.0,286936
LIFFE_Z1_ON,D,20201214,000000,6580.0,6584.5,6494.0,6533.0,255696
LIFFE_Z1_ON,D,20201211,000000,6594.0,6604.5,6511.5,6544.5,142812
LIFFE_Z1_ON,D,20201210,000000,6561.0,6632.5,6551.5,6604.0,133766
LIFFE_Z1_ON,D,20201209,000000,6575.0,6614.5,6529.5,6566.5,96988
LIFFE_Z1_ON,D,20201208,000000,6525.0,6565.0,6508.0,6554.5,75755
LIFFE_Z1_ON,D,20201207,000000,6548.5,6591.0,6508.5,6549.5,94594
LIFFE_Z1_ON,D,20201204,000000,6465.0,6558.5,6465.0,6541.0,105798
LIFFE_Z1_ON,D,20201203,000000,6428.0,6500.5,6419.0,6479.0,88124
