<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_C1_ON,D,20210219,000000,548.0,555.0,540.5,541.75,181500
CME_C1_ON,D,20210218,000000,550.0,552.25,546.5,549.0,99695
CME_C1_ON,D,20210217,000000,549.5,552.0,544.5,550.75,88492
CME_C1_ON,D,20210216,000000,544.75,550.0,536.25,549.75,90399
CME_C1_ON,D,20210212,000000,539.5,544.5,534.75,536.5,71469
CME_C1_ON,D,20210211,000000,530.5,544.5,523.25,539.75,180989
CME_C1_ON,D,20210210,000000,554.0,554.25,530.0,532.75,173080
CME_C1_ON,D,20210209,000000,562.5,572.0,543.25,554.25,237935
CME_C1_ON,D,20210208,000000,548.75,565.75,548.75,563.75,238084
CME_C1_ON,D,20210205,000000,548.5,552.25,545.5,548.5,190494
CME_C1_ON,D,20210204,000000,552.0,558.0,547.0,550.0,201901
CME_C1_ON,D,20210203,000000,543.25,552.5,536.5,552.0,195048
CME_C1_ON,D,20210202,000000,549.75,552.5,540.25,543.0,157481
CME_C1_ON,D,20210201,000000,549.0,555.75,539.0,549.25,202570
CME_C1_ON,D,20210129,000000,534.5,553.75,533.25,547.0,261505
CME_C1_ON,D,20210128,000000,533.25,550.5,529.0,534.5,234481
CME_C1_ON,D,20210127,000000,532.5,543.75,529.5,534.0,205902
CME_C1_ON,D,20210126,000000,513.0,534.25,508.0,532.25,209921
CME_C1_ON,D,20210125,000000,500.0,515.5,492.5,511.5,246607
CME_C1_ON,D,20210122,000000,522.5,522.75,499.25,500.5,260481
CME_C1_ON,D,20210121,000000,521.0,531.5,519.25,524.25,154250
CME_C1_ON,D,20210120,000000,525.0,526.5,512.75,522.0,199012
CME_C1_ON,D,20210119,000000,531.5,534.25,523.25,526.0,170517
CME_C1_ON,D,20210115,000000,534.0,536.5,527.75,531.5,153466
CME_C1_ON,D,20210114,000000,523.0,536.5,519.0,534.25,188296
CME_C1_ON,D,20210113,000000,524.0,541.5,522.25,524.5,299693
CME_C1_ON,D,20210112,000000,491.5,517.25,489.25,517.25,231497
CME_C1_ON,D,20210111,000000,496.5,500.5,490.25,492.25,156186
CME_C1_ON,D,20210108,000000,494.0,499.5,492.5,496.25,147629
CME_C1_ON,D,20210107,000000,495.0,496.0,487.25,494.0,165553
CME_C1_ON,D,20210106,000000,492.5,502.75,491.5,495.0,180043
CME_C1_ON,D,20210105,000000,484.5,496.0,482.5,491.75,196035
CME_C1_ON,D,20210104,000000,487.25,497.75,479.5,483.75,244101
CME_C1_ON,D,20201231,000000,474.0,485.75,473.0,484.0,152655
CME_C1_ON,D,20201230,000000,466.0,476.0,462.0,474.5,143246
CME_C1_ON,D,20201229,000000,455.75,467.25,453.5,466.0,171561
CME_C1_ON,D,20201228,000000,452.0,457.5,448.0,456.5,132767
CME_C1_ON,D,20201224,000000,446.75,451.5,446.5,451.0,68645
CME_C1_ON,D,20201223,000000,442.75,449.75,441.5,447.25,134321
CME_C1_ON,D,20201222,000000,440.0,444.25,437.25,443.5,129244
CME_C1_ON,D,20201221,000000,438.0,440.75,430.25,440.0,129575
CME_C1_ON,D,20201218,000000,432.25,438.5,432.0,437.5,113968
CME_C1_ON,D,20201217,000000,426.25,433.0,424.25,432.5,104052
CME_C1_ON,D,20201216,000000,425.25,429.25,423.75,427.25,98704
CME_C1_ON,D,20201215,000000,424.0,425.25,420.5,424.75,86310
CME_C1_ON,D,20201214,000000,423.5,428.5,421.25,424.0,99966
CME_C1_ON,D,20201211,000000,422.0,424.5,418.0,423.5,95956
CME_C1_ON,D,20201210,000000,423.75,427.5,420.5,421.25,120748
CME_C1_ON,D,20201209,000000,420.0,424.5,419.75,423.75,77645
CME_C1_ON,D,20201208,000000,422.5,424.5,418.5,419.75,101125
CME_C1_ON,D,20201207,000000,419.5,425.25,415.25,424.0,158388
CME_C1_ON,D,20201204,000000,426.0,426.75,419.25,420.5,162938
CME_C1_ON,D,20201203,000000,424.0,427.5,422.0,426.5,172109
CME_C1_ON,D,20201202,000000,420.75,424.75,414.5,423.75,204012
CME_C1_ON,D,20201201,000000,426.5,429.0,420.25,420.75,176653
CME_C1_ON,D,20201130,000000,435.25,439.5,424.25,426.0,224341
