<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_FV1_ON,D,20210219,000000,125.46875,125.5,125.3046875,125.3515625,1789520
CME_FV1_ON,D,20210218,000000,125.4765625,125.53125,125.3671875,125.4765625,1124805
CME_FV1_ON,D,20210217,000000,125.3359375,125.484375,125.234375,125.40625,1620296
CME_FV1_ON,D,20210216,000000,125.6875,125.703125,125.3359375,125.390625,1740624
CME_FV1_ON,D,20210212,000000,125.828125,125.875,125.6953125,125.7421875,754509
CME_FV1_ON,D,20210211,000000,125.875,125.90625,125.8125,125.84375,748847
CME_FV1_ON,D,20210210,000000,125.734375,125.8828125,125.6953125,125.8515625,833302
CME_FV1_ON,D,20210209,000000,125.734375,125.7890625,125.703125,125.75,718701
CME_FV1_ON,D,20210208,000000,125.8125,125.8125,125.703125,125.7421875,712948
CME_FV1_ON,D,20210205,000000,125.8125,125.8984375,125.703125,125.796875,1088903
CME_FV1_ON,D,20210204,000000,125.78125,125.8359375,125.734375,125.8203125,713030
CME_FV1_ON,D,20210203,000000,125.8984375,125.8984375,125.7734375,125.8046875,728599
CME_FV1_ON,D,20210202,000000,125.9609375,125.9921875,125.859375,125.875,719754
CME_FV1_ON,D,20210201,000000,125.9765625,126.0234375,125.9375,125.96875,680576
CME_FV1_ON,D,20210129,000000,125.9296875,126.0,125.8203125,125.875,1275481
CME_FV1_ON,D,20210128,000000,126.0078125,126.03125,125.8671875,125.9296875,1016874
CME_FV1_ON,D,20210127,000000,125.953125,126.078125,125.921875,126.0234375,696899
CME_FV1_ON,D,20210126,000000,125.984375,126.0,125.921875,125.953125,651231
CME_FV1_ON,D,20210125,000000,125.859375,126.0,125.8203125,125.9609375,682077
CME_FV1_ON,D,20210122,000000,125.7734375,125.8671875,125.765625,125.84375,688383
CME_FV1_ON,D,20210121,000000,125.7890625,125.8046875,125.6796875,125.78125,627980
CME_FV1_ON,D,20210120,000000,125.78125,125.8125,125.703125,125.7734375,639671
CME_FV1_ON,D,20210119,000000,125.7265625,125.7890625,125.6171875,125.765625,750859
CME_FV1_ON,D,20210115,000000,125.5703125,125.75,125.5703125,125.71875,708867
CME_FV1_ON,D,20210114,000000,125.625,125.7109375,125.515625,125.578125,938516
CME_FV1_ON,D,20210113,000000,125.4921875,125.6484375,125.453125,125.6171875,1047964
CME_FV1_ON,D,20210112,000000,125.46875,125.5234375,125.3515625,125.484375,1115661
CME_FV1_ON,D,20210111,000000,125.5546875,125.6484375,125.46875,125.515625,806256
CME_FV1_ON,D,20210108,000000,125.6640625,125.703125,125.5234375,125.59375,1136541
CME_FV1_ON,D,20210107,000000,125.8046875,125.84375,125.6640625,125.7109375,876873
CME_FV1_ON,D,20210106,000000,126.0859375,126.125,125.7421875,125.7890625,1483611
CME_FV1_ON,D,20210105,000000,126.21875,126.21875,126.0625,126.078125,654833
CME_FV1_ON,D,20210104,000000,126.140625,126.2265625,126.0703125,126.203125,761897
CME_FV1_ON,D,20201231,000000,126.1171875,126.1875,126.1015625,126.1640625,609714
CME_FV1_ON,D,20201230,000000,126.0703125,126.1328125,126.015625,126.1171875,413760
CME_FV1_ON,D,20201229,000000,126.109375,126.1171875,126.0390625,126.0859375,429156
CME_FV1_ON,D,20201228,000000,126.0859375,126.109375,125.96875,126.078125,491559
CME_FV1_ON,D,20201224,000000,126.03125,126.0859375,126.0078125,126.0625,186641
CME_FV1_ON,D,20201223,000000,126.0703125,126.1171875,125.953125,126.0234375,574343
CME_FV1_ON,D,20201222,000000,125.9765625,126.078125,125.96875,126.0625,424659
CME_FV1_ON,D,20201221,000000,125.9765625,126.1875,125.953125,125.9765625,665775
CME_FV1_ON,D,20201218,000000,125.9921875,126.0625,125.96875,125.984375,476035
CME_FV1_ON,D,20201217,000000,126.0546875,126.1328125,125.9375,126.0,720601
CME_FV1_ON,D,20201216,000000,126.0546875,126.0859375,125.921875,126.0390625,668120
CME_FV1_ON,D,20201215,000000,126.09375,126.109375,126.0,126.015625,516972
CME_FV1_ON,D,20201214,000000,126.046875,126.109375,125.9375,126.09375,514621
CME_FV1_ON,D,20201211,000000,125.9375,126.1328125,125.9296875,126.09375,709457
CME_FV1_ON,D,20201210,000000,125.8515625,125.96875,125.84375,125.953125,612275
CME_FV1_ON,D,20201209,000000,125.875,125.8828125,125.765625,125.8125,576940
CME_FV1_ON,D,20201208,000000,125.9140625,125.9921875,125.8515625,125.90625,582517
CME_FV1_ON,D,20201207,000000,125.75,125.9140625,125.71875,125.8984375,563265
CME_FV1_ON,D,20201204,000000,125.875,125.8984375,125.671875,125.734375,700342
CME_FV1_ON,D,20201203,000000,125.7578125,125.8828125,125.71875,125.8203125,690508
CME_FV1_ON,D,20201202,000000,125.71875,125.796875,125.640625,125.71875,769502
CME_FV1_ON,D,20201201,000000,126.0234375,126.046875,125.6484375,125.6796875,1222841
CME_FV1_ON,D,20201130,000000,125.984375,126.0546875,125.9375,126.03125,993958
CME_FV1_ON,D,20201127,000000,125.875,126.0,125.8671875,126.0,401879
CME_FV1_ON,D,20201125,000000,125.859375,125.96875,125.8203125,125.8984375,1126220
CME_FV1_ON,D,20201124,000000,125.578125,125.59375,125.5234375,125.5546875,2014335
CME_FV1_ON,D,20201123,000000,125.6171875,125.625,125.515625,125.5546875,2436008
CME_FV1_ON,D,20201120,000000,125.6015625,125.640625,125.5546875,125.6015625,887853
CME_FV1_ON,D,20201119,000000,125.5,125.609375,125.5,125.5546875,830012
CME_FV1_ON,D,20201118,000000,125.5625,125.6015625,125.453125,125.4921875,810874
CME_FV1_ON,D,20201117,000000,125.453125,125.5703125,125.421875,125.546875,601297
CME_FV1_ON,D,20201116,000000,125.46875,125.5390625,125.390625,125.453125,619018
CME_FV1_ON,D,20201113,000000,125.515625,125.5546875,125.4453125,125.4765625,587939
CME_FV1_ON,D,20201112,000000,125.265625,125.53125,125.265625,125.5,909314
CME_FV1_ON,D,20201111,000000,125.2421875,125.2890625,125.1484375,125.25,215937
CME_FV1_ON,D,20201110,000000,125.3671875,125.3984375,125.1953125,125.2109375,947513
CME_FV1_ON,D,20201109,000000,125.6328125,125.75,125.1875,125.2734375,1400591
CME_FV1_ON,D,20201106,000000,125.8359375,125.8515625,125.5859375,125.65625,730946
CME_FV1_ON,D,20201105,000000,125.8359375,125.921875,125.734375,125.7890625,738137
CME_FV1_ON,D,20201104,000000,125.46875,125.8828125,125.3828125,125.859375,1291999
CME_FV1_ON,D,20201103,000000,125.6171875,125.6171875,125.453125,125.5390625,646395
CME_FV1_ON,D,20201102,000000,125.59375,125.703125,125.578125,125.6015625,706255
CME_FV1_ON,D,20201030,000000,125.65625,125.71875,125.5703125,125.6015625,1044954
CME_FV1_ON,D,20201029,000000,125.765625,125.8125,125.6171875,125.6484375,895784
CME_FV1_ON,D,20201028,000000,125.7734375,125.8515625,125.75,125.765625,803182
CME_FV1_ON,D,20201027,000000,125.65625,125.7734375,125.6484375,125.7578125,462354
CME_FV1_ON,D,20201026,000000,125.5625,125.71875,125.5625,125.6796875,463416
CME_FV1_ON,D,20201023,000000,125.5546875,125.640625,125.515625,125.578125,565178
CME_FV1_ON,D,20201022,000000,125.6484375,125.703125,125.515625,125.5703125,657744
CME_FV1_ON,D,20201021,000000,125.7265625,125.7421875,125.59375,125.671875,615494
CME_FV1_ON,D,20201020,000000,125.734375,125.7734375,125.6796875,125.71875,534494
CME_FV1_ON,D,20201019,000000,125.8046875,125.8125,125.6953125,125.7578125,553299
CME_FV1_ON,D,20201016,000000,125.84375,125.8984375,125.78125,125.8203125,454220
CME_FV1_ON,D,20201015,000000,125.875,125.96875,125.8203125,125.84375,467521
CME_FV1_ON,D,20201014,000000,125.8671875,125.9296875,125.84375,125.890625,442358
CME_FV1_ON,D,20201013,000000,125.7421875,125.8984375,125.734375,125.890625,509460
CME_FV1_ON,D,20201012,000000,125.703125,125.75,125.6953125,125.7265625,98784
CME_FV1_ON,D,20201009,000000,125.703125,125.78125,125.65625,125.7109375,531477
CME_FV1_ON,D,20201008,000000,125.671875,125.7734375,125.6640625,125.765625,489175
CME_FV1_ON,D,20201007,000000,125.8203125,125.828125,125.6328125,125.6640625,604621
CME_FV1_ON,D,20201006,000000,125.703125,125.8515625,125.6953125,125.7890625,781905
CME_FV1_ON,D,20201005,000000,125.9375,125.9921875,125.6953125,125.7578125,625433
CME_FV1_ON,D,20201002,000000,126.015625,126.109375,125.921875,125.953125,618713
CME_FV1_ON,D,20201001,000000,125.984375,126.0625,125.875,126.0234375,648831
CME_FV1_ON,D,20200930,000000,126.1171875,126.1484375,125.9765625,126.03125,839856
CME_FV1_ON,D,20200929,000000,126.1015625,126.140625,126.0703125,126.1328125,435328
CME_FV1_ON,D,20200928,000000,126.0703125,126.1015625,126.015625,126.0625,368685
CME_FV1_ON,D,20200925,000000,126.015625,126.1171875,125.9921875,126.0703125,401841
