<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_SM1_ON,D,20210219,000000,426.2,429.5,423.0,423.6,37470
CME_SM1_ON,D,20210218,000000,431.1,432.7,424.4,425.0,29600
CME_SM1_ON,D,20210217,000000,429.3,431.8,426.4,431.2,31268
CME_SM1_ON,D,20210216,000000,428.8,431.4,424.3,428.9,30679
CME_SM1_ON,D,20210212,000000,428.6,429.9,423.6,427.0,37081
CME_SM1_ON,D,20210211,000000,421.9,430.6,418.3,428.4,39471
CME_SM1_ON,D,20210210,000000,439.3,439.3,420.9,421.8,57802
CME_SM1_ON,D,20210209,000000,436.6,442.1,430.8,437.6,48342
CME_SM1_ON,D,20210208,000000,430.5,438.8,428.5,436.6,55133
CME_SM1_ON,D,20210205,000000,433.0,436.3,430.2,430.5,36520
CME_SM1_ON,D,20210204,000000,437.4,437.4,431.3,433.1,31875
CME_SM1_ON,D,20210203,000000,428.0,436.5,425.8,435.5,33882
CME_SM1_ON,D,20210202,000000,429.0,431.5,422.9,428.0,28766
CME_SM1_ON,D,20210201,000000,432.4,435.5,425.3,430.5,34864
CME_SM1_ON,D,20210129,000000,427.1,432.8,420.7,431.0,35844
CME_SM1_ON,D,20210128,000000,435.7,440.7,424.5,427.1,47079
CME_SM1_ON,D,20210127,000000,438.0,443.2,434.1,436.6,37278
CME_SM1_ON,D,20210126,000000,430.2,439.7,425.6,436.5,34651
CME_SM1_ON,D,20210125,000000,421.6,434.5,417.6,429.6,48809
CME_SM1_ON,D,20210122,000000,437.5,437.6,420.0,421.6,64699
CME_SM1_ON,D,20210121,000000,442.4,447.0,437.2,438.2,41582
CME_SM1_ON,D,20210120,000000,450.5,450.8,438.6,442.4,55046
CME_SM1_ON,D,20210119,000000,463.3,464.0,450.2,450.5,50951
CME_SM1_ON,D,20210115,000000,465.1,467.3,460.0,463.2,52144
CME_SM1_ON,D,20210114,000000,457.5,466.2,457.1,464.9,49385
CME_SM1_ON,D,20210113,000000,466.5,471.4,456.2,457.1,47574
CME_SM1_ON,D,20210112,000000,446.1,468.7,443.9,465.4,60119
CME_SM1_ON,D,20210111,000000,441.7,447.4,437.3,446.8,46932
CME_SM1_ON,D,20210108,000000,432.9,442.8,430.0,439.6,46714
CME_SM1_ON,D,20210107,000000,440.1,441.5,430.5,432.2,41265
CME_SM1_ON,D,20210106,000000,434.6,444.1,434.3,438.3,37918
CME_SM1_ON,D,20210105,000000,425.0,436.9,423.6,431.8,58247
CME_SM1_ON,D,20210104,000000,431.9,440.8,420.7,423.7,65604
CME_SM1_ON,D,20201231,000000,427.8,432.5,425.7,429.4,31081
CME_SM1_ON,D,20201230,000000,424.0,429.4,417.2,427.8,50309
CME_SM1_ON,D,20201229,000000,412.3,426.4,408.0,424.3,52859
CME_SM1_ON,D,20201228,000000,419.8,421.6,409.6,412.7,56372
CME_SM1_ON,D,20201224,000000,419.5,422.8,413.4,414.1,29796
CME_SM1_ON,D,20201223,000000,414.0,421.4,412.1,419.0,66674
CME_SM1_ON,D,20201222,000000,412.7,416.3,408.4,414.3,49488
CME_SM1_ON,D,20201221,000000,405.8,412.7,404.0,412.1,52510
CME_SM1_ON,D,20201218,000000,397.4,408.0,397.4,405.3,44444
CME_SM1_ON,D,20201217,000000,393.8,398.6,391.6,397.4,42148
CME_SM1_ON,D,20201216,000000,389.5,395.8,388.8,393.9,53075
CME_SM1_ON,D,20201215,000000,382.4,389.4,379.8,388.9,38285
CME_SM1_ON,D,20201214,000000,382.2,384.0,378.6,382.0,26922
CME_SM1_ON,D,20201211,000000,379.7,382.2,378.0,381.4,35087
CME_SM1_ON,D,20201210,000000,382.1,387.2,378.9,379.4,55774
CME_SM1_ON,D,20201209,000000,379.0,383.8,378.5,381.4,48096
CME_SM1_ON,D,20201208,000000,382.8,383.8,377.8,378.8,50691
CME_SM1_ON,D,20201207,000000,384.2,387.0,380.0,382.3,52482
CME_SM1_ON,D,20201204,000000,389.2,390.3,384.7,385.5,29565
CME_SM1_ON,D,20201203,000000,385.6,391.0,384.7,390.0,29455
CME_SM1_ON,D,20201202,000000,391.0,391.2,380.9,385.6,48297
CME_SM1_ON,D,20201201,000000,391.0,394.3,389.2,390.2,36175
CME_SM1_ON,D,20201130,000000,398.0,399.9,389.8,390.5,43319
CME_SM1_ON,D,20201127,000000,397.1,397.4,393.1,396.3,25148
CME_SM1_ON,D,20201125,000000,398.0,401.3,393.8,395.9,62430
CME_SM1_ON,D,20201124,000000,393.0,397.9,390.8,396.9,57482
CME_SM1_ON,D,20201123,000000,397.9,399.1,392.2,393.0,49424
CME_SM1_ON,D,20201120,000000,392.5,397.6,390.4,392.5,37854
CME_SM1_ON,D,20201119,000000,393.8,394.0,389.4,392.3,27248
CME_SM1_ON,D,20201118,000000,394.7,398.3,393.1,393.8,29841
CME_SM1_ON,D,20201117,000000,390.8,398.3,390.8,394.7,27556
CME_SM1_ON,D,20201116,000000,389.0,390.9,386.3,389.3,17299
CME_SM1_ON,D,20201113,000000,387.3,390.3,385.4,387.8,20544
CME_SM1_ON,D,20201112,000000,392.5,393.1,385.7,387.1,29089
CME_SM1_ON,D,20201111,000000,395.6,400.6,391.0,392.7,80290
CME_SM1_ON,D,20201110,000000,384.7,401.1,384.0,394.8,97594
CME_SM1_ON,D,20201109,000000,384.1,389.6,383.1,384.1,55417
CME_SM1_ON,D,20201106,000000,387.3,390.0,381.8,382.4,57892
CME_SM1_ON,D,20201105,000000,385.9,393.4,384.3,387.8,64824
CME_SM1_ON,D,20201104,000000,377.5,386.6,375.5,385.7,63456
CME_SM1_ON,D,20201103,000000,376.2,379.8,374.5,377.2,51476
CME_SM1_ON,D,20201102,000000,378.6,384.1,373.8,375.1,59619
CME_SM1_ON,D,20201030,000000,377.2,380.5,374.6,378.6,52728
CME_SM1_ON,D,20201029,000000,377.2,379.0,372.8,376.9,50259
CME_SM1_ON,D,20201028,000000,383.3,383.6,371.3,376.7,59553
CME_SM1_ON,D,20201027,000000,389.4,392.7,383.5,384.0,49875
CME_SM1_ON,D,20201026,000000,385.7,389.9,381.4,389.6,49226
CME_SM1_ON,D,20201023,000000,383.1,387.4,378.7,386.4,53788
CME_SM1_ON,D,20201022,000000,380.0,390.8,376.8,382.4,67068
CME_SM1_ON,D,20201021,000000,373.6,379.8,372.3,378.8,50345
CME_SM1_ON,D,20201020,000000,375.2,378.0,368.5,371.9,51864
CME_SM1_ON,D,20201019,000000,370.5,375.5,368.7,373.2,42445
CME_SM1_ON,D,20201016,000000,372.2,374.9,366.2,367.5,51150
CME_SM1_ON,D,20201015,000000,364.4,372.5,361.1,372.1,61291
CME_SM1_ON,D,20201014,000000,354.8,364.6,354.5,363.6,57213
CME_SM1_ON,D,20201013,000000,353.5,357.7,352.3,356.0,41375
CME_SM1_ON,D,20201012,000000,363.9,366.5,352.3,354.3,56516
CME_SM1_ON,D,20201009,000000,361.1,369.5,359.4,363.7,82763
CME_SM1_ON,D,20201008,000000,362.5,372.0,355.7,359.6,93149
CME_SM1_ON,D,20201007,000000,355.0,363.8,354.6,361.8,73139
CME_SM1_ON,D,20201006,000000,346.2,359.7,345.9,355.5,64409
CME_SM1_ON,D,20201005,000000,351.9,353.1,344.1,346.0,50269
CME_SM1_ON,D,20201002,000000,347.9,354.1,342.9,351.9,56914
CME_SM1_ON,D,20201001,000000,342.8,349.4,341.9,347.9,60266
CME_SM1_ON,D,20200930,000000,331.9,349.6,330.3,342.8,77148
CME_SM1_ON,D,20200929,000000,333.8,334.6,329.7,331.9,55342
CME_SM1_ON,D,20200928,000000,339.3,340.7,331.1,333.9,81026
CME_SM1_ON,D,20200925,000000,336.0,340.2,333.4,338.6,66271
CME_SM1_ON,D,20200924,000000,343.7,345.1,335.4,336.5,77488
CME_SM1_ON,D,20200923,000000,341.7,348.6,339.4,344.6,90799
CME_SM1_ON,D,20200922,000000,337.6,344.7,335.2,341.0,81561
CME_SM1_ON,D,20200921,000000,342.1,342.9,337.0,338.1,72899
CME_SM1_ON,D,20200918,000000,335.5,343.7,335.3,342.1,77199
CME_SM1_ON,D,20200917,000000,326.2,335.9,323.4,335.3,111968
CME_SM1_ON,D,20200916,000000,319.2,326.5,317.9,325.7,59867
CME_SM1_ON,D,20200915,000000,323.3,323.9,318.7,319.2,47513
CME_SM1_ON,D,20200914,000000,325.6,328.0,321.3,322.0,54864
CME_SM1_ON,D,20200911,000000,317.4,325.1,317.2,324.6,65276
CME_SM1_ON,D,20200910,000000,319.0,319.4,316.8,317.5,42574
CME_SM1_ON,D,20200909,000000,318.1,319.9,313.5,318.1,54404
CME_SM1_ON,D,20200908,000000,317.4,318.3,313.4,314.6,60471
CME_SM1_ON,D,20200904,000000,312.6,318.2,312.3,317.2,53955
CME_SM1_ON,D,20200903,000000,310.6,313.4,309.0,312.8,44005
CME_SM1_ON,D,20200902,000000,310.4,311.6,307.6,310.2,44439
CME_SM1_ON,D,20200901,000000,311.7,313.7,308.8,310.8,58041
CME_SM1_ON,D,20200831,000000,310.6,314.9,310.6,312.5,57954
CME_SM1_ON,D,20200828,000000,303.0,310.7,302.0,309.7,63918
CME_SM1_ON,D,20200827,000000,299.4,304.7,298.5,303.1,62902
CME_SM1_ON,D,20200826,000000,300.3,301.1,298.1,299.3,36407
CME_SM1_ON,D,20200825,000000,300.0,302.0,298.3,300.0,48130
CME_SM1_ON,D,20200824,000000,297.5,300.2,296.0,297.0,44100
CME_SM1_ON,D,20200821,000000,301.3,302.5,297.0,297.5,42508
CME_SM1_ON,D,20200820,000000,295.7,296.6,293.4,293.8,10793
CME_SM1_ON,D,20200819,000000,295.8,297.7,294.1,295.7,10213
CME_SM1_ON,D,20200818,000000,298.4,298.9,294.9,296.2,12997
CME_SM1_ON,D,20200817,000000,291.9,299.2,291.9,298.3,15585
CME_SM1_ON,D,20200814,000000,292.1,293.2,290.3,291.8,8060
CME_SM1_ON,D,20200813,000000,284.5,293.8,284.5,292.1,23197
CME_SM1_ON,D,20200812,000000,284.1,285.6,282.5,284.2,15184
CME_SM1_ON,D,20200811,000000,284.6,287.0,283.7,284.1,11723
CME_SM1_ON,D,20200810,000000,282.0,286.0,281.9,284.4,13124
CME_SM1_ON,D,20200807,000000,283.1,283.9,281.9,282.0,15881
CME_SM1_ON,D,20200806,000000,284.7,285.2,283.0,283.2,13419
CME_SM1_ON,D,20200805,000000,285.8,287.6,284.4,284.7,11735
CME_SM1_ON,D,20200804,000000,288.3,288.6,284.6,285.8,22695
CME_SM1_ON,D,20200803,000000,291.1,291.6,288.4,289.3,13921
CME_SM1_ON,D,20200731,000000,292.5,294.8,290.8,291.2,18576
CME_SM1_ON,D,20200730,000000,290.0,293.5,288.3,292.5,27003
CME_SM1_ON,D,20200729,000000,292.0,292.5,289.7,289.9,33719
CME_SM1_ON,D,20200728,000000,295.6,295.6,291.2,291.8,34047
CME_SM1_ON,D,20200727,000000,293.4,297.8,292.1,295.3,35783
CME_SM1_ON,D,20200724,000000,293.7,295.0,291.8,293.5,16909
CME_SM1_ON,D,20200723,000000,289.6,293.9,289.5,293.1,15358
CME_SM1_ON,D,20200722,000000,288.6,290.2,288.2,289.4,10166
CME_SM1_ON,D,20200721,000000,291.2,291.4,287.7,288.4,10363
CME_SM1_ON,D,20200720,000000,289.3,291.7,287.9,291.4,10644
CME_SM1_ON,D,20200717,000000,289.6,290.3,288.3,289.0,7322
CME_SM1_ON,D,20200716,000000,288.4,291.1,288.4,289.7,7291
CME_SM1_ON,D,20200715,000000,285.9,287.1,284.1,285.8,17742
CME_SM1_ON,D,20200714,000000,284.8,286.9,284.6,285.2,18818
CME_SM1_ON,D,20200713,000000,292.0,292.0,284.2,284.6,25991
