<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_TY1_ON,D,20210219,000000,135.828125,135.890625,135.328125,135.453125,2615429
CME_TY1_ON,D,20210218,000000,135.953125,136.0625,135.625,135.859375,2004312
CME_TY1_ON,D,20210217,000000,135.65625,135.953125,135.46875,135.75,3135988
CME_TY1_ON,D,20210216,000000,136.453125,136.46875,135.640625,135.78125,3038054
CME_TY1_ON,D,20210212,000000,136.8125,136.9375,136.46875,136.546875,1499293
CME_TY1_ON,D,20210211,000000,136.984375,137.0625,136.796875,136.859375,1303784
CME_TY1_ON,D,20210210,000000,136.703125,136.984375,136.578125,136.921875,1546192
CME_TY1_ON,D,20210209,000000,136.625,136.8125,136.609375,136.71875,1155757
CME_TY1_ON,D,20210208,000000,136.671875,136.78125,136.453125,136.6875,1265582
CME_TY1_ON,D,20210205,000000,136.765625,136.921875,136.5,136.6875,2150914
CME_TY1_ON,D,20210204,000000,136.734375,136.84375,136.59375,136.796875,1321224
CME_TY1_ON,D,20210203,000000,137.015625,137.015625,136.71875,136.796875,1337265
CME_TY1_ON,D,20210202,000000,137.15625,137.21875,136.875,136.9375,1180136
CME_TY1_ON,D,20210201,000000,137.171875,137.296875,137.0625,137.1875,1151057
CME_TY1_ON,D,20210129,000000,137.265625,137.328125,136.890625,137.03125,2626019
CME_TY1_ON,D,20210128,000000,137.5,137.59375,137.125,137.25,2091357
CME_TY1_ON,D,20210127,000000,137.375,137.640625,137.28125,137.53125,1600364
CME_TY1_ON,D,20210126,000000,137.421875,137.453125,137.265625,137.375,1052302
CME_TY1_ON,D,20210125,000000,137.03125,137.453125,136.9375,137.375,1334582
CME_TY1_ON,D,20210122,000000,136.875,137.078125,136.8125,137.03125,1190947
CME_TY1_ON,D,20210121,000000,137.0,137.0625,136.734375,136.890625,1267885
CME_TY1_ON,D,20210120,000000,136.953125,137.0625,136.796875,136.96875,1185444
CME_TY1_ON,D,20210119,000000,136.921875,136.984375,136.65625,136.9375,1440304
CME_TY1_ON,D,20210115,000000,136.53125,136.953125,136.515625,136.859375,1316526
CME_TY1_ON,D,20210114,000000,136.796875,136.875,136.5,136.5625,1621774
CME_TY1_ON,D,20210113,000000,136.421875,136.859375,136.375,136.765625,1816917
CME_TY1_ON,D,20210112,000000,136.3125,136.453125,136.03125,136.390625,1935263
CME_TY1_ON,D,20210111,000000,136.5625,136.75,136.296875,136.421875,1472765
CME_TY1_ON,D,20210108,000000,136.875,136.921875,136.515625,136.65625,2260248
CME_TY1_ON,D,20210107,000000,137.234375,137.296875,136.84375,136.953125,1614489
CME_TY1_ON,D,20210106,000000,137.828125,137.921875,137.09375,137.203125,2572204
CME_TY1_ON,D,20210105,000000,138.15625,138.15625,137.78125,137.84375,1248450
CME_TY1_ON,D,20210104,000000,137.96875,138.171875,137.8125,138.125,1264856
CME_TY1_ON,D,20201231,000000,137.96875,138.109375,137.890625,138.078125,829781
CME_TY1_ON,D,20201230,000000,137.890625,137.984375,137.75,137.96875,683126
CME_TY1_ON,D,20201229,000000,137.96875,137.96875,137.796875,137.921875,742723
CME_TY1_ON,D,20201228,000000,137.921875,137.984375,137.671875,137.921875,599652
CME_TY1_ON,D,20201224,000000,137.796875,137.9375,137.734375,137.875,243457
CME_TY1_ON,D,20201223,000000,137.984375,138.09375,137.625,137.765625,1051575
CME_TY1_ON,D,20201222,000000,137.796875,138.0,137.765625,137.984375,747972
CME_TY1_ON,D,20201221,000000,137.75,138.25,137.71875,137.765625,1232326
CME_TY1_ON,D,20201218,000000,137.796875,137.953125,137.734375,137.75,778349
CME_TY1_ON,D,20201217,000000,137.90625,138.125,137.71875,137.859375,1229600
CME_TY1_ON,D,20201216,000000,137.9375,138.015625,137.609375,137.890625,1358622
CME_TY1_ON,D,20201215,000000,138.078125,138.125,137.8125,137.859375,942192
CME_TY1_ON,D,20201214,000000,137.96875,138.125,137.71875,138.078125,1012720
CME_TY1_ON,D,20201211,000000,137.875,138.21875,137.828125,138.09375,1101907
CME_TY1_ON,D,20201210,000000,137.6875,137.90625,137.625,137.890625,1222543
CME_TY1_ON,D,20201209,000000,137.71875,137.75,137.46875,137.625,1096253
CME_TY1_ON,D,20201208,000000,137.75,137.984375,137.625,137.8125,996896
CME_TY1_ON,D,20201207,000000,137.390625,137.765625,137.28125,137.71875,1059574
CME_TY1_ON,D,20201204,000000,137.765625,137.84375,137.234375,137.375,1417026
CME_TY1_ON,D,20201203,000000,137.515625,137.8125,137.4375,137.65625,1204405
CME_TY1_ON,D,20201202,000000,137.53125,137.65625,137.265625,137.421875,1456782
CME_TY1_ON,D,20201201,000000,138.1875,138.234375,137.40625,137.4375,2056165
CME_TY1_ON,D,20201130,000000,138.171875,138.25,138.046875,138.171875,1712587
CME_TY1_ON,D,20201127,000000,137.875,138.1875,137.875,138.1875,632734
CME_TY1_ON,D,20201125,000000,137.859375,138.078125,137.71875,137.890625,1450634
CME_TY1_ON,D,20201124,000000,138.328125,138.375,138.171875,138.25,3262332
CME_TY1_ON,D,20201123,000000,138.53125,138.546875,138.265625,138.3125,2541076
CME_TY1_ON,D,20201120,000000,138.515625,138.625,138.375,138.5,1483233
CME_TY1_ON,D,20201119,000000,138.21875,138.515625,138.21875,138.359375,1472520
CME_TY1_ON,D,20201118,000000,138.359375,138.515625,138.078125,138.1875,1438992
CME_TY1_ON,D,20201117,000000,138.03125,138.359375,137.953125,138.296875,1265481
CME_TY1_ON,D,20201116,000000,138.078125,138.25,137.84375,138.03125,1206521
CME_TY1_ON,D,20201113,000000,138.203125,138.328125,138.046875,138.109375,959502
CME_TY1_ON,D,20201112,000000,137.625,138.234375,137.609375,138.15625,1695976
