<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE_O1_ON,D,20210222,000000,1.816,1.8671,1.8013,1.8508,53005
ICE_O1_ON,D,20210219,000000,1.8182,1.8303,1.7967,1.8104,36598
ICE_O1_ON,D,20210218,000000,1.8412,1.8448,1.803,1.8228,51815
ICE_O1_ON,D,20210217,000000,1.7964,1.8372,1.7961,1.8238,40677
ICE_O1_ON,D,20210216,000000,1.8116,1.8146,1.7872,1.8017,43639
ICE_O1_ON,D,20210215,000000,1.7749,1.8122,1.7749,1.8005,22348
ICE_O1_ON,D,20210212,000000,1.7287,1.7712,1.7199,1.7648,45436
ICE_O1_ON,D,20210211,000000,1.7457,1.7517,1.7295,1.7384,40778
ICE_O1_ON,D,20210210,000000,1.7438,1.7579,1.7405,1.7525,37105
ICE_O1_ON,D,20210209,000000,1.747,1.7503,1.7254,1.7482,30480
ICE_O1_ON,D,20210208,000000,1.7148,1.7427,1.7148,1.7386,25657
ICE_O1_ON,D,20210205,000000,1.7035,1.7251,1.7026,1.7053,45926
ICE_O1_ON,D,20210204,000000,1.6852,1.7026,1.6675,1.6934,32313
ICE_O1_ON,D,20210203,000000,1.671,1.6968,1.671,1.683,31989
ICE_O1_ON,D,20210202,000000,1.652,1.679,1.65,1.6658,45714
ICE_O1_ON,D,20210201,000000,1.6003,1.6414,1.6003,1.6384,41567
ICE_O1_ON,D,20210129,000000,1.5967,1.6291,1.588,1.5943,45448
ICE_O1_ON,D,20210128,000000,1.6008,1.6264,1.5901,1.597,43734
ICE_O1_ON,D,20210127,000000,1.6031,1.6161,1.5838,1.6036,41332
ICE_O1_ON,D,20210126,000000,1.5945,1.6059,1.5891,1.5956,34838
ICE_O1_ON,D,20210125,000000,1.584,1.5997,1.5674,1.5938,50102
ICE_O1_ON,D,20210122,000000,1.5964,1.5965,1.557,1.5771,53501
ICE_O1_ON,D,20210121,000000,1.5928,1.6026,1.5868,1.6009,35020
ICE_O1_ON,D,20210120,000000,1.6035,1.6141,1.5892,1.601,41197
ICE_O1_ON,D,20210119,000000,1.5922,1.6066,1.59,1.5978,26615
ICE_O1_ON,D,20210118,000000,1.58,1.5865,1.58,1.5826,6612
ICE_O1_ON,D,20210115,000000,1.6116,1.6116,1.5738,1.5909,34209
ICE_O1_ON,D,20210114,000000,1.6076,1.6223,1.5847,1.6205,37494
ICE_O1_ON,D,20210113,000000,1.6122,1.613,1.5846,1.6002,46206
ICE_O1_ON,D,20210112,000000,1.5743,1.6042,1.5743,1.5985,48822
ICE_O1_ON,D,20210111,000000,1.5795,1.5803,1.5545,1.575,51295
ICE_O1_ON,D,20210108,000000,1.5485,1.5867,1.5481,1.5804,46202
ICE_O1_ON,D,20210107,000000,1.5395,1.549,1.5306,1.5393,50727
ICE_O1_ON,D,20210106,000000,1.527,1.5437,1.5047,1.5302,55620
ICE_O1_ON,D,20210105,000000,1.4627,1.5262,1.4562,1.5209,56996
ICE_O1_ON,D,20210104,000000,1.5026,1.5327,1.4493,1.464,58888
ICE_O1_ON,D,20201231,000000,1.4838,1.4858,1.4703,1.4854,15135
ICE_O1_ON,D,20201230,000000,1.4938,1.5028,1.4768,1.4913,28651
ICE_O1_ON,D,20201229,000000,1.4919,1.499,1.4843,1.4871,19702
ICE_O1_ON,D,20201228,000000,1.4876,1.5076,1.4776,1.4793,22189
ICE_O1_ON,D,20201224,000000,1.5013,1.5038,1.4792,1.4895,15551
ICE_O1_ON,D,20201223,000000,1.4512,1.5049,1.4512,1.4957,42442
ICE_O1_ON,D,20201222,000000,1.4502,1.4753,1.4502,1.4634,35434
ICE_O1_ON,D,20201221,000000,1.4732,1.4806,1.4346,1.4785,50756
ICE_O1_ON,D,20201218,000000,1.494,1.5174,1.4919,1.5131,46698
ICE_O1_ON,D,20201217,000000,1.4825,1.5006,1.4824,1.4967,40610
ICE_O1_ON,D,20201216,000000,1.4617,1.4839,1.4562,1.4807,47473
ICE_O1_ON,D,20201215,000000,1.4572,1.4717,1.4539,1.468,33353
