<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_FF1_ON,D,20210219,000000,99.925,99.9275,99.925,99.9275,2485
CME_FF1_ON,D,20210218,000000,99.9275,99.9275,99.9225,99.925,13928
CME_FF1_ON,D,20210217,000000,99.925,99.9275,99.925,99.9275,2868
CME_FF1_ON,D,20210216,000000,99.9275,99.9275,99.925,99.9275,11867
CME_FF1_ON,D,20210212,000000,99.93,99.93,99.9275,99.9275,6231
CME_FF1_ON,D,20210211,000000,99.9275,99.93,99.925,99.925,12088
CME_FF1_ON,D,20210210,000000,99.9275,99.93,99.9275,99.93,21296
CME_FF1_ON,D,20210209,000000,99.9325,99.9325,99.93,99.93,42705
CME_FF1_ON,D,20210208,000000,99.935,99.9375,99.93,99.935,39087
CME_FF1_ON,D,20210205,000000,99.935,99.9375,99.935,99.935,28702
CME_FF1_ON,D,20210204,000000,99.93,99.9375,99.93,99.935,29719
CME_FF1_ON,D,20210203,000000,99.93,99.9325,99.93,99.9325,7683
CME_FF1_ON,D,20210202,000000,99.935,99.935,99.9275,99.9325,50920
CME_FF1_ON,D,20210201,000000,99.94,99.94,99.9325,99.9325,32013
CME_FF1_ON,D,20210129,000000,99.925,99.945,99.925,99.94,87086
CME_FF1_ON,D,20210128,000000,99.925,99.93,99.925,99.925,11570
CME_FF1_ON,D,20210127,000000,99.92,99.93,99.92,99.925,45460
CME_FF1_ON,D,20210126,000000,99.925,99.93,99.92,99.925,50659
CME_FF1_ON,D,20210125,000000,99.925,99.925,99.92,99.92,14757
CME_FF1_ON,D,20210122,000000,99.92,99.925,99.92,99.92,4601
CME_FF1_ON,D,20210121,000000,99.91,99.9125,99.91,99.91,17613
CME_FF1_ON,D,20210120,000000,99.9125,99.9125,99.91,99.91,1672
CME_FF1_ON,D,20210119,000000,99.9125,99.9125,99.91,99.91,861
CME_FF1_ON,D,20210115,000000,99.9125,99.9125,99.91,99.91,3140
CME_FF1_ON,D,20210114,000000,99.9125,99.9125,99.91,99.91,5544
CME_FF1_ON,D,20210113,000000,99.9125,99.9125,99.91,99.91,5311
CME_FF1_ON,D,20210112,000000,99.9125,99.9125,99.91,99.91,2042
CME_FF1_ON,D,20210111,000000,99.915,99.915,99.91,99.91,3966
CME_FF1_ON,D,20210108,000000,99.9125,99.915,99.9125,99.9125,16968
CME_FF1_ON,D,20210107,000000,99.915,99.915,99.9125,99.9125,5793
CME_FF1_ON,D,20210106,000000,99.915,99.915,99.9125,99.9125,14607
CME_FF1_ON,D,20210105,000000,99.915,99.9175,99.9125,99.9125,18034
CME_FF1_ON,D,20210104,000000,99.9175,99.92,99.915,99.915,8672
CME_FF1_ON,D,20201231,000000,99.92,99.92,99.915,99.92,5274
CME_FF1_ON,D,20201230,000000,99.915,99.92,99.915,99.915,4523
CME_FF1_ON,D,20201229,000000,99.92,99.92,99.915,99.915,4815
CME_FF1_ON,D,20201228,000000,99.915,99.92,99.915,99.915,4939
CME_FF1_ON,D,20201224,000000,99.91,99.92,99.91,99.915,13761
CME_FF1_ON,D,20201223,000000,99.915,99.915,99.91,99.91,8143
CME_FF1_ON,D,20201222,000000,99.91,99.915,99.91,99.91,11346
CME_FF1_ON,D,20201221,000000,99.915,99.915,99.91,99.91,3853
CME_FF1_ON,D,20201218,000000,99.91,99.915,99.91,99.91,6703
CME_FF1_ON,D,20201217,000000,99.915,99.915,99.91,99.91,18781
CME_FF1_ON,D,20201216,000000,99.915,99.915,99.91,99.915,11139
CME_FF1_ON,D,20201215,000000,99.915,99.92,99.915,99.915,10138
CME_FF1_ON,D,20201214,000000,99.92,99.92,99.915,99.915,3709
CME_FF1_ON,D,20201211,000000,99.915,99.925,99.915,99.92,24535
CME_FF1_ON,D,20201210,000000,99.915,99.92,99.915,99.915,10569
CME_FF1_ON,D,20201209,000000,99.92,99.92,99.915,99.915,10947
CME_FF1_ON,D,20201208,000000,99.92,99.92,99.915,99.915,6674
CME_FF1_ON,D,20201207,000000,99.92,99.92,99.915,99.92,4819
CME_FF1_ON,D,20201204,000000,99.915,99.92,99.915,99.915,2797
CME_FF1_ON,D,20201203,000000,99.92,99.92,99.915,99.915,2790
CME_FF1_ON,D,20201202,000000,99.92,99.925,99.915,99.915,15006
CME_FF1_ON,D,20201201,000000,99.92,99.925,99.92,99.92,3465
CME_FF1_ON,D,20201130,000000,99.9125,99.9125,99.9125,99.9125,20
CME_FF1_ON,D,20201127,000000,99.915,99.915,99.9125,99.9125,1201
CME_FF1_ON,D,20201125,000000,99.9125,99.915,99.9125,99.9125,875
CME_FF1_ON,D,20201124,000000,99.9125,99.915,99.91,99.9125,12520
CME_FF1_ON,D,20201123,000000,99.91,99.9125,99.91,99.91,9528
CME_FF1_ON,D,20201120,000000,99.9125,99.915,99.91,99.91,26264
CME_FF1_ON,D,20201119,000000,99.9125,99.9125,99.91,99.9125,2273
CME_FF1_ON,D,20201118,000000,99.91,99.9125,99.91,99.91,728
CME_FF1_ON,D,20201117,000000,99.91,99.9125,99.91,99.91,394
CME_FF1_ON,D,20201116,000000,99.91,99.9125,99.91,99.9125,1122
CME_FF1_ON,D,20201113,000000,99.91,99.91,99.91,99.91,202
CME_FF1_ON,D,20201112,000000,99.9125,99.9125,99.91,99.91,74
CME_FF1_ON,D,20201111,000000,99.9125,99.9125,99.91,99.91,1939
CME_FF1_ON,D,20201110,000000,99.91,99.9125,99.91,99.91,1975
CME_FF1_ON,D,20201109,000000,99.91,99.9125,99.91,99.9125,2187
CME_FF1_ON,D,20201106,000000,99.9125,99.9125,99.91,99.91,7384
CME_FF1_ON,D,20201105,000000,99.915,99.915,99.91,99.91,12535
CME_FF1_ON,D,20201104,000000,99.9125,99.915,99.91,99.91,10435
CME_FF1_ON,D,20201103,000000,99.9125,99.915,99.91,99.915,12232
CME_FF1_ON,D,20201102,000000,99.9125,99.915,99.91,99.9125,8479
CME_FF1_ON,D,20201030,000000,99.91,99.9125,99.91,99.91,623
CME_FF1_ON,D,20201029,000000,99.91,99.9125,99.91,99.91,1538
CME_FF1_ON,D,20201028,000000,99.9125,99.9125,99.91,99.91,492
CME_FF1_ON,D,20201027,000000,99.91,99.9125,99.91,99.91,176
CME_FF1_ON,D,20201026,000000,99.9125,99.9125,99.91,99.91,1344
CME_FF1_ON,D,20201023,000000,99.9125,99.9125,99.91,99.91,2209
CME_FF1_ON,D,20201022,000000,99.9125,99.9125,99.91,99.91,1389
CME_FF1_ON,D,20201021,000000,99.9125,99.9125,99.91,99.91,400
CME_FF1_ON,D,20201020,000000,99.91,99.9125,99.91,99.91,1175
CME_FF1_ON,D,20201019,000000,99.91,99.9125,99.91,99.91,3808
CME_FF1_ON,D,20201016,000000,99.9125,99.9125,99.91,99.91,899
CME_FF1_ON,D,20201015,000000,99.9125,99.9125,99.91,99.91,4840
CME_FF1_ON,D,20201014,000000,99.91,99.9125,99.91,99.9125,4910
CME_FF1_ON,D,20201013,000000,99.91,99.9125,99.91,99.91,384
CME_FF1_ON,D,20201012,000000,99.9125,99.9125,99.91,99.91,444
CME_FF1_ON,D,20201009,000000,99.915,99.915,99.91,99.9125,21049
CME_FF1_ON,D,20201008,000000,99.915,99.915,99.9125,99.9125,1483
CME_FF1_ON,D,20201007,000000,99.9175,99.9175,99.9125,99.915,9147
CME_FF1_ON,D,20201006,000000,99.915,99.9175,99.915,99.915,6075
CME_FF1_ON,D,20201005,000000,99.915,99.9175,99.915,99.9175,26870
CME_FF1_ON,D,20201002,000000,99.915,99.9175,99.915,99.9175,4856
CME_FF1_ON,D,20201001,000000,99.9175,99.92,99.915,99.915,6513
CME_FF1_ON,D,20200930,000000,99.9175,99.92,99.915,99.915,13221
CME_FF1_ON,D,20200929,000000,99.9175,99.9175,99.915,99.9175,5053
CME_FF1_ON,D,20200928,000000,99.9175,99.9175,99.915,99.915,21724
CME_FF1_ON,D,20200925,000000,99.92,99.92,99.915,99.92,2635
CME_FF1_ON,D,20200924,000000,99.92,99.92,99.915,99.92,10851
CME_FF1_ON,D,20200923,000000,99.915,99.92,99.915,99.92,2351
CME_FF1_ON,D,20200922,000000,99.92,99.92,99.915,99.915,4605
CME_FF1_ON,D,20200921,000000,99.915,99.92,99.915,99.915,22783
CME_FF1_ON,D,20200918,000000,99.915,99.92,99.915,99.915,5082
CME_FF1_ON,D,20200917,000000,99.915,99.92,99.915,99.915,7522
CME_FF1_ON,D,20200916,000000,99.915,99.92,99.915,99.915,21562
CME_FF1_ON,D,20200915,000000,99.915,99.92,99.91,99.915,20061
CME_FF1_ON,D,20200914,000000,99.915,99.92,99.915,99.915,10990
CME_FF1_ON,D,20200911,000000,99.915,99.92,99.91,99.915,22628
CME_FF1_ON,D,20200910,000000,99.915,99.92,99.915,99.915,9978
CME_FF1_ON,D,20200909,000000,99.92,99.92,99.915,99.92,8372
CME_FF1_ON,D,20200908,000000,99.925,99.925,99.92,99.92,17271
CME_FF1_ON,D,20200904,000000,99.925,99.925,99.92,99.92,9580
CME_FF1_ON,D,20200903,000000,99.925,99.93,99.925,99.93,20320
CME_FF1_ON,D,20200902,000000,99.93,99.93,99.925,99.925,1779
CME_FF1_ON,D,20200901,000000,99.925,99.93,99.925,99.925,6498
CME_FF1_ON,D,20200831,000000,99.905,99.9075,99.905,99.905,639
CME_FF1_ON,D,20200828,000000,99.905,99.9075,99.905,99.905,2278
CME_FF1_ON,D,20200827,000000,99.905,99.9075,99.9025,99.905,2321
CME_FF1_ON,D,20200826,000000,99.905,99.9075,99.9025,99.9025,6087
CME_FF1_ON,D,20200825,000000,99.905,99.9075,99.905,99.905,1443
CME_FF1_ON,D,20200824,000000,99.9075,99.9075,99.905,99.9075,2124
CME_FF1_ON,D,20200821,000000,99.9075,99.9075,99.905,99.9075,1293
CME_FF1_ON,D,20200820,000000,99.905,99.9075,99.9025,99.905,4613
CME_FF1_ON,D,20200819,000000,99.9025,99.9075,99.9025,99.905,17748
CME_FF1_ON,D,20200818,000000,99.9025,99.905,99.9025,99.9025,711
CME_FF1_ON,D,20200817,000000,99.905,99.905,99.9025,99.9025,1137
CME_FF1_ON,D,20200814,000000,99.905,99.9075,99.9025,99.9025,3250
CME_FF1_ON,D,20200813,000000,99.9075,99.9075,99.905,99.9075,2179
CME_FF1_ON,D,20200812,000000,99.9075,99.9075,99.905,99.905,5389
CME_FF1_ON,D,20200811,000000,99.9075,99.9075,99.905,99.905,6464
CME_FF1_ON,D,20200810,000000,99.91,99.91,99.905,99.905,10938
CME_FF1_ON,D,20200807,000000,99.9125,99.9125,99.91,99.91,1961
CME_FF1_ON,D,20200806,000000,99.9125,99.9125,99.9125,99.9125,9124
CME_FF1_ON,D,20200805,000000,99.9125,99.915,99.9125,99.9125,3836
CME_FF1_ON,D,20200804,000000,99.9175,99.9175,99.9125,99.9125,7949
CME_FF1_ON,D,20200803,000000,99.9175,99.9175,99.915,99.915,10165
CME_FF1_ON,D,20200731,000000,99.92,99.925,99.915,99.92,13597
CME_FF1_ON,D,20200730,000000,99.92,99.925,99.915,99.92,13094
CME_FF1_ON,D,20200729,000000,99.92,99.925,99.915,99.92,29834
CME_FF1_ON,D,20200728,000000,99.925,99.925,99.92,99.92,9875
CME_FF1_ON,D,20200727,000000,99.925,99.925,99.92,99.925,8022
CME_FF1_ON,D,20200724,000000,99.92,99.925,99.92,99.92,4068
CME_FF1_ON,D,20200723,000000,99.92,99.925,99.92,99.92,11379
CME_FF1_ON,D,20200722,000000,99.915,99.92,99.915,99.915,6929
CME_FF1_ON,D,20200721,000000,99.925,99.925,99.915,99.915,9834
CME_FF1_ON,D,20200720,000000,99.92,99.925,99.92,99.92,4455
CME_FF1_ON,D,20200717,000000,99.925,99.925,99.92,99.92,4441
CME_FF1_ON,D,20200716,000000,99.92,99.93,99.92,99.925,12102
CME_FF1_ON,D,20200715,000000,99.92,99.925,99.92,99.92,7317
CME_FF1_ON,D,20200714,000000,99.92,99.925,99.92,99.92,10983
CME_FF1_ON,D,20200713,000000,99.925,99.925,99.92,99.92,5265
CME_FF1_ON,D,20200710,000000,99.93,99.93,99.92,99.92,9742
CME_FF1_ON,D,20200709,000000,99.925,99.93,99.925,99.925,1989
CME_FF1_ON,D,20200708,000000,99.93,99.93,99.925,99.925,1229
CME_FF1_ON,D,20200707,000000,99.93,99.93,99.92,99.925,13580
CME_FF1_ON,D,20200706,000000,99.925,99.93,99.925,99.925,6664
CME_FF1_ON,D,20200702,000000,99.935,99.935,99.925,99.925,14038
CME_FF1_ON,D,20200701,000000,99.935,99.94,99.93,99.935,11642
CME_FF1_ON,D,20200630,000000,99.94,99.94,99.93,99.935,10732
CME_FF1_ON,D,20200629,000000,99.935,99.94,99.935,99.935,21126
CME_FF1_ON,D,20200626,000000,99.93,99.935,99.93,99.93,8578
CME_FF1_ON,D,20200625,000000,99.935,99.935,99.925,99.93,15134
CME_FF1_ON,D,20200624,000000,99.93,99.935,99.925,99.93,41349
CME_FF1_ON,D,20200623,000000,99.935,99.935,99.93,99.93,7246
CME_FF1_ON,D,20200622,000000,99.925,99.935,99.925,99.93,4695
CME_FF1_ON,D,20200619,000000,99.925,99.93,99.925,99.93,6159
CME_FF1_ON,D,20200618,000000,99.925,99.93,99.92,99.925,19626
CME_FF1_ON,D,20200617,000000,99.915,99.925,99.91,99.92,10942
CME_FF1_ON,D,20200616,000000,99.915,99.915,99.905,99.91,15012
CME_FF1_ON,D,20200615,000000,99.915,99.92,99.91,99.915,20647
