<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_RR1_ON,D,20210219,000000,13.04,13.2,12.97,13.15,1257
CME_RR1_ON,D,20210218,000000,12.99,13.03,12.935,13.01,904
CME_RR1_ON,D,20210217,000000,13.0,13.05,12.9,13.04,709
CME_RR1_ON,D,20210216,000000,12.815,12.85,12.615,12.715,1078
CME_RR1_ON,D,20210212,000000,12.89,12.91,12.805,12.81,769
CME_RR1_ON,D,20210211,000000,12.88,12.91,12.81,12.89,834
CME_RR1_ON,D,20210210,000000,12.91,12.97,12.845,12.88,641
CME_RR1_ON,D,20210209,000000,13.045,13.045,12.84,12.915,721
CME_RR1_ON,D,20210208,000000,13.0,13.1,12.965,12.97,362
CME_RR1_ON,D,20210205,000000,13.015,13.025,12.82,13.0,417
CME_RR1_ON,D,20210204,000000,13.09,13.09,12.965,13.025,429
CME_RR1_ON,D,20210203,000000,13.35,13.41,12.765,13.09,1174
CME_RR1_ON,D,20210202,000000,13.345,13.38,13.31,13.36,261
CME_RR1_ON,D,20210201,000000,13.46,13.485,13.33,13.34,569
CME_RR1_ON,D,20210129,000000,13.41,13.49,13.375,13.46,386
CME_RR1_ON,D,20210128,000000,13.465,13.5,13.35,13.39,405
CME_RR1_ON,D,20210127,000000,13.285,13.48,13.275,13.455,506
CME_RR1_ON,D,20210126,000000,13.125,13.325,13.12,13.305,237
CME_RR1_ON,D,20210125,000000,13.27,13.27,13.05,13.235,322
CME_RR1_ON,D,20210122,000000,13.215,13.3,13.18,13.275,241
CME_RR1_ON,D,20210121,000000,13.2,13.25,13.165,13.245,162
CME_RR1_ON,D,20210120,000000,13.19,13.28,13.085,13.21,345
CME_RR1_ON,D,20210119,000000,13.09,13.265,13.08,13.195,352
CME_RR1_ON,D,20210115,000000,13.145,13.355,13.075,13.115,590
CME_RR1_ON,D,20210114,000000,13.11,13.185,13.05,13.155,634
CME_RR1_ON,D,20210113,000000,12.84,13.135,12.84,13.12,855
CME_RR1_ON,D,20210112,000000,12.585,12.86,12.53,12.845,332
CME_RR1_ON,D,20210111,000000,12.66,12.745,12.58,12.58,184
CME_RR1_ON,D,20210108,000000,12.7,12.75,12.625,12.66,161
CME_RR1_ON,D,20210107,000000,12.62,12.75,12.615,12.7,257
CME_RR1_ON,D,20210106,000000,12.63,12.7,12.61,12.69,389
CME_RR1_ON,D,20210105,000000,12.72,12.72,12.5,12.61,299
CME_RR1_ON,D,20210104,000000,12.75,13.015,12.615,12.725,537
CME_RR1_ON,D,20201231,000000,12.505,12.75,12.475,12.69,409
CME_RR1_ON,D,20201230,000000,12.345,12.71,12.345,12.49,516
CME_RR1_ON,D,20201229,000000,12.3,12.48,12.295,12.46,448
CME_RR1_ON,D,20201228,000000,12.455,12.535,12.295,12.3,2002
CME_RR1_ON,D,20201224,000000,12.55,12.57,12.425,12.445,610
CME_RR1_ON,D,20201223,000000,12.5,12.59,12.47,12.555,629
CME_RR1_ON,D,20201222,000000,12.535,12.58,12.455,12.51,527
CME_RR1_ON,D,20201221,000000,12.74,12.75,12.505,12.505,794
CME_RR1_ON,D,20201218,000000,12.75,12.81,12.685,12.74,920
CME_RR1_ON,D,20201217,000000,12.5,12.78,12.49,12.755,1450
CME_RR1_ON,D,20201216,000000,12.315,12.37,12.305,12.34,1285
CME_RR1_ON,D,20201215,000000,12.37,12.37,12.27,12.33,976
CME_RR1_ON,D,20201214,000000,12.45,12.5,12.37,12.415,1040
CME_RR1_ON,D,20201211,000000,12.4,12.485,12.4,12.47,458
CME_RR1_ON,D,20201210,000000,12.375,12.52,12.34,12.4,544
CME_RR1_ON,D,20201209,000000,12.31,12.375,12.3,12.365,338
CME_RR1_ON,D,20201208,000000,12.32,12.37,12.25,12.33,549
CME_RR1_ON,D,20201207,000000,12.225,12.35,12.205,12.31,723
CME_RR1_ON,D,20201204,000000,12.315,12.315,12.225,12.225,631
CME_RR1_ON,D,20201203,000000,12.41,12.415,12.305,12.325,480
CME_RR1_ON,D,20201202,000000,12.46,12.53,12.415,12.45,297
CME_RR1_ON,D,20201201,000000,12.525,12.61,12.475,12.53,505
CME_RR1_ON,D,20201130,000000,12.675,12.7,12.41,12.555,598
CME_RR1_ON,D,20201127,000000,12.475,12.69,12.44,12.675,331
CME_RR1_ON,D,20201125,000000,12.405,12.56,12.4,12.445,168
CME_RR1_ON,D,20201124,000000,12.425,12.465,12.355,12.39,173
CME_RR1_ON,D,20201123,000000,12.455,12.455,12.15,12.44,343
CME_RR1_ON,D,20201120,000000,12.415,12.47,12.39,12.465,205
CME_RR1_ON,D,20201119,000000,12.445,12.45,12.39,12.44,149
CME_RR1_ON,D,20201118,000000,12.3,12.45,12.295,12.45,351
CME_RR1_ON,D,20201117,000000,12.3,12.37,12.24,12.33,147
CME_RR1_ON,D,20201116,000000,12.29,12.42,12.24,12.28,266
CME_RR1_ON,D,20201113,000000,12.31,12.38,12.27,12.37,163
CME_RR1_ON,D,20201112,000000,12.44,12.44,12.265,12.275,195
CME_RR1_ON,D,20201111,000000,12.44,12.45,12.4,12.44,112
CME_RR1_ON,D,20201110,000000,12.36,12.45,12.23,12.44,368
CME_RR1_ON,D,20201109,000000,12.415,12.46,12.36,12.39,135
CME_RR1_ON,D,20201106,000000,12.43,12.48,12.38,12.415,115
CME_RR1_ON,D,20201105,000000,12.29,12.445,12.29,12.43,163
CME_RR1_ON,D,20201104,000000,12.27,12.34,12.23,12.28,198
CME_RR1_ON,D,20201103,000000,12.33,12.345,12.23,12.25,162
CME_RR1_ON,D,20201102,000000,12.365,12.38,12.255,12.295,338
CME_RR1_ON,D,20201030,000000,12.43,12.485,12.33,12.365,366
CME_RR1_ON,D,20201029,000000,12.47,12.48,12.38,12.455,440
CME_RR1_ON,D,20201028,000000,12.52,12.52,12.39,12.45,531
CME_RR1_ON,D,20201027,000000,12.405,12.62,12.405,12.48,748
CME_RR1_ON,D,20201026,000000,12.525,12.625,12.42,12.44,473
CME_RR1_ON,D,20201023,000000,12.445,12.525,12.415,12.505,1308
CME_RR1_ON,D,20201022,000000,12.39,12.475,12.39,12.46,1190
CME_RR1_ON,D,20201021,000000,12.4,12.51,12.4,12.4,1164
CME_RR1_ON,D,20201020,000000,12.44,12.44,12.18,12.24,1345
CME_RR1_ON,D,20201019,000000,12.365,12.475,12.36,12.45,600
CME_RR1_ON,D,20201016,000000,12.48,12.515,12.36,12.375,1001
CME_RR1_ON,D,20201015,000000,12.41,12.565,12.41,12.515,527
CME_RR1_ON,D,20201014,000000,12.24,12.555,12.215,12.43,603
CME_RR1_ON,D,20201013,000000,12.29,12.345,12.23,12.235,510
CME_RR1_ON,D,20201012,000000,12.505,12.52,12.27,12.305,338
CME_RR1_ON,D,20201009,000000,12.65,12.71,11.85,12.465,1074
CME_RR1_ON,D,20201008,000000,12.64,12.73,12.635,12.655,396
CME_RR1_ON,D,20201007,000000,12.61,12.705,12.6,12.66,363
CME_RR1_ON,D,20201006,000000,12.67,12.75,12.615,12.625,340
CME_RR1_ON,D,20201005,000000,12.51,12.76,12.51,12.695,715
CME_RR1_ON,D,20201002,000000,12.51,12.57,12.49,12.55,221
CME_RR1_ON,D,20201001,000000,12.445,12.555,12.445,12.51,257
CME_RR1_ON,D,20200930,000000,12.48,12.515,12.42,12.475,366
CME_RR1_ON,D,20200929,000000,12.465,12.57,12.42,12.51,320
CME_RR1_ON,D,20200928,000000,12.45,12.5,12.425,12.46,114
CME_RR1_ON,D,20200925,000000,12.55,12.59,12.38,12.45,310
CME_RR1_ON,D,20200924,000000,12.485,12.59,12.445,12.56,299
CME_RR1_ON,D,20200923,000000,12.48,12.595,12.32,12.49,291
CME_RR1_ON,D,20200922,000000,12.25,12.535,12.215,12.52,282
CME_RR1_ON,D,20200921,000000,12.505,12.57,12.12,12.22,505
CME_RR1_ON,D,20200918,000000,12.25,12.55,12.225,12.515,291
CME_RR1_ON,D,20200917,000000,12.165,12.295,12.12,12.25,151
CME_RR1_ON,D,20200916,000000,12.125,12.18,12.12,12.16,142
CME_RR1_ON,D,20200915,000000,12.085,12.185,12.085,12.15,322
CME_RR1_ON,D,20200914,000000,12.13,12.25,12.06,12.07,302
CME_RR1_ON,D,20200911,000000,12.475,12.475,12.08,12.115,671
CME_RR1_ON,D,20200910,000000,12.42,12.605,12.37,12.48,356
CME_RR1_ON,D,20200909,000000,12.44,12.52,12.44,12.44,224
CME_RR1_ON,D,20200908,000000,12.4,12.54,12.37,12.455,300
CME_RR1_ON,D,20200904,000000,12.365,12.5,12.33,12.4,169
CME_RR1_ON,D,20200903,000000,12.265,12.395,12.24,12.345,125
CME_RR1_ON,D,20200902,000000,12.25,12.315,12.21,12.285,94
CME_RR1_ON,D,20200901,000000,12.275,12.35,12.2,12.23,242
CME_RR1_ON,D,20200831,000000,12.255,12.5,12.25,12.355,318
CME_RR1_ON,D,20200828,000000,12.6,12.67,12.26,12.27,777
CME_RR1_ON,D,20200827,000000,12.295,12.595,12.275,12.55,744
CME_RR1_ON,D,20200826,000000,12.17,12.335,12.1,12.315,563
CME_RR1_ON,D,20200825,000000,12.255,12.255,12.035,12.07,799
CME_RR1_ON,D,20200824,000000,12.36,12.455,12.245,12.285,1130
CME_RR1_ON,D,20200821,000000,12.345,12.42,12.32,12.395,840
CME_RR1_ON,D,20200820,000000,12.235,12.42,12.21,12.34,760
CME_RR1_ON,D,20200819,000000,12.105,12.24,12.035,12.235,971
CME_RR1_ON,D,20200818,000000,12.115,12.2,12.08,12.11,842
CME_RR1_ON,D,20200817,000000,11.98,12.12,11.955,12.115,766
CME_RR1_ON,D,20200814,000000,11.725,11.9,11.725,11.89,758
CME_RR1_ON,D,20200813,000000,11.72,11.8,11.695,11.755,420
CME_RR1_ON,D,20200812,000000,11.66,11.79,11.66,11.78,474
CME_RR1_ON,D,20200811,000000,11.7,11.775,11.675,11.68,332
CME_RR1_ON,D,20200810,000000,11.51,11.725,11.51,11.71,336
CME_RR1_ON,D,20200807,000000,11.515,11.58,11.51,11.525,234
CME_RR1_ON,D,20200806,000000,11.675,11.675,11.455,11.48,306
CME_RR1_ON,D,20200805,000000,11.615,11.75,11.6,11.68,219
CME_RR1_ON,D,20200804,000000,11.605,11.705,11.55,11.57,292
CME_RR1_ON,D,20200803,000000,11.64,11.67,11.555,11.59,200
CME_RR1_ON,D,20200731,000000,11.61,11.64,11.525,11.595,211
CME_RR1_ON,D,20200730,000000,11.36,11.9,11.35,11.535,603
CME_RR1_ON,D,20200729,000000,11.4,11.485,11.35,11.385,571
CME_RR1_ON,D,20200728,000000,11.62,11.62,11.215,11.425,871
CME_RR1_ON,D,20200727,000000,11.835,11.86,11.605,11.64,511
CME_RR1_ON,D,20200724,000000,11.825,11.865,11.785,11.805,249
CME_RR1_ON,D,20200723,000000,11.85,11.9,11.83,11.835,154
