<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_S1_ON,D,20210219,000000,1378.25,1391.0,1368.0,1380.0,109077
CME_S1_ON,D,20210218,000000,1386.0,1392.0,1371.25,1376.5,81552
CME_S1_ON,D,20210217,000000,1386.5,1391.0,1377.0,1384.75,66031
CME_S1_ON,D,20210216,000000,1384.75,1393.25,1374.25,1385.75,89357
CME_S1_ON,D,20210212,000000,1367.75,1376.25,1361.5,1371.25,55235
CME_S1_ON,D,20210211,000000,1352.0,1378.5,1336.75,1366.75,83337
CME_S1_ON,D,20210210,000000,1404.5,1404.75,1352.25,1354.0,154231
CME_S1_ON,D,20210209,000000,1391.0,1409.5,1377.5,1401.75,168617
CME_S1_ON,D,20210208,000000,1368.75,1392.5,1364.75,1387.75,121873
CME_S1_ON,D,20210205,000000,1370.75,1382.75,1365.5,1366.75,115198
CME_S1_ON,D,20210204,000000,1374.0,1381.5,1364.5,1372.5,99622
CME_S1_ON,D,20210203,000000,1354.5,1372.5,1342.5,1371.25,99021
CME_S1_ON,D,20210202,000000,1366.0,1372.0,1341.5,1354.75,93843
CME_S1_ON,D,20210201,000000,1375.0,1383.0,1349.25,1365.25,111846
CME_S1_ON,D,20210129,000000,1353.25,1376.75,1335.5,1370.0,136046
CME_S1_ON,D,20210128,000000,1371.75,1391.25,1345.5,1353.25,141463
CME_S1_ON,D,20210127,000000,1376.0,1394.75,1364.5,1374.75,153881
CME_S1_ON,D,20210126,000000,1348.25,1376.5,1333.5,1370.25,105096
CME_S1_ON,D,20210125,000000,1308.75,1352.25,1298.0,1343.5,142486
CME_S1_ON,D,20210122,000000,1367.0,1367.0,1305.25,1311.75,193798
CME_S1_ON,D,20210121,000000,1369.0,1387.0,1365.5,1370.25,108662
CME_S1_ON,D,20210120,000000,1384.5,1384.5,1352.0,1369.5,171018
CME_S1_ON,D,20210119,000000,1419.0,1421.25,1383.25,1385.75,121099
CME_S1_ON,D,20210115,000000,1432.25,1434.5,1413.5,1416.75,95665
CME_S1_ON,D,20210114,000000,1406.5,1435.75,1403.0,1430.5,99376
CME_S1_ON,D,20210113,000000,1424.0,1436.5,1403.25,1406.25,128602
CME_S1_ON,D,20210112,000000,1372.5,1428.25,1354.0,1418.25,158106
CME_S1_ON,D,20210111,000000,1379.25,1388.75,1354.0,1372.5,134136
CME_S1_ON,D,20210108,000000,1359.75,1386.0,1348.5,1374.75,132108
CME_S1_ON,D,20210107,000000,1364.25,1369.0,1342.0,1355.25,141661
CME_S1_ON,D,20210106,000000,1359.75,1378.25,1354.5,1361.5,153437
CME_S1_ON,D,20210105,000000,1313.25,1373.25,1313.25,1347.0,189268
CME_S1_ON,D,20210104,000000,1319.25,1349.5,1301.0,1313.0,188017
CME_S1_ON,D,20201231,000000,1299.25,1320.75,1295.0,1311.0,108536
CME_S1_ON,D,20201230,000000,1296.0,1306.0,1280.0,1300.5,145004
CME_S1_ON,D,20201229,000000,1255.75,1299.5,1246.25,1296.0,149479
CME_S1_ON,D,20201228,000000,1275.25,1280.5,1247.0,1257.25,144063
CME_S1_ON,D,20201224,000000,1261.0,1275.0,1260.25,1264.5,68182
CME_S1_ON,D,20201223,000000,1251.0,1267.75,1242.5,1260.0,117901
CME_S1_ON,D,20201222,000000,1248.5,1256.25,1241.0,1250.0,122940
CME_S1_ON,D,20201221,000000,1229.25,1248.75,1217.5,1247.5,147317
CME_S1_ON,D,20201218,000000,1207.5,1228.75,1205.75,1224.0,99328
CME_S1_ON,D,20201217,000000,1188.0,1207.75,1184.25,1205.5,97240
CME_S1_ON,D,20201216,000000,1191.5,1199.0,1185.5,1188.0,93177
CME_S1_ON,D,20201215,000000,1175.75,1190.25,1166.75,1188.75,67618
CME_S1_ON,D,20201214,000000,1169.5,1178.0,1166.5,1174.5,56721
CME_S1_ON,D,20201211,000000,1161.0,1168.0,1156.5,1166.0,71979
CME_S1_ON,D,20201210,000000,1165.0,1182.5,1155.5,1158.75,111026
CME_S1_ON,D,20201209,000000,1151.0,1165.25,1150.5,1163.5,77905
CME_S1_ON,D,20201208,000000,1162.0,1165.25,1148.5,1151.5,116114
CME_S1_ON,D,20201207,000000,1160.0,1169.0,1149.0,1158.5,147843
CME_S1_ON,D,20201204,000000,1168.0,1172.5,1157.75,1163.0,86886
CME_S1_ON,D,20201203,000000,1154.25,1170.75,1152.0,1168.25,86279
CME_S1_ON,D,20201202,000000,1163.75,1164.0,1142.5,1153.0,121487
CME_S1_ON,D,20201201,000000,1169.25,1176.0,1161.25,1162.0,98166
CME_S1_ON,D,20201130,000000,1198.0,1199.0,1168.0,1168.5,115926
CME_S1_ON,D,20201127,000000,1186.0,1194.0,1179.25,1191.75,45115
CME_S1_ON,D,20201125,000000,1197.5,1198.5,1183.25,1184.0,79906
CME_S1_ON,D,20201124,000000,1190.75,1194.0,1174.0,1191.25,116533
CME_S1_ON,D,20201123,000000,1195.5,1200.0,1186.0,1191.5,98621
CME_S1_ON,D,20201120,000000,1179.0,1196.75,1176.75,1181.0,137795
CME_S1_ON,D,20201119,000000,1174.0,1181.25,1161.75,1177.5,125972
CME_S1_ON,D,20201118,000000,1170.25,1189.75,1167.75,1175.75,152028
CME_S1_ON,D,20201117,000000,1157.0,1178.25,1156.25,1169.75,137129
CME_S1_ON,D,20201116,000000,1150.25,1155.25,1144.0,1153.5,86801
CME_S1_ON,D,20201113,000000,1145.5,1157.0,1138.0,1148.0,110428
CME_S1_ON,D,20201112,000000,1152.5,1154.0,1139.75,1145.5,119511
CME_S1_ON,D,20201111,000000,1147.0,1162.25,1145.0,1152.5,160759
CME_S1_ON,D,20201110,000000,1110.5,1153.25,1108.0,1146.0,209412
CME_S1_ON,D,20201109,000000,1101.0,1118.0,1099.75,1110.5,114850
CME_S1_ON,D,20201106,000000,1102.5,1110.0,1098.25,1101.5,108426
CME_S1_ON,D,20201105,000000,1086.0,1112.75,1083.5,1103.75,152464
