<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_TU1_ON,D,20210219,000000,110.5078125,110.5117188,110.5,110.5078125,336501
CME_TU1_ON,D,20210218,000000,110.5078125,110.5117188,110.4921875,110.5039062,311371
CME_TU1_ON,D,20210217,000000,110.4726562,110.5078125,110.46875,110.5,546560
CME_TU1_ON,D,20210216,000000,110.4921875,110.4960938,110.46875,110.4765625,491906
CME_TU1_ON,D,20210212,000000,110.4960938,110.5039062,110.4921875,110.5,173127
CME_TU1_ON,D,20210211,000000,110.4960938,110.5039062,110.4921875,110.5,137993
CME_TU1_ON,D,20210210,000000,110.4804688,110.5,110.4765625,110.4960938,179846
CME_TU1_ON,D,20210209,000000,110.4921875,110.4960938,110.4765625,110.484375,245101
CME_TU1_ON,D,20210208,000000,110.5039062,110.5078125,110.484375,110.4921875,258679
CME_TU1_ON,D,20210205,000000,110.4882812,110.5078125,110.484375,110.5039062,303281
CME_TU1_ON,D,20210204,000000,110.484375,110.4921875,110.4804688,110.484375,212134
CME_TU1_ON,D,20210203,000000,110.4921875,110.4960938,110.4765625,110.484375,213007
CME_TU1_ON,D,20210202,000000,110.4960938,110.5039062,110.484375,110.4882812,215782
CME_TU1_ON,D,20210201,000000,110.5039062,110.5078125,110.4921875,110.5,243868
CME_TU1_ON,D,20210129,000000,110.484375,110.5039062,110.4765625,110.4882812,399219
CME_TU1_ON,D,20210128,000000,110.4882812,110.4960938,110.4765625,110.4804688,274154
CME_TU1_ON,D,20210127,000000,110.4804688,110.5,110.4765625,110.4921875,223018
CME_TU1_ON,D,20210126,000000,110.484375,110.484375,110.4726562,110.4804688,155676
CME_TU1_ON,D,20210125,000000,110.4804688,110.4882812,110.4726562,110.4804688,244278
CME_TU1_ON,D,20210122,000000,110.46875,110.484375,110.46875,110.4804688,233265
CME_TU1_ON,D,20210121,000000,110.46875,110.4765625,110.4570312,110.4765625,212173
