<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CME_W1_ON,D,20210219,000000,667.75,672.0,653.0,655.5,70671
CME_W1_ON,D,20210218,000000,647.75,668.75,645.25,665.25,81900
CME_W1_ON,D,20210217,000000,664.0,665.0,642.25,648.0,62523
CME_W1_ON,D,20210216,000000,651.5,664.25,644.5,661.5,55239
CME_W1_ON,D,20210212,000000,638.5,647.5,636.75,641.25,52814
CME_W1_ON,D,20210211,000000,642.0,649.75,636.75,639.0,60387
CME_W1_ON,D,20210210,000000,653.5,655.5,631.5,641.0,70114
CME_W1_ON,D,20210209,000000,657.75,660.5,639.75,649.5,114313
CME_W1_ON,D,20210208,000000,643.0,657.5,642.5,655.75,95102
CME_W1_ON,D,20210205,000000,634.75,647.5,632.25,641.25,72272
CME_W1_ON,D,20210204,000000,647.25,650.5,633.0,637.5,63557
CME_W1_ON,D,20210203,000000,646.25,649.75,625.75,648.25,75552
CME_W1_ON,D,20210202,000000,655.0,656.75,640.5,644.75,44324
CME_W1_ON,D,20210201,000000,663.5,671.0,646.0,651.0,53621
CME_W1_ON,D,20210129,000000,646.25,664.75,643.0,663.0,57057
CME_W1_ON,D,20210128,000000,655.0,664.5,643.5,647.0,63369
CME_W1_ON,D,20210127,000000,663.25,672.75,652.5,658.25,51954
CME_W1_ON,D,20210126,000000,646.75,667.75,641.25,665.25,66058
CME_W1_ON,D,20210125,000000,633.0,651.5,624.25,648.5,62668
CME_W1_ON,D,20210122,000000,658.5,659.0,633.0,634.5,73242
CME_W1_ON,D,20210121,000000,666.5,674.75,657.75,660.75,47675
CME_W1_ON,D,20210120,000000,675.25,676.0,656.5,667.75,64379
CME_W1_ON,D,20210119,000000,683.75,691.25,668.75,672.25,61713
CME_W1_ON,D,20210115,000000,671.0,693.0,664.5,675.5,75385
CME_W1_ON,D,20210114,000000,660.0,673.25,653.0,670.0,57699
CME_W1_ON,D,20210113,000000,665.0,680.75,656.25,660.5,76421
CME_W1_ON,D,20210112,000000,636.25,670.0,634.0,665.0,76800
CME_W1_ON,D,20210111,000000,639.0,651.5,628.75,634.75,54575
CME_W1_ON,D,20210108,000000,644.75,649.5,634.0,638.75,51084
CME_W1_ON,D,20210107,000000,646.75,648.25,638.0,642.25,45862
CME_W1_ON,D,20210106,000000,654.0,660.25,646.0,647.5,59364
CME_W1_ON,D,20210105,000000,641.5,664.5,639.5,654.0,78039
CME_W1_ON,D,20210104,000000,643.0,650.25,634.0,642.0,64663
CME_W1_ON,D,20201231,000000,640.0,644.5,632.5,640.5,41801
CME_W1_ON,D,20201230,000000,620.0,643.5,614.0,640.75,69101
CME_W1_ON,D,20201229,000000,614.25,623.25,611.5,618.5,34165
CME_W1_ON,D,20201228,000000,627.0,631.5,607.0,614.25,52228
CME_W1_ON,D,20201224,000000,631.0,633.75,623.5,627.0,34630
CME_W1_ON,D,20201223,000000,615.25,633.75,610.5,629.75,66699
CME_W1_ON,D,20201222,000000,615.5,619.75,603.0,617.0,53152
CME_W1_ON,D,20201221,000000,610.25,615.25,596.5,611.25,46410
CME_W1_ON,D,20201218,000000,611.5,614.75,604.5,608.25,40665
CME_W1_ON,D,20201217,000000,599.75,610.0,598.5,608.75,41352
CME_W1_ON,D,20201216,000000,602.25,607.75,589.75,598.5,54831
CME_W1_ON,D,20201215,000000,597.25,605.75,594.25,599.75,48053
CME_W1_ON,D,20201214,000000,618.0,622.0,595.75,596.5,71755
CME_W1_ON,D,20201211,000000,597.25,619.25,590.25,614.5,81972
CME_W1_ON,D,20201210,000000,586.75,599.5,584.0,596.5,71979
CME_W1_ON,D,20201209,000000,570.5,585.0,567.25,583.25,53399
CME_W1_ON,D,20201208,000000,575.25,577.25,569.25,570.0,41614
CME_W1_ON,D,20201207,000000,574.25,579.75,565.5,577.5,50181
CME_W1_ON,D,20201204,000000,585.0,585.5,575.25,575.5,37280
CME_W1_ON,D,20201203,000000,588.5,591.0,579.75,584.5,48471
CME_W1_ON,D,20201202,000000,578.25,592.5,574.75,588.5,68951
CME_W1_ON,D,20201201,000000,585.0,589.0,574.0,577.25,87169
CME_W1_ON,D,20201130,000000,607.5,609.25,584.25,585.0,84999
CME_W1_ON,D,20201127,000000,600.5,607.75,598.5,606.0,70548
CME_W1_ON,D,20201125,000000,619.0,622.75,595.25,596.5,96507
CME_W1_ON,D,20201124,000000,604.5,618.5,599.0,617.5,81422
CME_W1_ON,D,20201123,000000,602.0,610.0,601.5,604.5,68510
CME_W1_ON,D,20201120,000000,597.0,604.75,596.75,599.5,71620
CME_W1_ON,D,20201119,000000,606.75,608.25,597.0,598.75,56350
CME_W1_ON,D,20201118,000000,603.0,611.75,600.0,606.5,58190
CME_W1_ON,D,20201117,000000,604.75,609.25,600.25,603.0,53622
CME_W1_ON,D,20201116,000000,602.0,607.75,593.5,604.75,64606
CME_W1_ON,D,20201113,000000,595.0,604.25,589.25,602.0,54982
CME_W1_ON,D,20201112,000000,604.75,606.75,596.0,597.25,63030
CME_W1_ON,D,20201111,000000,615.25,621.0,603.25,606.0,70611
CME_W1_ON,D,20201110,000000,597.25,613.0,594.0,608.5,121178
CME_W1_ON,D,20201109,000000,602.25,607.0,595.0,597.5,83625
CME_W1_ON,D,20201106,000000,607.75,615.75,601.75,602.0,90704
